{'短评内容': '很划算，最有印象的就是房间很大，比一般同类型旅社都大', '短评打分': 5}
{'短评内容': '房间很大，住的很宽敞，性价比十足', '短评打分': 5}
{'短评内容': '没有早餐，有点小贵 不能加床', '短评打分': 3}
{'短评内容': '房间好，空调凉，安静，卫生间稍微有积水', '短评打分': 5}
{'短评内容': '离报国寺非常近', '短评打分': 5}
{'短评内容': '床很潮湿', '短评打分': 4}
{'短评内容': '酒店就在景区里，出行太方便了！', '短评打分': 5}
{'短评内容': '环境不好，厕所门烂的，关都关不了。房间卫生一般，墙面有点脏。也可能是元旦的缘故，给我留了一间不好的?', '短评打分': 3}
{'短评内容': '简单干净，非常值得推荐！', '短评打分': 3}
{'短评内容': '不错，房间清洁，卫生。价格也还不错，推荐', '短评打分': 3}
{'短评内容': '不行', '短评打分': 2}
{'短评内容': '这个酒店...真心不怎么样', '短评打分': 2}
{'短评内容': '位置还是有点偏', '短评打分': 4}
