{'短评内容': '不安逸，没有图片好', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务可以', '短评打分': 5}
{'短评内容': '环境好，卫生一般，房间潮', '短评打分': 5}
{'短评内容': '服务热情，周边环境好，卫生一般', '短评打分': 5}
{'短评内容': '服务质量差，态度恶劣', '短评打分': 3}
{'短评内容': '环境不好', '短评打分': 4}
{'短评内容': '其它还好。就是太小了，', '短评打分': 4}
{'短评内容': '一般般吧', '短评打分': 3}
{'短评内容': '很不错，这是我们公司签约酒店，联盟商家', '短评打分': 5}
{'短评内容': '没什么感觉', '短评打分': 3}
{'短评内容': '凑合吧，就是地段好交通方便，然后房间里面还算得上干净吧，洗手间太小，冲凉都没什么地方。总体来说性价比一般。', '短评打分': 4}
{'短评内容': '总的感觉很差，首先门锁都是坏的，再次都说是双早，还以为能够吃个热包子、馒头什么的，第一天早上问早餐居然桌子下面的筐里捡出一个小面包和一盒牛奶给我，第二天早餐什么都没有了，第三天就给了一个小面包，也没有牛奶。早知这样你还不如不含早餐，真是让人失望?，不知道这算不算欺诈！携程公司也应该把把关吧！', '短评打分': 4}
{'短评内容': '卫生 方便 性价比不错，值得再来', '短评打分': 5}
{'短评内容': '房间比较小，不过设施还是齐全，前台办入住也很快，最好的还是地段，就在步行街里边', '短评打分': 5}
