{'短评内容': '产品不错。非常感谢。还会购买。', '短评打分': 5}
{'短评内容': '产品不错。非常感谢。还会购买。', '短评打分': 5}
{'短评内容': '交通方便，空调给力，价格实惠，周围吃的也非常方便，下次还会入住这里。', '短评打分': 5}
{'短评内容': '之前网上看到的评论比较客观，该酒店位置还比较好找，就在路边上，去宽窄巷子也很近，一个在长顺下街，一个在长顺上街，离春熙路也不远。十字路口对面有个新世纪广场，金色夏威夷什么的，有KFC，逛逛还是蛮方便的。但就酒店本身来说还有很多需要改进的地方，毛巾比较旧，地毯比较脏是公认的，装修也略显粗糙，窗户的卡扣是坏的，关不严，出门在外很没有安全感，隔音效果不太好，一晚上都能听到空调声，早上走廊里有人说话也听得', '短评打分': 1}
{'短评内容': '酒店干净，位置好。', '短评打分': 5}
{'短评内容': '电梯不是一般的慢，前台服务态度有待改进。', '短评打分': 5}
{'短评内容': '酒店离宽窄巷子不远，周边也有不少吃东西的地方。也算是闹中取静吧。', '短评打分': 5}
{'短评内容': '服务态度差，房间环境也一般，这个价格来说不值得', '短评打分': 1}
{'短评内容': '性价比不错，就是毛巾太旧，电梯太慢，不过呢，周边吃的东西还比较多。', '短评打分': 5}
{'短评内容': '整体还可以，房间不大，但还算整洁干净。就是房间隔音效果有点差，隔壁放水冲水的声音都听的比较大。', '短评打分': 5}
{'短评内容': '空调有异响，位置好找，出门有公交，主要是有性价比', '短评打分': 5}
{'短评内容': '酒店外观还可，进店感觉有点温馨。唯一不好的就是浴巾和毛巾旧了点，还有房间稍微小了房间地面有点潮湿。', '短评打分': 5}
{'短评内容': '价格真的很实惠，但是床真的有点不舒服。。。', '短评打分': 5}
{'短评内容': '酒店地理位置好，就是房间太小，临时住一晚还是不错的选择。', '短评打分': 5}
{'短评内容': '带着朋友一起住的，还是很不错的，喜欢！支持', '短评打分': 5}
{'短评内容': '已经是第二次入住了，过去出差呀什么的还是不错的选择', '短评打分': 5}
{'短评内容': '一般，就是有些设施生锈了。自动掉落，希望店家及时维修。', '短评打分': 5}
{'短评内容': ' 酒店住着还行 挺好的', '短评打分': 3}
{'短评内容': '位置不错条件一般', '短评打分': 3}
{'短评内容': '交通方便，就是房间真是为一个人准备的，要是凑合一夜还好，床和房间真的很小', '短评打分': 5}
{'短评内容': '和这个价钱看来，值得啦。可以入住。。。。。', '短评打分': 5}
{'短评内容': '地方比较方便，宾馆也不错，比较小，但是很温馨，还不错的哦，小瑕疵就是空调真的该清洗下了，空调有点脏~~还有就是房间确实不隔音~~有点小尴尬~~~', '短评打分': 5}
{'短评内容': '因为价格很优惠，总体还是物有所值的，地理位置非常好。\n建议把房间地毯换掉，空气潮湿导致味道不好，影响居住体验', '短评打分': 5}
{'短评内容': '推荐是因为价格便宜和酒店位置不错，交通方便。其他方便就不太行。', '短评打分': 5}
{'短评内容': '房间特别小，霉味有点大，但是价格低呀，忍了吧~事实上那个104元的房间就好多了，只贵5元，但是真的好多了。', '短评打分': 5}
{'短评内容': '酒店总体不错.交通方便，就是潮湿了一些，也没办法，这里的气候原因吧。', '短评打分': 3}
{'短评内容': '房间比较一般，跟宾馆差不多，卫生条件也很一般，虽然便宜，所以……', '短评打分': 1}
{'短评内容': '99的经济房真不能住啊，太小了，别太委屈自己了，各位~~~~~~', '短评打分': 5}
{'短评内容': '地理位置不错，也很干净，经济实惠，下次来成都会来住', '短评打分': 5}
{'短评内容': '单人房间有点小，如果大一点就更好了，卫生间还可以', '短评打分': 5}
{'短评内容': '其他一切都可以，但是电梯有点味道，不过早餐有咖啡还可以', '短评打分': 5}
{'短评内容': '整体还可以，房间也比较大，就是水压比较低，马桶后来都堵塞了', '短评打分': 5}
{'短评内容': '酒店的空调漏水滴的桌面都是，另外就是一点也不隔音，隔壁的人打电话那叫字字珠玑啊。', '短评打分': 1}
{'短评内容': '无窗特价房很不好!不过介于这个地段,入住的话建议住大床房,性价比高些!', '短评打分': 3}
{'短评内容': '还不错，相同价位看来还是很不错的。厕所有点小，但是一个人住完全是可以的', '短评打分': 5}
{'短评内容': '早饭很差（在那种东西也能被称为早饭的情况下）；被子不盖着感觉不舒服，服务态度不错。', '短评打分': 3}
{'短评内容': '嗯 服务还算可以！干净整洁，比较满意。希望继续努力', '短评打分': 5}
{'短评内容': '垃圾中的垃圾，绝对的伪99连锁，大家千万不要上当了。\n房间里一股异味，房间小的超出了你的想象，除了床连一个靠背椅都放不下。卫生间转个身都费劲，卫生间的门只能开三分之一而且正对着你的床。空调开启的声音犹如拖拉机。太坑爹了。\n强烈建议不要大家入住，入住了只有想吐的感觉。', '短评打分': 1}
{'短评内容': '电梯有味道，其他的都还可以。很温馨！', '短评打分': 3}
{'短评内容': '房间地毯赃,空间小,感觉一般,味道难闻', '短评打分': 3}
{'短评内容': '地段好，但设施实在一般了，房间那热水壶绣的都没发用了，洗澡热水太难调温了，总是两个极端，面盆的龙头几乎流不出水。真心需要改进。', '短评打分': 1}
{'短评内容': '入住大床房，床大房屋空间小，单独卫生间但公用热风筒，早餐仅面包。卫生条件还算可以。总体还算可以对得起价位吧！', '短评打分': 3}
{'短评内容': '洒店位置很方便,就是房间有点小,但总的来说还是很不错的.', '短评打分': 5}
{'短评内容': '酒店挺干净的，价格也算实惠，就是有点小，墙壁也是用板板隔开的，不是很隔音。早餐就是两个干面包，吃不下去:) ', '短评打分': 3}
{'短评内容': '房间真的太小了！只有一张床！只住这一次再也不来了！', '短评打分': 1}
