{'descr': '2个人住的家庭房，没想到是两张大床，还是内外间的，等于2个大床房啊，这就美滋滋了。干净整洁，7楼也不吵，这个价格还有谁？', 'star': 5}
{'descr': '挺不错的选择，有网络电视，环境也很不错，', 'star': 5}
{'descr': '还是很不错的，每次都来这里，挺安静的，周围吃的挺多', 'star': 5}
{'descr': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', 'star': 5}
{'descr': '服务好，交通方便！', 'star': 4}
{'descr': '服务好，交通方便！', 'star': 4}
{'descr': '服务好，交通方便！', 'star': 4}
{'descr': '服务好，干净！', 'star': 4}
{'descr': '不错，之前就用过京东酒店', 'star': 5}
{'descr': '每次都来这家，主要的原因就是他家有网络电视，推荐', 'star': 5}
{'descr': '每次都来这一家，第一次用京东，还蛮方便的，还可以使用白条，不错的！', 'star': 5}
{'descr': '【内容简介】\n    《百科全书》由法国启蒙思想家、哲学家、文学家、美学家、无神论者，它是18世纪启蒙运动的象征，是一部多卷本的畅销图书，是传播启蒙运动思想的最好载体。它把当时全部知识（科学、神学、哲学的等等，狄德罗百科全书给出的分类知识树）汇编为一部以字母顺序排列的多卷本图书，并大量出版发行，这本身就是出版史上的一个里程碑事件，从某种角度可说是整理人类有史以来全部信息Google的精神鼻祖。\n【作者简介】\n    丹尼·狄德罗（Denis Diderot，1713&mdash;&mdash;1784），法国启蒙思想家，哲学家、文学家、美学家、无神论者，1749年因抨击专制制度和宗教神学而被捕入狱。出狱后，组织许多思想家编纂《百科全书》，坚持二十余年之久，于1772年完成这一巨著。\n    主要著作有《对自然的解释》、《关于物质和运动的哲学原理》、《拉摩的侄儿》、《论美》等。\n【目录】\n中译本译叙\n(英译本)关于选条和翻译的说明\n英译本引言\n百科全书运动大事简表\n《百科全书》主要撰稿人\n《百科全书》绪论、前言选\n绪 论\n人类知识体系详解\n第三卷前言(1753)\n第八卷前言(1765)\n《百科全书》条目选', 'star': 5}
{'descr': '挺好的', 'star': 4}
{'descr': '房间比较多！', 'star': 4}
{'descr': '就是卫生差了一点，希望改善', 'star': 3}
{'descr': '还不错，推荐', 'star': 5}
{'descr': '性价比超高的', 'star': 4}
{'descr': '出行很方便 很中心位置', 'star': 4}
{'descr': '不错，物有所值', 'star': 5}
{'descr': '酒店位置很好，吃饭很方便，已经是多次入住了', 'star': 5}
{'descr': '夏天的时候住过的，还可以，帮朋友订的，物美价廉', 'star': 4}
{'descr': '脏乱差', 'star': 2}
{'descr': 'okokokokok', 'star': 5}
{'descr': '好，上班近，方便。交通也很方便。   以后有空还是来', 'star': 5}
{'descr': '服务态度还不错，房间打扫的也挺干净。主要是地段好，方便', 'star': 5}
{'descr': '位置有一点偏，设施有点陈旧，总体来说还可以吧', 'star': 5}
{'descr': '很强大的酒店，房间还备小吹风机，和老婆住的很爽。下次还来。', 'star': 5}
{'descr': '就是旧了点、环境还好、服务也挺热情的。但是隔音效果不好', 'star': 5}
{'descr': '很干净，非常好，地理位置好', 'star': 3}
{'descr': '环境不错，门前就是公交站台～', 'star': 3}
{'descr': '环境好，安静，早餐也不错，距离步行街很近', 'star': 5}
{'descr': '还不错,条件还不错，位置也不错，挺方便的。', 'star': 5}
{'descr': '装修是新的，服务也很好。有停车场，环境也还可以。下次还会去', 'star': 5}
{'descr': '其他的还好，就是空调噪间太大，隔音也很差，睡不踏实。', 'star': 5}
{'descr': '很安静，很干净，，值得去住，下次还要住的啊', 'star': 5}
{'descr': '整体环境还是不错的，电视、洗浴等要细心研究下，如果早餐免费就更好了。', 'star': 5}
{'descr': '环境不错，卫生也比较好，就是没有免费的早餐，需要花钱。', 'star': 5}
{'descr': '当时定了行政房和大床房 但是行政房的外面一间感觉很不好 而且隔音也有点差', 'star': 5}
{'descr': '地理位置不多。就是半夜有飙车的声音，太吵睡不着啊', 'star': 1}
{'descr': '安排朋友住的，要的是套房，实在令人失望，房间的格局非常差劲，客厅没有任何作用。另外酒店安全也有问题，每天晚上都受到很多色情广告。', 'star': 1}
{'descr': '总体来说 还算不错吧  隔音差了点 不过比较干净', 'star': 5}
{'descr': '不错的很干净.....................', 'star': 5}
{'descr': '环境不错!\u3000', 'star': 3}
{'descr': '里面的服务员，态度怎么那么差啊，太不为客户着想了。', 'star': 1}
{'descr': '环境还可以，就是里面的员工态度差的一塌糊涂！', 'star': 1}
{'descr': '房间很干净，很好，装修不错，很有档次，下次还会入住，停车也很方便', 'star': 5}
{'descr': '很新..很干净..周边吃饭多............................', 'star': 5}
{'descr': '就在鲈乡南路上，从清华奥林公交枢纽站打车过去起步价，也有不少公交线路经过。酒店到吴江的步行街也就两站路。酒店房间比较大，有液晶电视，卫生条件也相当不错，虽然靠在主干道上，但是晚上还是非常安静的。', 'star': 5}
{'descr': '酒店开业没有多久 环境很不错 设施都很新 房间里还是液晶电视 床也很舒服 早饭的品种也很多 总之非常不错 下次还会入住。', 'star': 5}
{'descr': '环境还行，就是房间有点小；只有早餐，服务不错，比如家要好，至少有吹风机', 'star': 5}
{'descr': '对面有大型的购物广场，家乐福超市、还有美食城，购物和饮食比较方便，但是出租车太少了，基本上很少能看见，交通不方便', 'star': 1}
