{'短评内容': '因为在市区没订到房，于是就订了路上看到的这家酒店。除了车位充足，我个人认为都很一般。房间有味道，浴室门口的墙脱皮，好在就是住一晚，也能凑合。', '短评打分': 3}
{'短评内容': '还行吧，觉得还可以！', '短评打分': 4}
{'短评内容': '不错的酒店', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一半', '短评打分': 1}
{'短评内容': '酒店服务经理素质太低(30多岁的女的),入住时我们发现酒店马桶盖坏了，要求处理，可酒店没有回应，心想出来旅游为了高兴，就没有计较，想着自己注意一点就算了，可没想到还是扎破了大腿根的肉，酒店服务经理一句抱歉的话没有，还强词夺理，一副爱答不理的表情，这也是做服务业的，真是让人作呕！', '短评打分': 2}
{'短评内容': '不错 ', '短评打分': 4}
{'短评内容': '不错的房子，屋子布局也不错。', '短评打分': 3}
{'短评内容': '房间还不错 经济实惠 非常喜欢 下次还来', '短评打分': 4}
{'短评内容': '与描述不一样，简陋，卫生较差', '短评打分': 3}
{'短评内容': '酒店所在位置去很多景点都很方便，酒店前台服务也很热情', '短评打分': 4}
