{'descr': '宾馆一般，设施还齐全，不过这个价位也就这个样了', 'star': 3}
{'descr': '大床房房间有点小，1.2 米的床，1.5 米的床垫，半边都是空的。不知道是为什么。 早餐还不错，粥、鸡蛋、蛋糕、包子、馒头等等。 酒店有到会展中心的班车，我们都不知道。宾馆也没有提醒。 整体还可以，床是最大的问题。这点不满意。   这个位置周围没有什么可以玩的地方。', 'star': 5}
{'descr': '床垫比床还大 你们说两个人睡了会舒服么 差死了', 'star': 1}
{'descr': '酒店还不错，卫生挺干净的，交通也挺方便点的。就是早餐差了点，床有点硬。', 'star': 5}
{'descr': '酒店环境很好，每天打扫卫生很干净。服务还可以，就是早餐差了点，还有床有点硬。交通很方便。', 'star': 5}
{'descr': '凑合着住,房间挨着街,太吵了,没有以前住过的一些连锁酒店好,下次应该不会再入住了', 'star': 1}
{'descr': '这价看来还算物有所值吧，好!', 'star': 3}
{'descr': '服务态度挺好的，电视机信号差了点，但总的来说挺好的。但对于不熟哪里的人不容易找到，这家宾馆在张杨路和崮山路交界处，从6号线2号出口出来直走过一个大桥看见第一个红绿灯就是了！因为马路很大，车流量也多，稍微吵了点，窗帘挺厚的。像一直晚上的感觉。在上海能住这样而且这么便宜的已经很难很难了，所以性价比好！', 'star': 5}
{'descr': ' 挺好的 下地铁走10分钟   服务态度不出错 不过为什么床垫比床大好多:-]电视有点旧  总体对的起价格', 'star': 3}
{'descr': ' 新春特价房还蛮实惠的，空间很大，不过缺点还是蛮大的，例如在马路边隔音很差，晚上睡觉很吵；房间的电视就几个台，都不怎么清楚；网络超不好，我住了两天都没上过网。不过98的价位是蛮有力的，一分钱一分货吧', 'star': 5}
{'descr': '网速慢', 'star': 3}
{'descr': '酒店地理位置很方便，周围小吃也可以', 'star': 3}
{'descr': '酒店环境不错，但是服务有待提高', 'star': 3}
{'descr': '设施较差，服务也一般，洗浴水温太低，不推荐入住。', 'star': 3}
{'descr': ',该酒店硬件还好,早餐太凉,我有两间房增加一天住宿。周', 'star': 3}
{'descr': ',酒店位置很好,软件条件再好些就更好了。周云壁', 'star': 3}
{'descr': '参加展会，很方便。马路边稍吵。周围吃饭的比较多 \n', 'star': 5}
{'descr': '参加展会，很方便。马路边稍吵。周围吃饭的比较多', 'star': 5}
{'descr': '服务一般,设施陈旧。', 'star': 3}
{'descr': '环境、设施都很一般，房间隔音效果非常差，早餐只要稀饭和包子，太简单了！', 'star': 1}
{'descr': '＋住宿卫生条件一般吧…其他就不说了…', 'star': 3}
{'descr': '不错。经济实惠', 'star': 3}
{'descr': '这家酒店性价比不错，包中式早餐。房间整洁卫生。没有无线上网，只有有线宽带。到龙阳路展馆打车20块钱，对于参展的人来说，这是个不错的选择。', 'star': 5}
{'descr': '我们己入住', 'star': 3}
{'descr': '位置比较有优势，卫生也还行吧。\n配置的设施也一般；\n房间有路边的，应该比较闹一些；\n上次我住的是里面的，相对比较安静一些；\n不过，早餐太简单了\n', 'star': 1}
{'descr': '早餐单上标注的9点以有早餐，但8点30分之前就没人管了，桌上就只有苍蝇的实心馒头，稀饭，------！！！', 'star': 1}
{'descr': '特价 太小了，洗手池还在外面，，，还接近马路，晚上特吵，空调还特吵。基本没什么可取之处', 'star': 1}
{'descr': '还不错，挺干净也很实惠！下次应该还回去这个地方！', 'star': 5}
{'descr': '还不错的酒店，就是离地铁站有点远，走路10分钟差不多，去新国际博览中心比较方便。早餐不错，虽然简单了点但是搭配比较合理，做的也很精致！', 'star': 5}
{'descr': '物有所值', 'star': 3}
{'descr': '非常不错，推荐入住！', 'star': 3}
{'descr': '特价房间较小，整体还可以吧，毕竟价格不高；含双早还可以，早餐样式不多，但是小酱菜味道都很好吃！', 'star': 5}
{'descr': '位置不错的，但我们定的是特价房，比较小，有点潮，不过总体还算好吧！', 'star': 5}
{'descr': '挺好', 'star': 3}
{'descr': '还行', 'star': 3}
{'descr': '还可以 房间小点 ！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '＋房间卫生有点差  但卫生间还可以', 'star': 3}
{'descr': '房间有点小  基本还可以 房间没有活动空间 办公不方便', 'star': 5}
{'descr': '马桶无法蓄水，热水10钟以后才热，其他的还行。', 'star': 3}
{'descr': '宾馆不错的，将就一下。不是长住，过几个晚上，可以的。', 'star': 5}
{'descr': '比想象中的要稍微好点，里新国际博览中心挺近的，环境也还可以，早餐也不错，下次还会住', 'star': 5}
{'descr': '还可以，不算贵，早餐也可以', 'star': 3}
{'descr': '还可以，非商业区，出行交通方便，价钱合适。', 'star': 5}
{'descr': '还可以，早餐还可以！就是种类比较少，没有饮料水果，隔音效果差，隔壁在干事都能听到', 'star': 5}
{'descr': '为了我们可爱的人民币，还是推荐大家去煮一下哈 ', 'star': 5}
{'descr': '这次是同行7人入住， 他们都觉得还好， 就是 房间点小', 'star': 5}
{'descr': '该店还好啦  哈哈 若是在浦东，价位已经是非常低的了 不知各位意下如何', 'star': 5}
{'descr': '高楼层的房间比较好，有窗户也安静一些。汉皇的网速还是可以的。总之还不错。', 'star': 5}
{'descr': '不满意，很脏，服务态度也不好', 'star': 3}
{'descr': '前台服务态度差，定的房型，面积不足12㎡，还是拐角房，在马路旁边，很吵。墙皮脱落，图片假到不行，真是对不起这个价格！很失望的一次入住！', 'star': 1}
{'descr': '房间干净  热水也好  感觉不错  以后还会来住', 'star': 3}
{'descr': '价格还好，就是嫌小，没有衣柜', 'star': 3}
{'descr': '是一家性价比好的酒店，交通便利、室内环境适宜、网上订更方便。', 'star': 5}
{'descr': '不错，下次去上海就去这里了,交通便利。附近吃饭便宜方便！', 'star': 5}
{'descr': '隔音确实很差,隔壁说话听的一清楚', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '1)因我价格比较便宜，所以连续住了两个晚上，一次在5F，一次在2F。\n2）酒店的位置还是不错的，比价方便。走个十分钟就能到地铁上了。\n3）酒店的服务还是基本OK的，态度比较端正。\n\n4）酒店的毛巾不是很干净，上面可以看到一些污渍痕迹。然后洗手间天花板有些掉墙皮。\n5）酒店的卫生间的地板沾水以后比较湿滑，有时候容易滑到。\n6）酒店的隔音效果一般，晚上和早上都有被隔壁的电视机声音吵到。', 'star': 1}
{'descr': '房间还不错，就是电视不理想，隔音效果不佳，隔壁OOXX声很清楚', 'star': 5}
{'descr': '设施都很好，就是房间朝街有点吵。蛮满意的', 'star': 5}
{'descr': '酒店总体来说很不错，就是价格有点不稳定。', 'star': 5}
{'descr': '離地鐵站近, 比起附近的酒店來看這家算價格還OK的, 附近吃的也很多, 不過早餐過於簡單, 也希望酒店能改進.', 'star': 5}
{'descr': '停车很不方便，设施比较陈旧，价格偏高，餐厅很一般。', 'star': 3}
{'descr': '交通不是很便利 感觉房子挺就  电视没什么节目', 'star': 5}
{'descr': '这家服务勉强还行吧，我们住两个人，但昨晚只放了一双拖鞋在我们房间，可能现在生意太好了，服务就比平时要稍差一点。。。\r\n\r\n房间内的设施还比较新，离博览中心比较近，不过TAXI要等。。。\r\n离超市好像有点远，附近有家东北菜不错。。。\r\n酒店不提供干洗服务的，所以只能自己洗了凉房间里，晚上可以干。。。\r\n\r\n、\r\n早餐还行。。。。。\r\n\r\n现在这个时间段，这个价格也对得起这个地理位置吧。。。。。', 'star': 1}
{'descr': '还好', 'star': 5}
{'descr': '比较安静，房间虽然小点，但是很温馨，不错', 'star': 5}
{'descr': '我想如果不是上海世博，可能不会在这里住。不过离地铁比较近，交通还是很方便的。', 'star': 1}
{'descr': '酒店装修不久，设施简单，卫生还可以。大厅有两台能上网的计算机，楼顶有凉衣服的地方。交通方便，位置在两地铁站之间。世博期间，值得推荐。', 'star': 3}
{'descr': '装修时间不长，卫生还可以，在两地铁站之间，交通还算方便。大厅有两台客人上网的计算机，收发邮件挺方便的。楼顶有晾晒衣服的地方，挺好！世博期间值得推荐！', 'star': 5}
{'descr': '真的很一般\n', 'star': 1}
{'descr': '很一般的酒店，价格偏高。', 'star': 1}
{'descr': '房间太小，早餐太差，价格偏贵。地点还可以。', 'star': 3}
{'descr': '服务不好 门锁坏了 三天都没人修 电视坏了 也是三天没人修 ', 'star': 1}
{'descr': '整体还不错，世博期间房价是高了点。', 'star': 5}
{'descr': '早餐很差，房间安全设施差', 'star': 1}
{'descr': '离世博园30元的计程车路程，还算干净，房间很小！靠路边比较吵！', 'star': 1}
{'descr': '卫生设施很差，服务也差，价格也很贵，很差的酒店。', 'star': 1}
{'descr': '干净，十分钟到地铁站。', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '停车麻烦，房间太小，', 'star': 1}
{'descr': '酒店服务还是比较不错的，房间里卫生打扫的也蛮干净，就是设施比较简单，酒店的周边环境还可以，交通比较便利，价格方面还是蛮合适的，整体感觉值得推荐。', 'star': 5}
{'descr': '这酒店相当的差，基本没啥好的地方，250多块，简直就是上当。', 'star': 1}
{'descr': '晚上可以看沪上夜景，视野开阔。', 'star': 5}
{'descr': '基本设施都有，周边超市、小吃等也很多，蛮划算的。', 'star': 5}
{'descr': '房间里有空调，有这个基本就够用了，天冷的话可以要求加被褥。', 'star': 5}
{'descr': '交通比较方便，设施较简陋 综合性价比不高', 'star': 5}
{'descr': '位置不错，交通工具挺多，出行较便利。', 'star': 5}
{'descr': '在东方明珠边上，晚上透过窗户就可以看到浦东夜景，超赞~~', 'star': 5}
