{'短评内容': '没吃早餐，旅游季节，肯定是有点贵了。', '短评打分': 5}
{'短评内容': '无早餐，不能加床，离老街走路大概10分钟，环境还行，距离北海站也不远。', '短评打分': 4}
{'短评内容': '酒店还算干净整洁，1.3米床带小孩没问题，位置在闹市，酒店前有十多个免费车位', '短评打分': 4}
{'短评内容': '方便快捷！', '短评打分': 5}
{'短评内容': '地理位置超级便利，出门就有公交直达银滩和冠头岭，房间干净，整洁，安全！前台服务态度很好，有耐心！走一站路就是北部湾广场，吃东西，逛街都方便！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '窗口只能推开20厘米的缝隙，厕所门锁是坏的，早上开门时发现被塞了小卡片……', '短评打分': 4}
{'短评内容': '很好，在市中心但是睡觉很安静', '短评打分': 5}
{'短评内容': '还不错，比自己的想象的要好很多！晚上睡觉很安静', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '几百米附近就是商场，吃东西买东西很方便。。', '短评打分': 5}
{'短评内容': '还不错，就是卫生间设施有点旧', '短评打分': 5}
{'短评内容': '环境和服务都一般，但价格便宜也就这样了。', '短评打分': 2}
{'短评内容': '这个是朋友去过之后推荐的，本来觉得顶多就是酒店有点老旧而已，别的应该没什么大问题，但想要倒水喝的时候发现酒店的茶杯里有一个烟头，真心不能忍，于是开始怀疑酒店服务到底有没有打扫房间。因为那段时间阴天风大吧，晚上虽然关着窗户睡觉，还是风吹的窗户发出各种噪音，应该是窗户老旧的关系吧！床也很硬，除了地理位置还行外，不推荐大家入住。', '短评打分': 3}
{'短评内容': '房间有点旧，但服务很好', '短评打分': 5}
