{'短评内容': '挺好.....', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '还可以吧，但是房间有点异味', '短评打分': 4}
{'短评内容': '位置偏离', '短评打分': 1}
{'短评内容': '酒店周围很冷清，不是酒店不行，是那个地方就是这么冷清，也比较偏僻', '短评打分': 3}
{'短评内容': '用了几张纸还要收钱', '短评打分': 1}
{'短评内容': '一般一般', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '隔壁KTV。你懂的', '短评打分': 4}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '房子还不错。', '短评打分': 3}
{'短评内容': '里面有点臭', '短评打分': 4}
{'短评内容': '管理不行，我都没退房就把退了。一些小东西都没了。', '短评打分': 5}
{'短评内容': '酒店总体不错，没窗户的有点味道，', '短评打分': 4}
{'短评内容': '整体不错', '短评打分': 5}
{'短评内容': '酒店房间很干净整洁，位置也不错，性价比很高，下次还会入住', '短评打分': 5}
