{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '太老旧，床太低，电吹风没有', '短评打分': 4}
{'短评内容': '酒店位置非常好', '短评打分': 5}
{'短评内容': '确实不太好，如果光考虑价格的话，没问题！但是房间比较脏，卫生间又小又不太干净，楼下是个比较大的餐厅，吃饭还可以，不过在当地算贵的，前台服务太差啦！', '短评打分': 2}
{'短评内容': '位置很好找，正岔路口，要吐槽的地方太多了，懒的说了，后面听前台说准备装修，难怪！', '短评打分': 3}
{'短评内容': '酒店位置还可以，在常德市中心，出门很方便，但设施比较旧，服务一般，达不到三星的标准', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好、', '短评打分': 5}
{'短评内容': '很好很强大很干净', '短评打分': 5}
{'短评内容': '地址位置很好，但是房子装修已经陈旧。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '路上歇脚，房间还是比较干净的，设备有些陈旧…', '短评打分': 4}
{'短评内容': '无', '短评打分': 3}
{'短评内容': '有点年代了', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '超值！', '短评打分': 5}
{'短评内容': '超值！', '短评打分': 5}
{'短评内容': '总体不错，单间有点小。', '短评打分': 4}
{'短评内容': '还不错！', '短评打分': 4}
{'短评内容': '还不错！', '短评打分': 4}
