{'短评内容': '挺好的，没啥毛病。', '短评打分': 5}
{'短评内容': '挺好的，没毛病。', '短评打分': 5}
{'短评内容': '前台服务一般，其他不错', '短评打分': 5}
{'短评内容': '准四星吧，挺新的', '短评打分': 5}
{'短评内容': '房间很大，洗澡很舒服，因为是高层，睡得很好，没有人吵，设施不是很新。早餐还可以，凑合吃。咖啡好喝。', '短评打分': 4}
{'短评内容': '可以可以可以可以可以可以可以可以', '短评打分': 5}
{'短评内容': '位置很好找。房间不错。有停车的地方。', '短评打分': 5}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '环境很好，房间宽大，设施可以干净卫生，性价比不错，服务也很不错，非常值得很划的来，这个价位，以后还来', '短评打分': 5}
{'短评内容': '不错的酒店 前台接待服务部不错', '短评打分': 5}
{'短评内容': '一般般的酒店 不過不失', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间就是有点闷别的总体还行吧', '短评打分': 4}
{'短评内容': '酒店附近安静，商场饭店比较少。但房间宽敞干净，舒适', '短评打分': 5}
{'短评内容': '帮朋友定的酒店，地理位置还可以，交通相对没那么便利，打车不好打。酒店设施中等偏上，卫生环境一般化，整体属于大众水平，没有特别的短板也没有什么突出的，价格比较实惠。', '短评打分': 5}
{'短评内容': '帮朋友定的酒店，地理位置还可以，交通相对没那么便利，打车不好打。酒店设施中等偏上，卫生环境一般化，整体属于大众水平，没有特别的短板也没有什么突出的，价格比较实惠。', '短评打分': 5}
{'短评内容': '帮朋友定的酒店，地理位置还可以，交通相对没那么便利，打车不好打。酒店设施中等偏上，卫生环境一般化，整体属于大众水平，没有特别的短板也没有什么突出的，价格比较实惠。', '短评打分': 5}
{'短评内容': '这个价位不错了。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，周围用餐购物也方便，房间内设施装修都不错，值得推荐入住', '短评打分': 5}
{'短评内容': '酒店性价比很高，早餐品种太少，房间很整洁，前台态度也很好。下次还住。', '短评打分': 5}
{'短评内容': '酒店性价比很高，早餐品种太少了，房间很整洁，前台态度也很好。下次还住。', '短评打分': 5}
{'短评内容': '房间很大，卫生比较好，服务态度也不错，就是地方偏了一点，下次还会来', '短评打分': 5}
{'短评内容': '干净是干净，房间设施太简陋，连柜子都没有。。。卫生间玻璃门门还是斜的', '短评打分': 1}
{'短评内容': '    酒店性价比比较高，新开的，还有点味道，装修缺少点温馨的感觉。离太湖风景区区和鼋头渚比较近。适合商务人士。还有就是没包含早餐，早餐自助20元一人，比较贵。附近吃饭不方便，将近解决', '短评打分': 5}
{'短评内容': '住的很舒服', '短评打分': 3}
{'短评内容': '非常滿意 離景區和市區都不遠 房間很寬敞 床很舒服喔 讚', '短评打分': 3}
{'短评内容': 'Good value, but location is off a bit.', '短评打分': 5}
{'短评内容': '酒店内部非常的不错，床很软很舒服，就是大厅比较陈旧，但酒店是11年新开的，人员的整体素质还有待很大的提高', '短评打分': 3}
{'短评内容': '酒店还不错，大床比较舒服的，不足之处是早餐差了点，吃的人少，另外周边都是在大兴土木，有点灰和闹，还好房间楼层比较高，没什么噪音。', '短评打分': 5}
{'短评内容': '很好 房间很漂亮，我们一行六个人去鼋头渚玩，开车很方便，性价比还可以', '短评打分': 5}
{'短评内容': '装修风格不错,但细节上比较粗糙,衣柜镜子关不到位,厕所墙板脱胶.楼是公共的,而且周边是工地.价格不高,总体感觉一般.', '短评打分': 3}
{'短评内容': '很好,性价比很高', '短评打分': 3}
{'短评内容': '超赞！绝对性价比高的酒店！网速一般，房间干净整洁，入住相当舒适！值得推荐！。。。。。。。。。。。。。。。。 \n', '短评打分': 5}
{'短评内容': '住宿条件还可以，不过也只能说是一般~房间里有电脑很不错，房间也还干净，因为楼层比较高，所以晚上不是很吵，这点还不错~早饭有点简陋了~ \n交通不怎么方便，离灵山大佛很远，离火车站也很远，打的过去才有个万达，不然连吃饭的地方都没有~前台的服务员不知道什么情况，问她们什么事情，反正就是不搭理你，像没听见一样，还是后来有个大概年资高一点的过来，才回答了我们的问题~\n住下来的感觉，达不到四星标准吧~', '短评打分': 1}
{'短评内容': '房间还不错，够大，而且干净。门口停车位少了点，有些车子只能见缝插针，显得乱了点。', '短评打分': 5}
{'短评内容': '不推荐该酒店，说四星级酒店，其实最多也就算个商务酒店。楼下是办公场所，电梯超挤，设备质量超劣质。房门还是叫工程部的来维修才能打开！', '短评打分': 3}
{'短评内容': '性价比最高的酒店，可以达到4星标准，这个价格完全超值，强烈推荐来无锡游玩的朋友呢入住本酒店，本人亲身体验，不错', '短评打分': 5}
{'短评内容': '酒店号称是四星级的，服务员没怎么看到，前收银员也没一个正规的着装，就和外面小旅馆一样的服务，房间内说是有宽带的，用的时候被告知坏了，结账时候被告知不能刷卡，需用现金，索要发票时又说没有发票，一个字“晕”', '短评打分': 1}
{'短评内容': '离公司近就订了这里，房间环境不错，卫生状况良好，周边安静，但位置偏，没有吃玩的地方。服务说不上热情可也不错，早餐还好，推荐。', '短评打分': 3}
{'短评内容': '房间够大，设施够新，都很满意，下次有机会肯定还会入住！', '短评打分': 5}
{'短评内容': '新装修的气味不好', '短评打分': 3}
