{'descr': '房间网速很给力，但是环境确实一般，希望能有改进', 'star': 5}
{'descr': '价格便宜，房间很大！但是空调有点不太凉。周边景点古文化街，大悲院，天津之眼旅行好选择！', 'star': 5}
{'descr': '价格便宜，房间很大！但是空调有点不太凉。周边景点古文化街，大悲院，天津之眼旅行好选择！', 'star': 5}
{'descr': '  跟照片上得机器不一样，感觉有欺骗消费者的嫌疑。卫生间状态极差，都能游泳了，再有就是我本来通过网站订的5天，结果他第二天就告诉我先生您该退房了！我真是晕！就点打扫的也不到位，上午出去了告诉他打扫，晚上回来了竟然还没打扫完！这样的还200多一晚上，简直是抢钱！', 'star': 1}
{'descr': '  跟照片上得机器不一样，感觉有欺骗消费者的嫌疑。卫生间状态极差，都能游泳了，再有就是我本来通过网站订的5天，结果他第二天就告诉我先生您该退房了！我真是晕！就点打扫的也不到位，上午出去了告诉他打扫，晚上回来了竟然还没打扫完！这样的还200多一晚上，简直是抢钱！', 'star': 1}
{'descr': '隔音有点不好 楼道里的脚步声太吵了  话说 床头的大镜子太可怕了吧  。。。', 'star': 1}
{'descr': '隔音有点不好 楼道里的脚步声太吵了  话说 床头的大镜子太可怕了吧  。。。', 'star': 1}
{'descr': '订的大房  房间不小 很空   用的家具不怎么样 卫生间也挺凉 亮点是 沙发和电脑和旁边网吧用的一样 网速也快 估计是有关系 地点不错', 'star': 1}
{'descr': '订的大房  房间不小 很空   用的家具不怎么样 卫生间也挺凉 亮点是 沙发和电脑和旁边网吧用的一样 网速也快 估计是有关系 地点不错', 'star': 1}
{'descr': '房间刚一进去有种不同于一般房间的感觉，但是住的时候就会感到很不贴心，拖鞋不是一次性的，感觉很不爽，卫生间很让人失望，牙具、洗头膏在一起很简易，就感觉是住在街头旅馆一般，洗澡的下水不利，洗完澡后，洗手间就能游泳了，感觉不值200元这个价。唯一值得说的就是上网网速很快，因为和网吧一条线，所以很快。', 'star': 1}
{'descr': '房间刚一进去有种不同于一般房间的感觉，但是住的时候就会感到很不贴心，拖鞋不是一次性的，感觉很不爽，卫生间很让人失望，牙具、洗头膏在一起很简易，就感觉是住在街头旅馆一般，洗澡的下水不利，洗完澡后，洗手间就能游泳了，感觉不值200元这个价。唯一值得说的就是上网网速很快，因为和网吧一条线，所以很快。', 'star': 1}
{'descr': '~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': ',一般。', 'star': 3}
{'descr': ',一般。', 'star': 3}
{'descr': '房间整洁．窗外景色漂亮．总体印象不错．如备一次性拖鞋会更方便卫生，下次有机会再来。', 'star': 3}
{'descr': '房间整洁．窗外景色漂亮．总体印象不错．如备一次性拖鞋会更方便卫生，下次有机会再来。', 'star': 3}
{'descr': '装修的很有特点~~你懂得~~！！！！！！', 'star': 5}
{'descr': '装修的很有特点~~你懂得~~！！！！！！', 'star': 5}
{'descr': '喜欢床上的装饰，很干净，虽然找起来费劲。', 'star': 5}
{'descr': '喜欢床上的装饰，很干净，虽然找起来费劲。', 'star': 5}
{'descr': '环境有待加强！其他都不错', 'star': 3}
{'descr': '环境有待加强！其他都不错', 'star': 3}
{'descr': '客栈地理位置不错，出门就是步行街。很方便。', 'star': 3}
{'descr': '客栈地理位置不错，出门就是步行街。很方便。', 'star': 3}
{'descr': '房间还好，就是很奇怪为什么店里只看到160的房间广告，网上却会卖到180。不过临近古文化街。参观方便', 'star': 3}
{'descr': '房间还好，就是很奇怪为什么店里只看到160的房间广告，网上却会卖到180。不过临近古文化街。参观方便', 'star': 3}
{'descr': '还可以 离哪儿都不远~', 'star': 3}
{'descr': '还可以 离哪儿都不远~', 'star': 3}
{'descr': '楼下进电梯处没装修，让人感觉很不好，楼上进酒店前有大型电玩城和桌球设备，嘈杂混乱', 'star': 1}
{'descr': '楼下进电梯处没装修，让人感觉很不好，楼上进酒店前有大型电玩城和桌球设备，嘈杂混乱', 'star': 1}
{'descr': '一般', 'star': 3}
{'descr': '一般', 'star': 3}
