{'短评内容': '环境各方面都不错', '短评打分': 5}
{'短评内容': '房间挺温馨的，放心，挺温馨，挺好。', '短评打分': 5}
{'短评内容': '早餐很好，可以加床，适合带小孩，位置靠近保税区大厦，有停车场，', '短评打分': 5}
{'短评内容': '一般般吧！', '短评打分': 5}
{'短评内容': '还可以吧感觉', '短评打分': 4}
{'短评内容': '环境还不错，住了几次了', '短评打分': 5}
{'短评内容': '地段非常热闹，房间很干净', '短评打分': 5}
{'短评内容': '房间挺大的，升级了豪华大床房，两米的床带上孩子还是挺宽敞的，美中不足是卫生间的纸巾只有半卷，好在自己包里放了些。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '我定的大床房洗手池一定要盛点水，不然会有异味', '短评打分': 5}
{'短评内容': '价格有所提高', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '蛮好,商务出行比较方便', '短评打分': 5}
{'短评内容': '设备有点显老旧。其实不老旧。因为木制太师椅', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '满意，商务出行下次还会入住。', '短评打分': 5}
{'短评内容': ' 服務及環境都幾好', '短评打分': 3}
{'短评内容': ' 酒店设施和室内居住环境都感觉不错 但管理和星级酒店比还有差距 如清洁工拿把大扫帚和畚箕不乘货梯而大摇大把乘客梯 自助餐厅因雨漏水也未作提醒 以至客人用餐时坐在湿椅上湿了裤子也没人来打招呼', '短评打分': 3}
{'短评内容': '  環境服務都不錯', '短评打分': 3}
{'短评内容': '，已经住进来了，环境不错，在网上订房的价钱比直接订房要便宜一半，很划算，温馨大床真的很温馨，好大啊，好舒服，强烈推荐，', '短评打分': 3}
{'短评内容': '出差到北仑，预订这家精品商务酒店，却如其名，酒店的服务非常热情且耐心，早餐丰富，品种繁多。房间很温馨，特别是那个床让人很难忘，爽！酒店价格也不贵，性价比高，值得选择，下次去北仑还选择这家酒店。', '短评打分': 5}
{'短评内容': '新店，三月11号才开。床比较舒服，餐厅雕档次。270最低有点贵，性价比一般。跟好丽登一样调到230的话，人应该会多点', '短评打分': 3}
