{'短评内容': '酒店设施不算新，卧具看起来好像不是新换的。早餐质量挺好。', '短评打分': 1}
{'短评内容': '环境还不错，干净卫生，设备有点旧，地理位置很好，早餐差点。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '环境还不错，干净卫生，设备有点旧，地理位置很好，早餐差点。', '短评打分': 5}
{'短评内容': ' 热水小，冬天不要去住。早餐实际8点半开始，但餐券上写的是9点到11点，我九点下去连粥都没有了，种类也很少。下次不住了。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '＋', '短评打分': 3}
{'短评内容': '环境还可以，就是装修有点旧，交通十分方便，下次还会入住', '短评打分': 5}
{'短评内容': '房间很大很不错，灯光也很柔和~\n就是装修老了点', '短评打分': 5}
{'短评内容': '房间和大堂装修的很豪华，房间也蛮大的，硬件设施配备齐全，卫生条件很好，干净整洁，早餐丰盛，住着很舒服', '短评打分': 5}
{'短评内容': '算当地比较豪华的酒店了，房间卫生条件很好，装修的不错，服务比较好，住宿环境还可以', '短评打分': 5}
{'短评内容': '总体感觉很一般的酒店，房间硬件有些陈旧，但较齐全，服务一般，卫生条件还好，隔音效果不错，酒店周边出行比较方便', '短评打分': 3}
{'短评内容': '酒店地处市中心，周边交通出行蛮方便的，房间硬件齐全，服务到位，卫生很好，总体感觉各方面都是很不错的', '短评打分': 5}
{'短评内容': '酒店停车场比较大，有很多会议厅，配套设施齐全，餐厅环境很好，软件服务很到位', '短评打分': 5}
{'短评内容': '房间硬件设施齐全，服务到位，有问题问服务员，她们都会很耐心的帮助到我们，前台办事效率快，退房办理的很速度，房间空间较大，硬件设施齐全，隔音效果不错', '短评打分': 5}
{'短评内容': '前台服务很好，办事效率很快，客房服务比较一般，房间空间大小适中，价格合适，周边有一些餐馆，吃饭较方便', '短评打分': 3}
{'短评内容': '酒店位置不错，距离大芭莎购物广场很近，那边的交通很方便。酒店提供的早餐很丰盛，房间卫生条件很好干净整洁，住着很舒服', '短评打分': 5}
