{'短评内容': '卫生整洁，交通方便。性价比高。', '短评打分': 5}
{'短评内容': '交通方便，边上就有地铁站', '短评打分': 5}
{'短评内容': '酒店卫生干净，交通方便', '短评打分': 5}
{'短评内容': '酒店卫生干净。交通方便！', '短评打分': 4}
{'短评内容': '零压房洗澡浴柜底是漏的，而且比上次住的小，第二天换了一个普通大床房，晚上还没热水……一直到第二天退房还是没热水。', '短评打分': 4}
{'短评内容': '环境不错，干净卫生，第一次住汉庭，体验还是不错的，主要还是地理位置很好，地铁口就在附近。去哪都很方便。', '短评打分': 5}
{'短评内容': '有噪音，以后不去了', '短评打分': 3}
{'短评内容': '总体还可以', '短评打分': 4}
{'短评内容': '定了有外窗的房间，只是窗户是朝路的，有些嘈杂！卫生间太小，洗刷时弯腰得侧着身子，因为后面就是淋浴房的玻璃！淋浴房也很小！要协商延迟1小时退房前台就是不肯，最后加的钟点房！', '短评打分': 3}
{'短评内容': '定了有外窗的房间，只是窗户是朝路的，有些嘈杂！卫生间太小，洗刷时弯腰得侧着身子，因为后面就是淋浴房的玻璃！淋浴房也很小！要协商延迟1小时退房前台就是不肯，最后加的钟点房！', '短评打分': 3}
{'短评内容': '定了有外窗的房间，只是窗户是朝路的，有些嘈杂！卫生间太小，洗刷时弯腰得侧着身子，因为后面就是淋浴房的玻璃！淋浴房也很小！要协商延迟1小时退房前台就是不肯，最后加的钟点房！', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '酒店干净，服务态度好', '短评打分': 5}
