{'短评内容': '干净舒适', '短评打分': 5}
{'短评内容': '环境很好很安全', '短评打分': 5}
{'短评内容': '还可以！！', '短评打分': 5}
{'短评内容': '早餐不错，价格味道很亲民，安静，酒店卫生也不错。推荐', '短评打分': 5}
{'短评内容': '不错不错，老板人很好，我当初也是，如果我班里有比我学习好的，我一定要想办法超过他，这家店不很不错，很好', '短评打分': 5}
{'短评内容': '条件很不错', '短评打分': 5}
{'短评内容': '酒店不错，房间也很大，卫生安静。', '短评打分': 5}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '还可以，价格比平时贵一些', '短评打分': 4}
{'短评内容': '价格实惠，一般的宾馆吧。停车方便，早餐在隔壁快餐店里，很一般', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '一般般。。。。。？。。。。。。。', '短评打分': 3}
{'短评内容': '价格便宜实惠。', '短评打分': 5}
{'短评内容': '很好很不错的酒店，很值得入住', '短评打分': 5}
{'短评内容': '很好的位置，周围有天香公园', '短评打分': 3}
{'短评内容': '宾馆外的LED屏显示有88元标间，进去一问房间没了，携程打开一看还有，订完，那个前台还甩脸子，小宾馆也就这样了', '短评打分': 3}
