{'短评内容': '服务到位', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '很少点评，这个真的很好，下次还会来。', '短评打分': 5}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '很不错的酒店，位置也很方便！', '短评打分': 5}
{'短评内容': '真的不错，老板服务周到，还有车接接送', '短评打分': 5}
{'短评内容': '老板娘很热情啦，都接送的，但是床睡的不舒服', '短评打分': 5}
{'短评内容': '干净。', '短评打分': 5}
{'短评内容': '环境挺好的，在弄堂里面，比较安静！停车也非常的方便！', '短评打分': 5}
{'短评内容': '干净整洁方便，很不错', '短评打分': 5}
{'短评内容': '至少停车方便了很多，直接停在后面，进西塘古镇的门票就省了，下次去要订个好点的房间了', '短评打分': 5}
{'短评内容': '省了门票呢，雕花大床很有特色，空调也很足，还可以免费上网呢。\n', '短评打分': 5}
{'短评内容': '很棒的地方哦，回来这么长时间才来给评价，很温暖的一家旅店，是这次旅行中的一次亮点，完全没有西塘住宿经常出现的隔音差，有蚊子这些现象，本来还自己带了电蚊香液过去呢，去了发现酒店里边就有，不过根本就没用上，根本就没有蚊子。下次还会去住哦。', '短评打分': 5}
{'短评内容': '生活的享受，感悟的乐趣。\n人在画中，画在景中', '短评打分': 5}
{'短评内容': '首先店主人非常的热情，东情西韵非常棒，给个五星吧，还送了西塘的地图，下次去的话还会选择秘密花园。但是，房间内部有几点瑕疵的地方：第一，浴室的拖鞋感觉和酒店的风格不是很协调，显的很随便；第二，靠枕有些旧了，起毛了都；第三，房间里面没有生活用纸，有些不方便。总之呢，这次旅行非常nice，感谢秘密花园，尤其是那个阳台真是太赞啦！', '短评打分': 5}
{'短评内容': '游西塘首选，推荐!\n \n周末游西塘，S12西塘高速下来，给客栈电话，老板很热心的电话导航，大概开了15分钟，一路引导到店里停车场。到了店里，居然没有人来收票，等到我们在游景点的时候，才发现我们已经在景区里边了，省了我们每人100元的门票钱。停车场比较大，可以停个6-7辆车，应该是景区内唯一的停车场了，免了20元一天停在公共停车场的钱。\n \n这个是3次来西塘，是朋友推荐住的秘密花园，可能是景区内最好', '短评打分': 5}
{'短评内容': '    一大早来到西塘就到秘密花园将行李寄存了。我们是在唐家弄进入景区的，在店员详细的电话指导下，过了环秀桥，沿着烟雨长廊一直往西很快就找到了秘密花园。\n    真是有点好酒不怕巷子深的味道，在一条小巷的深处，弧形大门的旁边赫然挂着秘密花园的招牌映入我们的眼帘，秘密花园就在这样一个闹中取静的地方，就算外面烟雨长廊上游动再多的旅客，也不会被打扰。进入大门首先是一个小院，栽着一些植被，放着几把座椅，安', '短评打分': 5}
{'短评内容': '周末入住秘密花园,酒店远离喧嚣,非常安静,但离烟雨长廊非常近,出入很方便.住的是奥斯卡之夜,房间很大,欧式风格,是很喜欢的风格,而且很干净.老板人也很热情,对住客很客气.下次来西塘还选秘密花园.', '短评打分': 5}
{'短评内容': '在西塘，这家旅店算比较好的，位置佳，服务不错，遗憾的是洗澡时水温不是太烫就会很凉，大人可以凑合一下，小孩没办法洗哦！希望改进。', '短评打分': 5}
{'短评内容': ' 环境不错 住着舒服', '短评打分': 3}
{'短评内容': '曲径通幽，别有洞天。果然是秘密花园。还有个意外发现，开车从后院进来，竟然就不用买门票了，我买船票时说有门票能打折，我还在琢磨什么时候买门票', '短评打分': 5}
{'短评内容': '酒店总体来说还是挺不错的，卫生好，地方幽静，老板态度也很热情，感觉比较好。我自驾游去的，一开始我没找到酒店的位置，就把车停在了景区的停车场，花了20块钱。后来打电话给店里，老板很仔细地指引我开到了他们家的停车场，还在房费里扣下了20块钱作为补偿，说是因为他们提供的信息不详细而导致了我多花了20块钱停车费，刚到那儿就感觉到一份温暖。后来走的时候走的太急，忘了退房费的100块钱押金，前台的服务人员也忘', '短评打分': 5}
{'短评内容': '酒店真的很秘密，环境也很幽静，不会被古镇的游人所打扰，房间也较整洁，比较适合情侣居住，整体感觉很不错，推荐大家去玩时可以挑这家', '短评打分': 3}
{'短评内容': '问题已经解决，客服人员沟通态度也很好，下次还会去入住。', '短评打分': 5}
{'短评内容': '很不错的酒店，环境也很优雅，就是有点难找，不过这是西塘的特色啦！晚上风景很好的说！', '短评打分': 5}
{'短评内容': '西塘最好的旅店!\n\n入住了好几次了，是西塘最好的旅店。这次又看到秘密花园被Elong和新浪都作为西塘住宿首选推荐，看来群众的品味都不错。非常满意，很开心。这次Elong预订，有点小插曲。提前了2周预定要3间，都已经没有房间了。好在Elong协调了一下，等了1天终于预定成功了2间房间，另外一间只能去了别处（后悔）。旅店有西塘景区内唯一的停车场，估摸着可以停个7到8辆车。现在进西塘都要买票了，我我们高', '短评打分': 5}
{'短评内容': '前台MM很热情，订的是奥斯卡之夜性价比不高，房间打扫的不是很干净，毛巾有味道，沙发很不舒服。', '短评打分': 1}
{'短评内容': '经过一条小巷子才找到这家店，因为离河边有一点距离，所以酒店很安静。酒店里边有个小花园，加上里边的小客厅都布置得很舒服。房间比较干净舒服，印象中楼层间不是木板，所以没有其他客栈住一楼比较嘈的问题。值得推荐，下次去西塘还是首选住宿。', '短评打分': 5}
{'短评内容': '奥斯卡之夜很美好。非常喜欢。再去西塘的时候还会选择秘密花园的。：）', '短评打分': 5}
{'短评内容': '在祥云瑞气住了两晚，非常舒服，非常好。。。', '短评打分': 5}
{'短评内容': '雕花大床房还不错，就是小了点，外面的楼梯比较陡。：）', '短评打分': 5}
{'短评内容': '超喜欢！！！下次还住！！无线网很好很好，美女店主也很好哇~房间舒服死了，不过热水有点小，不过不影响整体啊~~', '短评打分': 5}
