{'短评内容': '地理位置不错，周边环境挺好，距离五四广场不远。', '短评打分': 5}
{'短评内容': '酒店位置不错，挺干净，就是装修稍显陈旧！', '短评打分': 5}
{'短评内容': '酒店位置挺好，距离五四广场不远，性价比不错。', '短评打分': 5}
{'短评内容': '订的豪华标间，实际情况太差了', '短评打分': 2}
{'短评内容': '离广场近，酒店服务中规中矩', '短评打分': 3}
{'短评内容': '交通方便，', '短评打分': 5}
{'短评内容': '环境比较安静，不吵闹，营业人员的服务态度很好，四周餐馆比较多，黄焖鸡米饭挺多，酒店设施一般吧，有些需要维修啊', '短评打分': 4}
{'短评内容': '环境一般 酒店有点老', '短评打分': 3}
{'短评内容': '很差很差的酒店  不要去住  太脏太乱了！', '短评打分': 2}
{'短评内容': '服务态度特别好', '短评打分': 5}
{'短评内容': '点评迟了！不错啊，卫生、服务都好，设施相对弱点，环境不错，停车方便。下次来还考虑这里。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '价格实惠，服务可以，wife信号太差，服务员说拿去修，可一去不复返，直至离店也没见修好送来。', '短评打分': 5}
{'短评内容': '整体感觉还是可以的，因为是老式宾馆，隔音设施都不太好，交通比较便利', '短评打分': 4}
