{'短评内容': '天天快捷酒店服务和环境都太差了，而且没有热水和暖气', '短评打分': 1}
{'短评内容': '好，第二天住了', '短评打分': 5}
{'短评内容': '差评！没有窗户，也没有烧水壶！最不能接受的是没有窗户，不会再住了！', '短评打分': 3}
{'短评内容': '蚊子多，房间差！', '短评打分': 1}
{'短评内容': '没有独立卫生间，不过这个价格还是比较划算，不是住，只是去休息一下', '短评打分': 5}
{'短评内容': '不错，挺大的。。。。。。。。', '短评打分': 3}
{'短评内容': '不错挺大，就是卫生间没有排风扇', '短评打分': 3}
{'短评内容': '一般吧，房间里有味道，对不起这价格', '短评打分': 3}
{'短评内容': '不怎么样，蚊子太多。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '一般般……', '短评打分': 4}
{'短评内容': '房间空间较小', '短评打分': 2}
{'短评内容': '房间设施比较老旧，被套已经破损，灯开关个别损坏，而且房间隔音效果差，能听到隔壁呻吟声。', '短评打分': 1}
{'短评内容': '干净舒适，主要是有wifi', '短评打分': 5}
{'短评内容': '离838站牌很近方便坐车，价钱也很合理，服务态度好好', '短评打分': 5}
