{'descr': '还可以，价格比较实恵', 'star': 5}
{'descr': '还可以，价格比较实恵', 'star': 5}
{'descr': '还可以，价格比较实恵', 'star': 5}
{'descr': '还可以，价格比较实恵', 'star': 5}
{'descr': '环境，服务，卫生都很好', 'star': 5}
{'descr': '服务好，房间环境好，价格合理', 'star': 5}
{'descr': '有外地盆友来玩，给他们定的～就在家门口，服务也好～～', 'star': 5}
{'descr': '床上柜上竟然全是灰尘', 'star': 3}
{'descr': '酒店位置不错，附近吃饭都比较方案。性价比较高，到市区有点远！ 洒店设施都不错，服务也不错。特别是旁边就有咖啡店，方便朋友小玩！', 'star': 5}
{'descr': '一般酒店有的他都没有，实在是差，连拖鞋都没有，也没沐浴露洗澡了，空调也是一个差，基本没有热气，', 'star': 2}
{'descr': '酒店干净卫生，周围环境较好。', 'star': 3}
{'descr': '房间还可以。跟照片上的差不多。就是床太软了。。。', 'star': 3}
{'descr': '临时入住，先安排的房间霉味大的不得了。换了房间，100多的房间，还能有什么要求？', 'star': 3}
{'descr': '完美服务环境优美值得再来', 'star': 3}
{'descr': '还可以。 就是缺少一些插座…', 'star': 3}
{'descr': '酒店很好，性价比高，环境好，室内干净，是值得一住的地方。就是服务员缺点笑容。', 'star': 5}
{'descr': '很好。设施好，性价比高。另外，感谢（表扬）一下餐厅服务员：我吃早餐时把包丢在餐厅了，服务员帮我收起来，避免了我的财产损失，使我的旅行更加愉快。……总之，是姜堰金湖湾假日酒店领导管理到位，服务人员素质高。', 'star': 5}
{'descr': '在当地的宾馆中这家的环境属于很不错的，房间宽敞，床也蛮大的，服务也很到位，去姜堰游玩的话值得一住！', 'star': 5}
{'descr': '酒店位置偏僻，不过姜堰本来就不大。其它一般，但前台明明有发票为什么找理由不肯开，想偷税？', 'star': 3}
{'descr': '房间很干净舒适，早餐也不错。', 'star': 3}
{'descr': '朋友都说宾馆很好，干净、配套也好。大家都觉得很满意。', 'star': 5}
{'descr': '酒店的位置、环境、设施、卫生都很好。早餐太差，7点半去的就什么都没有了，服务员的态度还不好。另外结账时还多收了我15元，说是消费了茶叶，我订了3间房，也不知道哪间房消费的，赶时间就结了帐。后来一查，就是我的房间消费的，想想恐怕是我留下的空茶叶罐让他们误会了。郁闷。', 'star': 5}
{'descr': '酒店环境还可以,但是内部用具有点脏，可能生意不好，所以打扫的不是很干净', 'star': 5}
