{'descr': '地点好找，安静，就是暖气不这么热', 'star': 5}
{'descr': '这个汉庭真的是住过最差的汉庭！大家注意了', 'star': 3}
{'descr': '不错，很安静。放假很大 就是被子冬天有点薄 而且有点冷，其他的都挺好的 副楼离服务台有点远 这点不太好 ', 'star': 5}
{'descr': '烂！就一个字，烂！', 'star': 1}
{'descr': '从来不住汉庭第一次选择，但是住进去，很失望，价格随时随意变', 'star': 5}
{'descr': '还不错，性价比高', 'star': 5}
{'descr': '还可以的', 'star': 5}
{'descr': '住过几次，不错！推荐！', 'star': 5}
{'descr': '好，不错的', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '装修太老了，最喜欢他们的枕头，就是枕套不干净，找人找了半小时才换了。因为有事下午很晚才走，刚到的时候跟服务人员说了晚走会，答应延退一小时，最后退房时又不给延了，没信誉。', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '两次都在这 方便干净', 'star': 3}
{'descr': '很好的房子，^_^☺', 'star': 3}
{'descr': '简单干净清爽，隔音好', 'star': 3}
{'descr': '总体来说还是不错的吧，性价比比较高，这次入住比较满意', 'star': 5}
{'descr': '一般般吧，早餐不好', 'star': 3}
{'descr': '酒店还行，蛮大的，有早餐，但睡过头没吃到！', 'star': 3}
{'descr': '很好，蛮干净，空间也大，，推荐   ，因为楼层高，较安静', 'star': 5}
{'descr': '部分房间有异味 隔音不好最好住不临街那面 其他都好 床被子枕头超舒服 中西式早餐不错 牛奶超浓 喜欢 每次都住这里', 'star': 3}
{'descr': '这间还有落地窗，不错', 'star': 3}
{'descr': '该店环境优雅，干净卫生，服务优质，值得推荐！', 'star': 3}
{'descr': '订的高级大床房，选的阳面，房间很大，还带个封闭式阳台，柜子、桌子也很宽敞，床舒服，暖气也足，不错，不过对着马路，白天有点吵，卫生间隔断设计不合理，洗完澡拿浴巾不方便，晾衣服也不好晾，屋子里进去总感觉有股味道，要打开窗户透会气才行，抽风机也罢工，宽带是电信的，原以为很快，不过实际浏览网页的速度一般般吧，上微博连图片有时都很难打开，还限了速，只能下载、上传100K每秒，从公司FTP拖资料，下了半天，地', 'star': 5}
{'descr': '服务很热情', 'star': 3}
{'descr': '预订和入住的是161元每晚的大床间，酒店位置和条件均佳，但就是正门不太明显也不太好找，另外对于较大的客房而言电视机有点小。', 'star': 5}
{'descr': '卫生很好', 'star': 3}
{'descr': '房间比较大，很干净，停车也比较方便。', 'star': 3}
{'descr': '汉庭的环境舒适，服务态度很好。下次还会光临', 'star': 5}
{'descr': '比较的安静，就是房间的下水有点问题，马桶老是堵着！', 'star': 5}
{'descr': '房间很大,是4星酒店的水准,装修得也不错.性价比非常高.就是酒店大门朝内,应该再设个标志.', 'star': 5}
{'descr': '这家真的不错，标间有2瓶冰露矿泉水和宝洁旗下的洗护用品都是免费的，(包括2袋潘婷洗发、2袋潘婷护发、2袋海飞丝男士、1袋玉兰油修护霜)。相对于其他酒店房间大，而且干净，重点是相对于其他城市的汉庭更便宜。就是位置稍远，但打车到市中心展览馆也就7元，还是非常值得推荐的。', 'star': 5}
{'descr': '特别超值，遗憾的是 只有周末百元房。。。一定给朋友强烈推荐   相当舒适  ', 'star': 5}
{'descr': '这是我住过的最满意酒店嘿嘿\u3000服务好还能打电话\u3000热水从早到晚都有\u3000最主要相当干净', 'star': 3}
{'descr': '还不错，环境什么的都行，就是人多的时候前台服务招呼不过来。', 'star': 5}
{'descr': '网速较慢，来的时候电梯检修，只好爬楼梯。晚上还停电了，其他还好。', 'star': 3}
{'descr': '\u3000\u3000服务好\u3000\u3000交通便利', 'star': 3}
{'descr': '酒店不错，非常干净，也很安静，就是在城市的最北边，不是市中心。开车较方便。', 'star': 5}
{'descr': '总体来说，性价比较高，才100元，住这样的还是挺合适，花多少钱，得到多少的服务，能成正比，就合适', 'star': 5}
{'descr': '汉庭酒店最大的问题就是配套还不够全,有些东西还没有', 'star': 5}
{'descr': '刚装修完味道刺鼻，眼睛都快睁不开了，网速超慢几乎打不开网页，服务态度很冷漠，不推荐\n\n--------------------------------------------------------------------------------\n', 'star': 1}
{'descr': '新开业不久，酒店早餐还不完善。房间还算干净。', 'star': 1}
