{'短评内容': '设施太久', '短评打分': 3}
{'短评内容': '宾馆整体还是不错的。  基础设施有点不完备', '短评打分': 5}
{'短评内容': '房间内整洁干净，室外环境一般但不重要，多数服务人员非常好，但有例外，', '短评打分': 4}
{'短评内容': '服务态度不是很好，有些房间空调坏了，而且洗漱用品不齐。', '短评打分': 4}
{'短评内容': '环境差！服务态度差！设施陈旧！连个吹风机都没有，不值这个价！', '短评打分': 1}
{'短评内容': '嘛嘛地', '短评打分': 4}
{'短评内容': '出行方便，交通便利，性价比不错', '短评打分': 4}
{'短评内容': '交通便利，出行方便，性价比不错', '短评打分': 4}
{'短评内容': '交通便利，干净卫生，性价比高', '短评打分': 4}
{'短评内容': '位置好，出行方便，干净卫生', '短评打分': 4}
{'短评内容': '交通便利，环境舒适，卫生干净，性价比不错', '短评打分': 5}
{'短评内容': '空调老旧，开了很久都不暖和！冬天着冷死了我了！下次不会再来了！', '短评打分': 3}
{'短评内容': '还可以。非常普通的小旅店', '短评打分': 4}
{'短评内容': '离火车站较远，酒店外观简陋，但房间还算干净，装修还算可以，可以免费打电话，整体算可以。', '短评打分': 4}
{'短评内容': '周边吃饭的地方很少，酒店外面看很旧，不过里面倒是挺干净，住着也挺舒服，总之性价比还可以', '短评打分': 5}
{'短评内容': '值得入住.干净卫生.在贵阳来说应该是性价比高的了.', '短评打分': 5}
{'短评内容': '离火车站稍有点远，网络不是很好，其它都挺好。', '短评打分': 3}
{'短评内容': '性价比不错1111111111111121222', '短评打分': 5}
{'短评内容': '很不错，就是有点难找，希望把店招弄大点就好了\n', '短评打分': 5}
{'短评内容': '性价比不错，但靠街一面车流太大，其他都还好', '短评打分': 5}
{'短评内容': '交通方便，干净整洁，服务态度颇好。美中不足之处是时有客人走错房，敲错门。', '短评打分': 5}
{'短评内容': '离火车站还算近，硬件设备还可以，挺新的。但是酒店房间临街，隔音奇差，吵得不得了，根本没办法休息', '短评打分': 1}
{'短评内容': '服务态度很好，，房间干净舒适，性价比高。', '短评打分': 5}
{'短评内容': '环境很干净，舒适，房间宽敞，唯一不好的就是靠马路，有点吵', '短评打分': 5}
{'短评内容': '室内宽敞，环境很干净，很舒服，性价比高。', '短评打分': 5}
