{'短评内容': '差', '短评打分': 1}
{'短评内容': '还行，位置不错', '短评打分': 4}
{'短评内容': '酒店位置很好，第六人民医院对面，房价也不贵。最重要的是免费停车场。', '短评打分': 5}
{'短评内容': '真是不能说服务了，就是价格不高，但是服务员的态度很一般吧，说话爱答不理。性价比不高', '短评打分': 2}
{'短评内容': '房间还不错，标准间，很干净，睡着很舒服，周边生活很方便，性价比也比较高，服务也很好，总之性价比很高，值得推荐，在6院住院部对面的小街道里，不难找。', '短评打分': 5}
{'短评内容': '交通位置比较方便，市中心，距离公司近，第二天早起比较方便，酒店设施很一般……', '短评打分': 3}
{'短评内容': '入住时服务人员就态度不好，还说我们已经不接携程的订单怎么还有携程的订单过来，最后联系携程才得已解决，退房时又是另一个前台，就晚了十分钟态度非常差，说话也非常狠，态度特别拽，发票也不给开，还给我来了一句任何时候都可以开发票，就是现在不能开，明明前台只是在贴广告纸，和我说发票都不能开，当我傻子啊，丫的，酒店经理你得好好教育一下你们员工了，你们员工素质太低了，你们的酒店环境和你们前台的态度一样差', '短评打分': 1}
{'短评内容': '不错不错不错不错不错不错不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店有些旧了，里面有些赃，但床睡得还可以！', '短评打分': 3}
{'短评内容': '酒店干净卫生，服务很好。房间设施可以。下次继续光顾。', '短评打分': 5}
{'短评内容': '同事到沪出差订的，房间设施一般，无窗房，空间小，就是价格便宜', '短评打分': 1}
{'短评内容': '同事到沪出差订的，房间设施一般，无窗房，空间小，就是价格便宜', '短评打分': 1}
{'短评内容': '从汽车南站打车到宾馆约23元，离六院的确很近，只是比较难找，严格地说是在六院住院部对面的那条小马路上。宾馆门面不大，内部设施简单，几乎没什么家具，但还算干净。热水很大，空调效果也不错，晚上也挺安静的，不过没有一次性拖鞋，适合于对环境要求不高的人群。大堂的服务员态度挺好的。', '短评打分': 5}
{'短评内容': '房间 比较小,还不干净,床也比较小地方也偏,总之没有连锁酒店干净.', '短评打分': 1}
{'短评内容': '如果是去市六医院看病的话住住无妨，出去玩的话建议不要住，里面90%都是去看病的病人。床板很硬！', '短评打分': 5}
{'短评内容': '便宜又干净  交通又很方便  一出巷子就是医院  各种便利', '短评打分': 5}
{'短评内容': '帮朋友定的，感觉还不错.离六院很近，对于来看病的人来说很方便。', '短评打分': 5}
{'短评内容': '酒店跟六院很近，但是卫生不是很好。。。。在小巷子里，床单墙壁有点脏。。', '短评打分': 5}
{'短评内容': '就只是价钱便宜而已。隔音设施、硬件设施（电视机）_不太好。', '短评打分': 5}
{'短评内容': '酒店位置离第六人民医院很近，房间设施一般，就是隔音效果很差，外面走路的声音都能听见', '短评打分': 1}
{'短评内容': '酒店很好，老板也很热情，下次很会入主！~~', '短评打分': 5}
{'短评内容': '就是便宜 没其他好的地方了   房间也小  ', '短评打分': 5}
{'短评内容': '夜里十一点多有人喝醉了,在走廊里闹,一直闹到夜里二点多.打电话给服务员,没人接,只好带着耳机睡.', '短评打分': 1}
{'短评内容': '房间有些偏小。。。别的都还好，有机会还会去的', '短评打分': 5}
{'短评内容': '对面就是六院，周边都是那种小旅馆。房间比较小，设施简陋，而且很脏。\n虽说我订的是便宜，可再怎么样，地板也得擦干净吧。', '短评打分': 1}
{'短评内容': '房间一般', '短评打分': 3}
{'短评内容': '还行还行还行还行还行还行还行还行还行还行还行还行', '短评打分': 5}
