{'短评内容': '挺好的，替家人订的', '短评打分': 5}
{'短评内容': '服务热情，停车安全，外出方便，但房间隔音效果实在太差', '短评打分': 4}
{'短评内容': '停车方便', '短评打分': 3}
{'短评内容': '停车方便', '短评打分': 3}
{'短评内容': '停车特别发～方便', '短评打分': 4}
{'短评内容': '房间宽敞，布局合理，周边环境不错，服务一般，设施老旧。', '短评打分': 5}
{'短评内容': '好，环境干净，服务周到，热情周到', '短评打分': 5}
{'短评内容': '其他一切都好，但收的客人乌七八糟，晚上喝酒的人吵得睡不着觉，也没人管理，以后再也不会住那了！', '短评打分': 5}
{'短评内容': '很不错 服务和房间都很满意', '短评打分': 3}
{'短评内容': '还可以，但感觉哈密地区这个价格稍微高一些', '短评打分': 4}
{'短评内容': '周边环境很好，办事挺方便。', '短评打分': 4}
{'短评内容': '地理位置尚可，其他不行，網速差，臉難看，前台服務經常沒人，隔音效果差，床太硬……', '短评打分': 3}
{'短评内容': '宾馆房间比较大舒服。餐厅与宾馆最好能统一结算。', '短评打分': 3}
{'短评内容': '酒店各方面还不错，还算干净，感觉贵了点，性价比一般。', '短评打分': 5}
{'短评内容': '原预定两晚，住了一晚即退房换了另一家~~~~设施老旧，楼道味道很大，尤其隔音效果差，早上7点实在忍不住了即退房~~~~推荐加格达酒店，同样的价格住在贵宾楼一室一厅的房间，硬件4星', '短评打分': 1}
{'短评内容': '酒店位置较好，在市区中山路上。酒店设施完好、卫生干净，双人间比较大。不足的是酒店餐厅做的菜偏咸，希望改进。总体满意，下回去哈密还住哈密商业酒店。', '短评打分': 5}
