{'短评内容': '还可以╮(￣▽￣)╭', '短评打分': 5}
{'短评内容': '满意，干净卫生', '短评打分': 5}
{'短评内容': '还好还好还好还好还好还好。', '短评打分': 5}
{'短评内容': '还行，价格略贵。还行，价格略贵。还行，价格略贵。', '短评打分': 5}
{'短评内容': '还行，价格略贵。还行，价格略贵。还行，价格略贵。', '短评打分': 5}
{'短评内容': '空调声有', '短评打分': 4}
{'短评内容': '还过得去，可以住', '短评打分': 5}
{'短评内容': '环境不错，硬件也很好！交通方便！', '短评打分': 5}
{'短评内容': '男朋友过生日给他的惊喜，定了个花园套房，房间设施齐全，干净整洁，唯一美中不足的是对面是学校，早上很早就打铃', '短评打分': 5}
{'短评内容': '还行，勉强对得起这个房价', '短评打分': 4}
{'短评内容': '才', '短评打分': 3}
{'短评内容': '可', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 1}
{'短评内容': '一直住，每次出差首选', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还是不错，精品酒店，价格稍贵，打个折就好了', '短评打分': 5}
