{'短评内容': '古德', '短评打分': 4}
{'短评内容': '預訂時網站上沒有説洗手間在房间外（公用），怪我咯（眼睛大，没办法），但还好，基本上没人公用。酒店叫”小清新”，个人感觉叫”回味校园”更贴切，还要是男生宿舍。房间小哥你不收拾还算了，垃圾也要清下吧（可惜没有），连卫生间的也是投诉后才清理的。', '短评打分': 3}
{'短评内容': '离龙头路比较远，大概走1公里左右到。由于订得比较晚，由双人榻榻米改成了双人大床。房间挺大的，设施也齐全，不过风筒不好用。来鼓浪屿提前订房价格贵优惠很多。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以吧，比较偏僻', '短评打分': 4}
{'短评内容': '房间很小，漂亮还是漂亮的，卫生间也很小', '短评打分': 4}
{'短评内容': '周围环境非常不错，离海边很近，卫生也可以。全五分好评。', '短评打分': 5}
{'短评内容': '搞了半天是在一户人家家里的隔板房间里，只有一块三合板和玻璃隔开，声音大不说，而且床就是在地上放个床垫，晚上有虫子。浴室下水道堵了，水漫金山，洗具也不齐全。关键价格不便宜啊。一清早房东出去了留个小小的小孩子一个人在家，房东的小孩子找不到大人一直嚎啕大哭，六七点就把我们吵醒了。果断搬出去退房了。好在房东人还好，帮助搬东西和退房都二话不说的。只觉得不像专业的酒店和民宿，像是去花三百块钱借户投宿的。不推荐', '短评打分': 3}
{'短评内容': '棒 下次还想去！', '短评打分': 5}
{'短评内容': '装修很有特色，符合酒店名字，环境很好，店家服务热情。', '短评打分': 5}
{'短评内容': '挺好的，离两个码头都近。', '短评打分': 5}
{'短评内容': '房东阿姨人特别特别好~预定的四人套间简直太棒了！我们到了之后看见房间简直喜欢的不行，还多定了一天。阿姨家的两个小朋友也非常热情可爱。位置不难找，下船联系老板就会收到指路短信。设施很齐全，但是美中不足的是卫生还不太完美。总之还是很不错的~推荐。', '短评打分': 3}
{'短评内容': '挺好的 老板人也很好', '短评打分': 5}
