{'短评内容': '感觉还行吧，凑合休息的', '短评打分': 3}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '还是不错的！', '短评打分': 5}
{'短评内容': '环境很好，舒服', '短评打分': 5}
{'短评内容': '酒店位于仙女山镇边，停车方便，适合自驾游。酒店的老板娘很友好热情！距离仙女天街比较近，去吃东西比在镇上吃更好些，镇上人多嘈杂。', '短评打分': 5}
{'短评内容': '在景区酒店都比较贵，挑了很久挑到这一家，感觉很实惠了，不贵，而且房间也很大，毕竟去旅游嘛，对住宿设施要求不高，但是确实是可以，值得推荐', '短评打分': 5}
{'短评内容': '房间霉味有点重 电视信号也不好 但是老板服务很好 到了那边 可以车接车送 很方便 老板真的很热情 希望房间能够打扫的好一点 平时多透风 ', '短评打分': 4}
{'短评内容': '还行吧，距离游客中心有点远', '短评打分': 3}
{'短评内容': '国庆节去的，酒店位置很好找，跟着导航就可以到酒店。酒店房间不是很大，但是卫生做的还可以，早上有简单的早餐吃。酒店有自己的餐厅，周围饭店也很多，老板很热情客气，以后去仙女山镇还会住这家。', '短评打分': 4}
{'短评内容': '服务挺好，但环境一般', '短评打分': 3}
{'短评内容': '房间比较大，洗澡也很舒服，就是设施简陋了点，挂衣服的地方都没有，椅子也少了。', '短评打分': 3}
{'短评内容': '酒店还可以，比较干净，艺龙预订非常方便', '短评打分': 3}
