{'短评内容': '不错住过几次了', '短评打分': 4}
{'短评内容': '住了两次环境不错', '短评打分': 5}
{'短评内容': '服务还不错，地方也比较大。我们住的是没有早餐的，我们出差过来三个人住一间房间，两个床拼一起就可以睡了。', '短评打分': 5}
{'短评内容': '不错啦', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': 'ddfgtfhyggg', '短评打分': 5}
{'短评内容': '还挺好的', '短评打分': 5}
{'短评内容': '很多次都住这，环境不错，性价比很高，房间也很大东西，东西很齐全，有两瓶免费水，不过没用，只是拿来刷牙了', '短评打分': 5}
{'短评内容': '老旧不堪的房间让人有点无语，人家服务态度还不错，让我不忍心拒绝，想想还是算了，我忍了。空调不给力，电脑可能n年没开过机，墙上有水迹，估计自开业以来就没再装修过。', '短评打分': 3}
{'短评内容': '房间很好，很干净，也很安静，早餐很好，都是热的，包子铺，都是刚出笼的包子，老板很客气，包子很好吃，花样也多。棒', '短评打分': 5}
{'短评内容': '房间还可以，地段也方便。不错，早餐很不错，很好吃，都是刚出笼的包子，稀饭，有很多种，吃到饱，房间也很干净', '短评打分': 5}
{'短评内容': '舒适，卫生！', '短评打分': 5}
{'短评内容': '还不错，地理位置方便。。。。', '短评打分': 4}
{'短评内容': '酒店位置好，很容易找，卫生不错、房间大、视线及采光好，在这个价位中内部的设施算非常好的了，网上订价格非常实惠  严重推荐。下次去温江还选这家。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 4}
{'短评内容': '可以！', '短评打分': 4}
{'短评内容': '很好', '短评打分': 4}
