{'短评内容': '前台非常热情，态度也很好，就是酒店的硬件设施有些老旧。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 1}
{'短评内容': '房间卫生实在堪忧，卫生间浓浓的怪味，除了厕所用纸和洗漱用品外，其他所有的都是收费的，电视老旧，频道不多，房间隔音也比较差。总得来说，性价比比较低，对于卫生和气味有要求的强烈不推荐。', '短评打分': 2}
{'短评内容': '非常的实话，再凑10个字！', '短评打分': 5}
{'短评内容': '味道大', '短评打分': 3}
{'短评内容': '我只想说2015年装修的现在就破成那样，你要觉得我是恶意评价也可以，但真的没那个必要。那洗手池子都变成黄色的了，那个镀铬的装饰都成黑的了。老铁们啊，我住的是真扎心', '短评打分': 1}
{'短评内容': '服务态度不好，网络不错', '短评打分': 5}
{'短评内容': '好非长好，特别是前台服务员热情洋溢。给一百个赞。', '短评打分': 5}
{'短评内容': '对得起这价格', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '整体一般，快捷类型，有返现凸显性价比。', '短评打分': 3}
{'短评内容': '整体一般，快捷酒店，有返现凸显性价比。', '短评打分': 3}
{'短评内容': '特别实惠，酒店位置很好，出门打车也很方便，去哈尔滨游玩几天过得也很开心', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '酒店在果戈里大街上，交通方便，只是开始给我们一个很小的房间，非常小，打电话到前台后，才给换了个大点的房间，酒店浴巾不是很干净，服务还可以，前台态度好，我们住的楼层wifi不好使，早餐还可以，，188的价位个人认为，不是很值', '短评打分': 4}
{'短评内容': '太久了没有照片，酒店房间设施相对陈旧，不过面积够大', '短评打分': 4}
{'短评内容': '温馨舒适！冬天非常暖和！下次还会选择入住', '短评打分': 5}
{'短评内容': '还不错就是旮旯里有蜘蛛网。房间够大。', '短评打分': 5}
{'短评内容': '前台服务太一般了，总有种不耐烦的感觉。最可恶的是空调居然是中央空调，不能自己控制的，只能是服务员有遥控器，晚上打开了之后问如果觉得冷是不是还是找服务员帮关上，服务员居然说冷就把窗户打开，这家酒店严重不推荐，太次了。我住的是豪华套房，客厅没有窗户，有客人在屋子里抽了烟，问前台怎么能把烟味散出去，得到的答案是没有窗户散不出去。套房客厅没有窗户没有空调，只有我是有中央空调，太差了！！', '短评打分': 1}
{'短评内容': '服务还可以，房间不满意当即就给换了。但是酒店居然没有热水，空调。有些设施也是坏的，据说这酒店还是刚开的不知道怎么装修的。', '短评打分': 1}
{'短评内容': '酒店正在装修，先前定的豪华家庭间换成普通三人间，价格不变，房间太一般，有的地方还发霉了，不太满意，好在服务不错，将就了。', '短评打分': 3}
{'短评内容': '              刚刚开业的酒店，酒店的服务好、位置好、入住后收到了两杯酸奶（虽然不是什么大礼物，但是很贴心。。。）', '短评打分': 5}
