{'短评内容': '早餐还可以，性价比还行！', '短评打分': 4}
{'短评内容': '在市中心，有点吵，有早餐券送，别的还行', '短评打分': 5}
{'短评内容': '每天330元标准不如其他酒店200元。特别卫生间档次太低，比不过一般快捷酒店。', '短评打分': 3}
{'短评内容': '房间设施略显陈旧 隔音效果不佳 但考虑酒店优越的地理位置性价比较高。对面就是一个高端商场，有电影院 附近两个大型超市麦德龙和仁和春天，附近有个一点点 水吧人挺多的，挨着水吧有个干拌冒菜很好吃。', '短评打分': 5}
{'短评内容': '房间设施略显陈旧 隔音效果不佳 但考虑酒店优越的地理位置性价比较高。对面就是一个高端商场，有电影院 附近两个大型超市麦德龙和仁和春天，附近有个一点点 水吧人挺多的，挨着水吧有个干拌冒菜很好吃。', '短评打分': 5}
{'短评内容': '比较老的酒店了  各方面很一般，过于挑剔的朋友建议住附近的贵州饭店。', '短评打分': 4}
{'短评内容': '其它都好，就是网络太差了。用的移动宽带，wifi时有时无，网速慢得要死', '短评打分': 3}
{'短评内容': '这个酒店我找不到可以点赞的，遗憾！', '短评打分': 2}
{'短评内容': '酒店地理位置尚可，出行方便。客房较清洁，服务也尚可，合适不同客户群需求。', '短评打分': 4}
{'短评内容': 'hjghjukhjk cnbmnbmjhk, hgkjffgkjfjkjhkjhhhj,bm,mn', '短评打分': 3}
{'短评内容': '酒店还不错，价位也合适，卫生还可以', '短评打分': 5}
{'短评内容': '这个确实不错的,除了前台小妹态度很一般之外,房间很宽敞,挺豪华,也干净整洁,注意桌上的小包的茶叶,虽然没有标价,但要收钱的,10元一包,还有一个我不喜欢的地方是,化妆镜基本正对着床,从风水上来说,这样放不好的,于是睡觉的时候,我还把镜子取下来了的.位置挺安静,周边的吃的特别难吃,可能要走远一点才好.酒店本身 不错,只是周边环境较破烂.但就睡觉来说,这酒店不错.\n', '短评打分': 1}
{'短评内容': '出入交通便捷，早餐也不错；缺点是靠公路一侧噪声较大。\n中低价位酒店，凑合i', '短评打分': 1}
{'短评内容': '，阳光酒店还是三星，太差了', '短评打分': 3}
{'短评内容': '位置好，价格便宜，房间设施也不错。。。。。。', '短评打分': 5}
{'短评内容': '优点：服务态度较好，出入交通便捷，早餐也不错；缺点是靠公路一侧噪声较大。\n中低价位酒店，总体不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '位置不错，干净卫生，离贵阳一小吃街较近，不错不错，推荐入住！', '短评打分': 5}
{'短评内容': '还可以吧   就是卫生条件   还得再提高', '短评打分': 5}
{'短评内容': '房间比较干净，早餐非常一般。周边环境不错。', '短评打分': 5}
{'短评内容': '还不错，离办事的地方很近，周围环境也可以。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '交通方便，早晨也不错，还不错，下次来继续入住', '短评打分': 5}
{'短评内容': '比想象中的窄的多，价格还一点不便宜！\n不推荐入住~', '短评打分': 1}
{'短评内容': '卫生服务还可以，位置也不错，房间不大，设施一般，性价比一般', '短评打分': 1}
{'短评内容': '性价比不好，卫生间很小，还有很大的异味串出来', '短评打分': 1}
{'短评内容': '值得推荐。', '短评打分': 3}
{'短评内容': '酒店很一般，卫生设施也挺一般，性价比不是很高， 位置倒是挺好找。没什么特别的地方。', '短评打分': 1}
{'短评内容': '值得推荐，希望早餐能够增加菜品和数量，有时稍微晚点去就没菜了。', '短评打分': 5}
{'短评内容': '阳光除去位置偏点外，其他不错。下次还住阳光', '短评打分': 5}
{'短评内容': '房间里，电视、空调基本设施都有，还能洗澡，感觉挺不错的。', '短评打分': 5}
{'短评内容': '卫生很不错，设施设备也比较舒适，但是房间有些小，毛巾已经很陈旧了还在用，早餐没有热度。另外和广告词上所写（火车站附近）有点出入。', '短评打分': 5}
{'短评内容': '房间里打扫的挺感觉，设施该有的都有了，酒店还提供早餐，种类挺多的，感觉还不错。', '短评打分': 5}
{'短评内容': '热水质量挺好，24小时形式的，使用挺方便，感觉这点挺好。', '短评打分': 5}
{'短评内容': '酒店比较新，房间里挺干净的，设施方面还可以，住的还比较舒适。', '短评打分': 5}
{'短评内容': '酒店条件挺不错的，而且位置也好周边出行很方便，整体水平比较高.', '短评打分': 5}
