{'短评内容': '不错，环境优美，退房时间下午两点这个尤其赞，下次过来还住这…………………………………………………………', '短评打分': 5}
{'短评内容': '比较有情怀有店特色', '短评打分': 4}
{'短评内容': '比较有情怀的酒店', '短评打分': 4}
{'短评内容': '房间真的不是一般不满意，房间小不说，空调也不能用，电视也是坏的，洗澡的水小的不行，三星都达不到，早餐还没有吃，不知怎么样，一点性价比都没有，小地方的酒店真心不值318，下次绝不会再来', '短评打分': 3}
{'短评内容': '很安静的，小别墅类型，没有电梯', '短评打分': 5}
{'短评内容': '还可以、舒适', '短评打分': 5}
{'短评内容': '就是感觉房间设施有点老旧，其他还好 。', '短评打分': 4}
{'短评内容': '酒店环境非常好，非常安静。服务非常贴心。', '短评打分': 5}
{'短评内容': '房间很大，很不错，服务员业务熟练度不高', '短评打分': 5}
{'短评内容': '房间外面环境好！比较安静 适合住出差旅游！！第二次入住', '短评打分': 5}
{'短评内容': '房间外面环境好！比较安静 适合住出差旅游！！', '短评打分': 5}
{'短评内容': '再次入住,安静、卫生、环境好,不错!下次会再选这家酒店。', '短评打分': 5}
{'短评内容': '不错,值得推荐.下次还会再来,最好再优惠些', '短评打分': 5}
{'短评内容': '十分惬意，环境不错，性价比高。下次还会来', '短评打分': 5}
{'短评内容': '很不错，九江地区的首选。交通位置、环境都很好。', '短评打分': 5}
{'短评内容': '挺干净，地理位置也好，服务也挺好，可惜午餐供应时间也太短了', '短评打分': 5}
{'短评内容': '非常好  干净 服务特好 在下车时正在下雨服务生拿伞接我 入住手续快捷 好一个园林宾馆闹市中一块绿色园林宾馆 各项设施齐全 刚住下 还要继续看再写', '短评打分': 5}
{'短评内容': ' 环境好 服务热情  房间网速也很快  ', '短评打分': 3}
{'短评内容': '酒店的环境不错，设备设施也都可以，服务也ok', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 3}
{'短评内容': '酒店出行还好，房间我觉的很好很干净空间很大，服务也是随叫随到，价格还可以。', '短评打分': 5}
{'短评内容': '卫生间跟客房间最好加个门帘或是隔板，因为卫生间味道会飘到客房', '短评打分': 5}
