{'短评内容': '服务差，标准间里没有洗漱用品，蚊子多，不隔音', '短评打分': 1}
{'短评内容': '环境优美，网速很快，服务质量好，位置靠近汽车站、火车站，交通便捷。', '短评打分': 5}
{'短评内容': '环境不错，价格合理', '短评打分': 3}
{'短评内容': '这家酒店总体还不错，24小时热水，水量很大，不是电热水器那种的，是集中供水，房间和卫生间都挺大的，就是房间采光不太好，别的都比较满意，交通也很方便，下次到威海还去住！', '短评打分': 5}
{'短评内容': '还不错\n环境还比较好，旅游方便，电梯太狭小', '短评打分': 5}
{'短评内容': '酒店设施有些旧，卫生不干净', '短评打分': 3}
{'短评内容': '位置不错', '短评打分': 3}
{'短评内容': '卫生条不太好，床单不干净，房间空气不好。', '短评打分': 1}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '房间满大的，服务一般，值得住宿。', '短评打分': 3}
{'短评内容': '订的房间可以上网，但入住后网线竟然不能用。房间的拖鞋还是那种万人穿。墙壁上竟然有不少的钉子窟窿。还有电视是那种市场上200块就能买到的淘汰货。不值啊……', '短评打分': 1}
{'短评内容': '该酒店地理位置好，离长途汽车站和火车站都很近，乘公交车去海边和旅游景点及码头也很方便。服务员的态度好，很热情，我们住了两天，挺满意的！只是房间内的设施有些需要修整，例如卫生间马桶水箱，淋浴用的喷头都不太好用。但总体来说还是挺好的。', '短评打分': 5}
{'短评内容': '感觉不错，推荐。', '短评打分': 3}
{'短评内容': '宾馆本身条件不太理想，附近吃的主要是料理，不习惯；离海边汽车站火车站近，交通到方便。', '短评打分': 3}
{'短评内容': '太差！床单、被罩居然是前任房客用过的！（明显的发丝、油渍就在床单上）\n更可笑、可恨、可悲的是服务员说：撒过消毒水了！', '短评打分': 1}
{'短评内容': '还好，还算舒服 服务还算可以  就是位置有点偏', '短评打分': 5}
{'短评内容': '干净 宽敞 价位适中 附近韩国料理很多 离海边很近  ', '短评打分': 5}
{'短评内容': '实惠', '短评打分': 3}
{'短评内容': '感觉这个价格这个条件还可以吧。离海洋公园很近，房间空间很大。价格还可以。 \n', '短评打分': 5}
{'短评内容': '离海洋公园很进，房间空间很大。价格还可以。', '短评打分': 5}
{'短评内容': '感觉这个价格这个条件还可以吧。网速不错。', '短评打分': 5}
{'短评内容': '房间很好，门坏了', '短评打分': 3}
{'短评内容': '今天打扫卫生的阿姨比昨天的好多了，所以我今天的心情不是那么坏了', '短评打分': 5}
{'短评内容': '昨天刚到这里感觉还可以，可住下以后发现浴巾都有一股难闻的味道，而且我要求每天换一次床单被套他们竟然还不愿意。', '短评打分': 1}
{'短评内容': '这里环境条件不如东山，但这个价格还可以吧', '短评打分': 5}
{'短评内容': '价格实惠，但有点冷。', '短评打分': 3}
{'短评内容': '和青岛一样，旅游季节的有点都不便宜，这家还算可以，比较干净', '短评打分': 5}
{'短评内容': '离火车站的距离比较近，。离汽车站也比较近，就是附近吃的少', '短评打分': 5}
{'短评内容': '比较差，房间和办公的公司混在一起，电水壶满是铁锈，气味浑浊，房间还有洗菜水池子，不知作何用途。服务一般，但有要求基本能满足，不是不管不问的那种。', '短评打分': 1}
{'短评内容': '服务员不敲门就开门进屋，感觉很不安全。下次是不会再入住了', '短评打分': 1}
{'短评内容': '条件应该还不错，价格便宜。但服务明显不规范，似乎没受过专业培训。', '短评打分': 5}
{'短评内容': '酒店其它方面都还行就是水温太低', '短评打分': 3}
{'短评内容': '   价格不错，就是里面的设施太旧了。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': ' 房间很大，采光不错，价格也算是便宜，可能是这个季节的原因', '短评打分': 3}
{'短评内容': '淋浴水温较低，房间整理得不太干净，没有电吹风，网速超慢', '短评打分': 5}
{'短评内容': '酒店比较旧，但是房间比较大，服务还马马虎虎....价格到不贵...', '短评打分': 3}
{'短评内容': '盛世嘉都大酒店比较旧，房间比较大，设施也有点旧，服务业一般，听说原来是公寓...价格还马马虎虎... ', '短评打分': 5}
{'短评内容': '酒店附近有一公园很美,离火车站近,但是对于威海不熟悉的人来说,到酒店还是的打车,整体来说还可以', '短评打分': 5}
{'短评内容': '服务好,交通方便,韩国风味浓厚,房间挺宽敞', '短评打分': 5}
{'短评内容': '价格不贵,床实在是太硬了.....睡的实在是太累了.....宽带是坏的', '短评打分': 1}
{'短评内容': '+总体感觉不错 很干净 值得推荐', '短评打分': 5}
{'短评内容': '房间很大很舒适', '短评打分': 5}
{'短评内容': '其它还好，就是酒店太旧了。哎，反正也就这样价钱', '短评打分': 3}
{'短评内容': '确实很一般啊，真的很一般，下次不会考虑了。', '短评打分': 5}
{'短评内容': '没有网线，房间和卫生间大，性价比还不错。', '短评打分': 5}
{'短评内容': '适合旅游的人居住，卫生服务都不错，里海边几分钟就到了，很方便。', '短评打分': 5}
{'短评内容': '性价比挺高，但是额外消费好像不能挂房帐。', '短评打分': 5}
{'短评内容': '晚上竟然没有热水了，总共酒店才看到两个服务员，打前台电话没有人接，这样的酒店以后我不会入住了', '短评打分': 3}
{'短评内容': '这房间入住的看上去比较破旧，反正我选的房间是这样，不知道其他房间怎么样。', '短评打分': 1}
{'短评内容': '地理位置还是不错的，不过酒店据出租车司机说是洗浴中心改过来的，也不知是不是，但房间残留着灶台等厨房设备，感觉怪怪的。而且我入住的房间楼层很杂乱，好像有公司租住。另外，房间一直有一股尿骚味，不知道怎么回事。服务态度不敢恭维。当然，价格还算合理。', '短评打分': 5}
{'短评内容': '房间顶棚发霉窗帘和床单有污渍早晨还没电了结帐时还找不到服务员了心情很不好不推荐入住以后再也不会入住此处', '短评打分': 5}
{'短评内容': '威海盛世嘉都大酒店地段算是威海的郊区，皇冠中学的对面，火车站到这起步价6元就到。虽说离韩国小吃街很近，但是那种饭店都基本上没人去，宫保鸡丁50一盘，炒饭都25。到市区打车18块钱，到国际海水浴场打车40。威海火车站出来就是汽车站，有到青岛、烟台这些地方的长途车，到青岛依维柯81和沃尔沃94两种', '短评打分': 3}
{'短评内容': '地段算是威海的郊区，皇冠中学的对面，火车站到这起步价6元就到。虽说离韩国小吃街很近，但是那种饭店都基本上没人去，宫保鸡丁50一盘，炒饭都25。到市区打车18块钱，到国际海水浴场打车40。威海火车站出来就是汽车站，有到青岛、烟台这些地方的长途车，到青岛依维柯81和沃尔沃94两种', '短评打分': 5}
{'短评内容': '酒店的房间较大，30多平米，设施较新，但是一看就是改造房，二楼是上岛咖啡，一问果然是原来的洗浴中心改造来的。卫生间的玻璃台面裂了一条大缝，涂满白色的胶水，从房间设施到前台服务，一看就不是做专业酒店出身的，180元的房价对于三线城市的威海，性价比不高。', '短评打分': 1}
{'短评内容': '主要是价格因素导致入住该酒店，在可能的情况下，千万不要住。', '短评打分': 1}
{'短评内容': '这个酒店里面什么都有，一进大厅就有一大堆货摞在那里，我还以为走错了呢。服务员态度还可以。我们到了房间打开房门，里面特别乱，我还以为有人呢，都没敢进去，后来才知道，是人家已经退房了，根本就没给我们收拾，被子成了一个团在床尾，烟缸里面都是烟头，卫生间里面都是水，地上还有杂物。后来我在房间等了15分钟左右，才有人来收拾。设施太陈旧了，屋子里面的窗户还有两个大窟窿，进蚊子肯定是不成问题的。房间里面有很多木', '短评打分': 1}
{'短评内容': '是我朋友汪辉帮我订的，房间很大，到火车站很便利，到海边也很近。周围环境很好。一定要推荐他自己来享受。\r\n', '短评打分': 3}
{'短评内容': '一般吧，还可以，旺季时没有多余的选择，对得起这个价位', '短评打分': 1}
{'短评内容': '盛世嘉都环境氛围还好。就是不算新了。现在新酒店很多，要是想要竞争还要及时的维护更新设施。', '短评打分': 5}
{'短评内容': '很不错的酒店，装修的很舒适，特别是床很舒服，房间很大，火车站，长途汽车站打车只要6元就到，但是去国际海滨浴场要换2辆车，1小时的车程，服务也很好，旁边有韩国美食街，很地道，在海上公园旁边，看海很方便。', '短评打分': 5}
{'短评内容': '酒店的环境还是很不错的，整体来讲都比较达标。', '短评打分': 5}
{'短评内容': '酒店的条件还不错.去海边很方便.而且服务也很周到，服务人员很热情.', '短评打分': 5}
{'短评内容': '就地环境还可以，配置硬件设施比较一般，卫生服务比较达标。因为之前入住过所以对那边比较熟悉。', '短评打分': 5}
{'短评内容': '这家酒店的位置很不错，离火车站和汽车站都不远，1公里多一点\r\n在韩国美食一条街上，但这个不是重点，主要是这里的房间环境不错\r\n标间很大，卫生间也大\r\n刚入住的时候马桶有一点不好，但很快给解决了\r\n服务人员的态度不是太好，可能是因为总是接团，所以不太在意散客的心情\r\n但是就房间质量来说，是比较高的', '短评打分': 5}
{'短评内容': '性价比一般，硬件设施不太完善，有的房间上不了网，卫生，服务都一般。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '酒店的价格比较优惠，位置出行也很方便，价格合理适中，配置硬件也很达标，卫生服务也很好，整体来讲算是比较不错的酒店，值得推荐入住。', '短评打分': 5}
{'短评内容': '环境太一般了。同楼层即有客房又有办公场地，混合使用，另人感觉不象是酒店，更像是一个商住两用楼房。', '短评打分': 1}
{'短评内容': '环境太差了', '短评打分': 1}
