{'短评内容': '简单，方便', '短评打分': 4}
{'短评内容': '设施有点旧！', '短评打分': 4}
{'短评内容': '一如既往。', '短评打分': 4}
{'短评内容': '服务态度好，物美价廉，餐厅饭菜做的不错，价格不贵。', '短评打分': 3}
{'短评内容': '物廉价美，呵呵。服务态度不错。', '短评打分': 4}
{'短评内容': '院内停车场，服务态度好，离天马广场很近，走路5分钟，很方便。晚上附近夜市很热闹，适合晚饭后闲逛！', '短评打分': 5}
{'短评内容': '服务员服务技能有待提高，设备设施陈旧', '短评打分': 2}
{'短评内容': '房间设备设施陈旧，床垫睡着很不舒服，租借物品前台直接告诉没有，但一会又有了，这让我很不舒服，我也是干酒店行业的，这样的服务会给酒店带来不必要的损失，希望服务员的服务有所提高', '短评打分': 3}
{'短评内容': '头一次入住，大家感觉都还好了，距离海边比较近了，有机会下次还入住了，呵呵。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '头一次入住，大家感觉都还好了，距离海边比较近了，有机会下次还入住了，呵呵。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还算干净，但是设施有点老。还有点不愉快的是：本来定了两个标间，结果入住的时候说其中有一个标间已经给别人了，让我们其中一个人住到别墅套房，因为别墅套房的热水器是坏的，所以可以以标间的价格让我们住。', '短评打分': 1}
{'短评内容': '到海边步行5分钟左右，还是比较方便。酒店本身虽然是二星，但还算比较干净。而且三餐都有自助，偶尔吃吃也不错。只住了一个晚上，所以其他的体会不多。', '短评打分': 5}
{'短评内容': '阴差阳错的机会最终入驻中煤，酒店挺干净，房间也可以，服务也还好，总体感觉比想象的好多了，因为是南戴河海边。', '短评打分': 5}
{'短评内容': '性价比高，价格适中，而且地段又好，整体来讲比较不错.', '短评打分': 5}
{'短评内容': '服务人员热情周到，对我们也挺照顾的.还帮我们推荐线路，特别热情.', '短评打分': 5}
{'短评内容': '干净舒适，客房简单大方，可以淋浴，价格适中就比较适合我们的消费水平了.', '短评打分': 5}
{'短评内容': '周边出海很方便，而且到晚上还有大排档，用餐也便利，来这里还可以自选些小海鲜.来加工挺不错的.', '短评打分': 5}
{'短评内容': '条件还不错，位置好距离海边浴场挺近的，而且观海也方便，印象不错.', '短评打分': 5}
{'短评内容': '房间还行，位置是挺方便，价格还不错吧，看起来就是普通的酒店感觉还是挺一般的。', '短评打分': 5}
{'短评内容': '挺不错的，安静，卫生，就是吃饭有点贵，每天120，三餐自助，我在对面闲人居吃的，中午饭，6个人，200多，晚上吃的大排档，6个人，160，周日早餐在酒店对面吃的，6个人，80，所以综合起来比酒店的合适。前台服务很好，会告诉你哪里吃饭比较好，出去玩儿的线路，如何防止被骗等等。总之，推荐！', '短评打分': 5}
{'短评内容': '酒店还比较干净，靠近海边，可以看看海景，这在感觉整个人都很放松。', '短评打分': 5}
{'短评内容': '周边环境很好，离海边很近，空气很好，住的很舒适。', '短评打分': 5}
{'短评内容': '酒店的服务人员态度还是不错的，就是工作不仔细，房间里的设施有些都坏了，他们都不及时检查修理。卫生弄的还是蛮干净的，周边环境也比错。价格方面还是比较合适的。', '短评打分': 5}
