{'短评内容': '性价比非常高', '短评打分': 5}
{'短评内容': '有点偏僻，不过很安静，适合睡觉，后面是个修车厂，很晚还有声音，一大早开门，训话。早餐很简单，馒头鸡蛋', '短评打分': 5}
{'短评内容': '老板娘超级好，值得推荐', '短评打分': 5}
{'短评内容': '就是偏了点，酒店好', '短评打分': 5}
{'短评内容': '早餐品种少，但是能吃饱，主食还不错。酒店位于客运中心附近，赶车的话很方便。停车方便，性价比较高。硬件设施要加強改进。', '短评打分': 4}
{'短评内容': '房间干净整洁、还不错', '短评打分': 5}
{'短评内容': '环境和服务都还不错，下次继续入住！', '短评打分': 5}
{'短评内容': '各方面设施不足、洗发水感觉已经过期、都没敢用', '短评打分': 3}
{'短评内容': '早餐吃的，很舒服，安逸', '短评打分': 5}
{'短评内容': '服务很好，环境好！', '短评打分': 5}
{'短评内容': '和想象差别太大了，周边很荒芜，在公路旁边，很吵。网上订票不能选房间，运气不好，只有靠路边的，白天很吵，晚上稍微好点。', '短评打分': 4}
{'短评内容': '推荐！房间不错，就是地点有点偏', '短评打分': 3}
{'短评内容': '去这里住的人有很多都是来考驾照的，但这里的房间靠路一边很吵， 晚上休息不好。本来有的早餐也只是说了一句忘记了就算了。如此条件对应168元一晚确实不值。', '短评打分': 3}
{'短评内容': '卫生较好，周边环境不咋样', '短评打分': 4}
{'短评内容': '太远，有点贵，附近吃的少。打车不打表。设施还可以。', '短评打分': 3}
