{'短评内容': '挺好的，靠近地铁口唯一的缺点就是隔音差', '短评打分': 5}
{'短评内容': '酒店位置非常好，靠近商业街，美食特别多，附近就有苏果社区店，购物啥的最方便不过了。交通也非常方便，离地铁站非常近。', '短评打分': 5}
{'短评内容': '房内有一个长桌，感觉挺方便的', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '很棒，是周边几家里同等中最好的一家！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以。每次出行都是汉庭', '短评打分': 5}
{'短评内容': '干净卫生，周围有很多大学，所以吃东西很方便，前台服务很耐心，离中山陵景区走路就可以到，非常方便，值得推荐！', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '不错挺方便的', '短评打分': 5}
{'短评内容': '帮叔叔定的，感觉他很满意，携程就是方便', '短评打分': 5}
{'短评内容': '确实只能说就住住吧', '短评打分': 3}
{'短评内容': '房间比较紧凑，卫生条件也不错，唯遗憾隔音欠佳', '短评打分': 3}
{'短评内容': '地处风景区，交通方便，周围吃饭也方便。', '短评打分': 5}
{'短评内容': '酒店还可以，比较干净，也很安静！最大的问题就是携程预订的房价比门市挂牌价都贵。那么还不如直接到店订房。', '短评打分': 4}
{'短评内容': '好干净，离中山陵很近。', '短评打分': 5}
{'短评内容': '服务差!4间房同样价格，但一间很小，住进后，让她们调，服务员拍桌子强调房型一样，大小不同，价格是一样的，强盗逻辑!', '短评打分': 3}
