{'短评内容': '111111111111111', '短评打分': 5}
{'短评内容': '地理位置优越条件舒适干净。', '短评打分': 5}
{'短评内容': '能提供专票', '短评打分': 5}
{'短评内容': '房间很大，装修不够好', '短评打分': 4}
{'短评内容': '方便办事', '短评打分': 3}
{'短评内容': '便宜 干净', '短评打分': 5}
{'短评内容': '便利', '短评打分': 5}
{'短评内容': '酒店还是一如既往的好，非常赞', '短评打分': 5}
{'短评内容': '一直都喜欢安排亲朋好友入住酒店。', '短评打分': 5}
{'短评内容': '环境、卫生、服务OK~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '环境、卫生、服务OK~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '性价比算是比较高的', '短评打分': 5}
{'短评内容': '房间设施老久了，价格倒是很便宜！', '短评打分': 3}
{'短评内容': '周围吃饭 购物 交通都挺方便 不错', '短评打分': 3}
