{'短评内容': '酒店还行，就是卫生不怎么好。', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '卫生间太糟糕了', '短评打分': 3}
{'短评内容': '太差了，卫生也不好，被套都是坏的，一个大口子，', '短评打分': 2}
{'短评内容': '很安静，设施还行', '短评打分': 5}
{'短评内容': '很适合长期出差的入住。。安静，性价比高', '短评打分': 5}
{'短评内容': '环境不错，性价比高', '短评打分': 5}
{'短评内容': '出行方便', '短评打分': 5}
{'短评内容': '出行方便，环境清幽', '短评打分': 5}
{'短评内容': '还不错，服务很好', '短评打分': 5}
{'短评内容': '非常安静，性价比高，值得尝试，有机会再来', '短评打分': 5}
{'短评内容': '位置不偏不离，环境优雅，设施较齐全。不足的是热水流量太小，可能是入住的人太多了吧', '短评打分': 5}
{'短评内容': '还不错..有电梯，木地板..有电脑，网速可以，卫生行，门口过道有地毯和绿色小盆植物，实惠！', '短评打分': 5}
{'短评内容': '可真领教也长见识了——前台服务员的服务态度比酒店设施还差！', '短评打分': 1}
{'短评内容': '还好，房间够大宽敞，有两个店这是分店，挺安静的。', '短评打分': 5}
{'短评内容': '比较整洁，环境也很安静，叫餐很方便，缺点是设施稍微陈旧了', '短评打分': 5}
{'短评内容': '不错挺干净，性价比可以。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店住宿不错，周围环境很安静，一边是政府，一边是公安局，安全系数很好，也有几家小餐馆，交通（公交车）很方便，但是对于吃货来说周围吃的太少了，房间里面的网速也比较快，性价比很高！！值得一住！！！', '短评打分': 5}
{'短评内容': '价廉物美', '短评打分': 3}
{'短评内容': '＋还不错，挺干净的。设施也挺干净。', '短评打分': 3}
{'短评内容': ' 不错，房间干净，床上铺盖床单也干净', '短评打分': 3}
{'短评内容': '   很好哈!环境好,服务也好', '短评打分': 3}
{'短评内容': '房间不错，刚进去的时候就感觉太阳洒在的床上晒得很舒服，位置也很好很方便，公交车打车都好坐。洗澡也很方便。', '短评打分': 5}
{'短评内容': '房间没有浴霸冲凉冷           有两个蜀峰  要注明  ', '短评打分': 3}
{'短评内容': '房间还可以，比较干净，最重要是很安静。性价比比较高了，值得。', '短评打分': 5}
{'短评内容': '房间很小，感觉一般', '短评打分': 3}
{'短评内容': '还可以啦！对得起这个价格！', '短评打分': 3}
{'短评内容': '.性价比很高', '短评打分': 3}
{'短评内容': '房子比较小 有味道', '短评打分': 3}
{'短评内容': '房间太小 里面一股味道  电话不是免费打的', '短评打分': 1}
{'短评内容': '此酒店，环境好，停车方便。价格合理，服务一般！', '短评打分': 5}
{'短评内容': '1.可以在酒店用餐，我喜欢；2.网速太慢，还经常断网，这个需要改进；3.房间晚上的时候太暗，房间顶部正中心没有顶灯，一到晚上昏暗压抑。', '短评打分': 5}
{'短评内容': '231231231312123123123123', '短评打分': 5}
{'短评内容': '挺提供早餐，停车也挺方便，设施挺完善，价格还不贵，住的挺满意。', '短评打分': 5}
{'短评内容': '还不错。。价格个服务都很合理。。希望以后多去。。。', '短评打分': 5}
{'短评内容': '价格挺便宜，卫生很好，毛巾浴巾都挺干净，用着挺放心。位置也挺好，游玩出行挺方便。', '短评打分': 5}
{'短评内容': '性价比挺好，环境挺安静，睡眠质量挺高。', '短评打分': 5}
{'短评内容': '这家酒店属于商务性酒店，性价比高，适合经济性人士出差长期居住。', '短评打分': 5}
{'短评内容': '硬件一般，酒店位置较偏僻不好找，停车还方便。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店挺大众化的，设施挺齐全，卫生方面还好，整体感觉还不错。', '短评打分': 3}
{'短评内容': '相当差劲的旅馆，都不能说是宾馆了，这是我住过的最差的宾馆，预订的最好三思。。。', '短评打分': 1}
{'短评内容': '攀枝花蜀峰凌云酒店不错，环境好，价格便宜', '短评打分': 3}
{'短评内容': ' 酒店同样的房价却含早餐.', '短评打分': 3}
{'短评内容': '酒店地处市中心，周边出行方便，性价比较高，停车方便，住宿环境很好，蛮安静的', '短评打分': 5}
{'短评内容': '性价比很好的酒店，住着这里出行方便，房间卫生条件很好干净，整洁，舒适度还好', '短评打分': 5}
{'短评内容': '还可以，比较安静', '短评打分': 3}
