{'短评内容': '这上面明明有空调 结果到前台说 这上面显示的没空调 又要了20', '短评打分': 1}
{'短评内容': '一般，服务也一般', '短评打分': 3}
{'短评内容': '酒店设施老旧，楼道里地毯很脏，如果不是因为一家子出行要住三人间，就不选择这家了。', '短评打分': 3}
{'短评内容': '一般般吧', '短评打分': 3}
{'短评内容': '不好', '短评打分': 2}
{'短评内容': '马马虎虎', '短评打分': 1}
{'短评内容': '位置  很好 其他的  这个价位的 也还 可以吧', '短评打分': 4}
{'短评内容': '不干净，与晚上差距加大，设备很旧，空调不好。', '短评打分': 3}
{'短评内容': '服务一流，干净卫生特别是价格便宜。', '短评打分': 5}
{'短评内容': '位置好，设施陈旧，早餐太差了，', '短评打分': 4}
{'短评内容': '房间大，设施陈旧些，隔音不太好，价格合理。每次来都住这里。', '短评打分': 5}
{'短评内容': '设施陈旧   服务一般问服务前台景点和旅游车辆均不知道 介绍需要培训   卫生打扫及时较好   5分满分就算2分了', '短评打分': 1}
{'短评内容': '环境很不错，交通便利，早点很简单，但是服务特别凶！！', '短评打分': 5}
{'短评内容': '酒店确实如别人介绍的那样比较老旧，房间里弥漫着卫生间的味道。。不过作为一个过客，就住一晚上，这样的价位也就别太多的挑剔了。。。', '短评打分': 1}
{'短评内容': '交通极为方面。\n局里火车站很近，距离丛台公园、博物馆近。\n步行半分钟到回车巷。\n步行15分钟到车站。\n但旅店条件一般。', '短评打分': 5}
{'短评内容': '还不错。环境很好。主要很方便，就在商业街，购物，吃饭都很方便', '短评打分': 5}
{'短评内容': '酒店位置不错，市中心，后面就是回车巷，还有个天主教教堂。停车方便。酒店很暖和，空调足。就是设备比较陈旧，家具也很旧，被褥卫生一般。没有一次性拖鞋。', '短评打分': 5}
{'短评内容': '性价比还不错  ', '短评打分': 3}
{'短评内容': '金伯爵商务酒店交通便利，房间大小适中，标间的床再宽些就好了。', '短评打分': 3}
{'短评内容': '隔音不太好,有个饮水机就好了喝点热水也没有.其它还可以!', '短评打分': 3}
{'短评内容': '地面太脏，热水壶里还有前面客人留下的茶叶没清理干净，洗澡水太凉，设施陈旧。短期住宿还算可以，不推荐长期住宿。', '短评打分': 3}
{'短评内容': '总的说还可以 对的起这个价格 网速很快 房间也很安静 小电话这东西就是仁者见仁智者见智了', '短评打分': 5}
{'短评内容': '我觉得该酒店条件设施不错，就是离市中心太近。', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 3}
{'短评内容': '地理位置不错，周围比较繁华，但房间设施相对陈旧落后，洗澡的时候水洒的到处都是，早餐过于简单，服务不够专业，小地方确实不能跟大城市比。', '短评打分': 1}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '位置比较中心，房间比较小，总体感觉性价比一般', '短评打分': 5}
{'短评内容': '我住过的最差酒店;\n1、酒店空调的噪音很大。\n2、酒店很脏，地板上有黑乎乎的粘的东西很恶心。\n3、每天晚上有小姐打电话给你。\n4、餐厅的服务很差，不兑现发票。\n5、超过3分钟也会收半日房费。\n我极力建议大家不要住，以免感染性病。', '短评打分': 1}
{'短评内容': ' 房间宽敞冷气够劲', '短评打分': 3}
{'短评内容': ' 大厅隔壁有火车定票点.', '短评打分': 3}
{'短评内容': ' 房间卫生干净,位置交通方便.', '短评打分': 3}
{'短评内容': '酒店位置不错，但房间设施较陈旧，短期住宿是可以考虑的', '短评打分': 5}
{'短评内容': '金伯爵的卫生差，服务态度差，设施差，总之都不好！', '短评打分': 3}
{'短评内容': '还不错！', '短评打分': 3}
{'短评内容': '总体还好，就是洗澡水凉', '短评打分': 3}
{'短评内容': '环境还行吧，服务也挺好，隔音有点不好。', '短评打分': 3}
{'短评内容': '很不好', '短评打分': 3}
{'短评内容': '我住的是四楼，卧室的主灯没了，只能开小灯，感觉挺暗的，地毯挺脏的，其它的还好，卫生间感觉还行，挺干净的。', '短评打分': 5}
{'短评内容': '非常不好 ，我是帮朋友定的 非常不好  唉  ', '短评打分': 1}
{'短评内容': '不说什么，住一晚还是首选，要是再长不行。酒店设施很老了。', '短评打分': 1}
{'短评内容': '酒店送的早餐很不好，还有就是你早饭一定要早上去前台拿餐券，9点后就没有了。这个规矩我从来没见到，酒店卫生还可以。设施很陈旧。', '短评打分': 1}
{'短评内容': '已经成功入住酒店', '短评打分': 3}
{'短评内容': '酒店位置还可以，对面是如家，价格没有什么优势，总体来说还是推荐', '短评打分': 5}
{'短评内容': '卫生设施都还不错，位置还是挺好找的，价格和服务态度都还行。', '短评打分': 5}
{'短评内容': '酒店的条件还不错,综合性价比蛮高的,而且位置好距离火车站比较近.', '短评打分': 5}
{'短评内容': '环境极差，被子床单都是潮湿的，房间有异味，厕所是堵的，太次的酒店了，前台服务态度还特不专业。', '短评打分': 3}
{'短评内容': '性能一般，但是价格优惠。另外就是房间和床都超大', '短评打分': 5}
{'短评内容': '酒店很差卫生设施都很差，去的时候附近都在修路也不好找，服务也不好价格也很高。', '短评打分': 1}
{'短评内容': '还是可以的', '短评打分': 5}
{'短评内容': '设施和服务总体较好，但屋内空气不太好。', '短评打分': 5}
{'短评内容': '位置和服务不错，就是里面的设施太次了，房间里的灯光也太暗了些\r\n', '短评打分': 1}
{'短评内容': '性价比太低 大床房和快捷酒店的单人床一样大…', '短评打分': 1}
{'短评内容': '酒店比较老了，所以硬件配备的都比较旧显得，但是还算干净，位置也还不错，总的来说还是可以考虑的。', '短评打分': 3}
