{'短评内容': '出差，毫无选择。还可以。', '短评打分': 3}
{'短评内容': '首先酒店服务态度傲慢，服务员都趾高气昂的。酒店的卫生条件比较差，睡了浑身痒，再也不会去了。300多还无窗。', '短评打分': 1}
{'短评内容': '房间小什么的都能忍，但是太吵了，就在高架旁边完全不能睡觉，非常痛苦。但是早上的热干面还是可以的。就是太吵了', '短评打分': 3}
{'短评内容': '可以可以可以', '短评打分': 5}
{'短评内容': '先说优点，房间很大，房间干净卫生。酒店的前台服务不错。但是为什么一进门一股烟味，电视信号不好，洗完头没找到吹风机，请前台送过来的。最糟糕的是水温忽冷忽热，洗完要冻死了。', '短评打分': 4}
{'短评内容': '价格有点小贵', '短评打分': 5}
{'短评内容': '设施一般，周边出行比较方便，吃的也很方便', '短评打分': 4}
{'短评内容': '卫生间实在实在太小了，其他还可以，早餐也就一般，靠近万达，很方便', '短评打分': 5}
{'短评内容': '酒店很旧了 内部一股潮湿的味道 网络很差 床很小 不推荐', '短评打分': 4}
{'短评内容': '有点成旧设备 网络很差', '短评打分': 4}
{'短评内容': '比较满意，性价比不错', '短评打分': 5}
{'短评内容': '部屋をグレードアップ頂き広々とゆったり出来ました。', '短评打分': 5}
{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '总体还可以，值得推荐，下次还住这里。', '短评打分': 4}
{'短评内容': '挺干净的、可是离我去的目的地有点远、下次可再考虑\n', '短评打分': 5}
{'短评内容': '因為沒有什麼客人，所以沒有開中央空調，我在房間老是流汗。還說什麽因為國家規定甚麼之類，所以不開，根本就是犧牲散客的權益!', '短评打分': 1}
{'短评内容': ' 酒店环境很好，就是插座设计不太合理。', '短评打分': 3}
{'短评内容': '沌口地区最便利的地段，房间环境好，为领导定的，领导住了以后还要我去以公司名义签个长期的住房协议，满意！(', '短评打分': 5}
{'短评内容': '沌口地区最便利的地段，房间环境好，为领导定的，领导住了以后还要我去以公司名义签个长期的住房协议，满意！', '短评打分': 5}
