{'短评内容': '超大停车场、环境优雅、安静，出行住不错的选择', '短评打分': 5}
{'短评内容': '总台徐早，田睿服务热情', '短评打分': 5}
{'短评内容': '总台徐早，田睿服务热情', '短评打分': 5}
{'短评内容': '酒店交通位置好，房间干净整洁。非常惊喜房间给予免费升级商务房，赠送的水果新鲜、好吃。这里赞一下王晨晨、李学梅、朱彩霞、田睿热情周到的服务，帮我把行李送进房间。第一次来仪征，虽然外面天气寒冷，但怡景的服务让我觉得无比温暖！', '短评打分': 5}
{'短评内容': '第一次入住感觉很好，停车位多，还被升级了套间，大大的惊喜，还送了宝贝用的洗漱用品，服务贴心，太温暖了，下次来还会再选择住这里的！', '短评打分': 5}
{'短评内容': '非常好恍恍惚惚恍恍惚惚恍恍惚惚哈哈', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '老酒店了，但是房间很干净', '短评打分': 4}
{'短评内容': '带孩子一起过去的，蛮不错的体验，住过很多次了。安静，服务好。', '短评打分': 5}
{'短评内容': '服务非常好', '短评打分': 5}
{'短评内容': '酒店自制酸奶味道很好，早餐也不错', '短评打分': 4}
{'短评内容': '一直住的了！服务是最大的优点！很贴心，很人性化！', '短评打分': 4}
{'短评内容': '住在9楼 房间家具比较旧了 但是比教干净 服务不错 还有免费水果', '短评打分': 5}
{'短评内容': '好，真好，特别好！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '一个字，好。二个字，很好。三个字，非常好！', '短评打分': 5}
{'短评内容': '酒店很好，住的很舒服，服务态度也很好！下次好会再住的。', '短评打分': 5}
{'短评内容': '据说是仪征最好的酒店了, 花园还可以, 里面实在是太旧了, 而且最奇怪的是餐饮等都要加收30%的服务费, 实在不明白啊! 五星级酒店才收15%, 这家酒店有什么资格收服务费?? ', '短评打分': 1}
{'短评内容': '地理位置比较清幽，酒店不是很新，传统式装修，卫生间毛巾浴巾都很干净，床虽然不大，但很舒适', '短评打分': 5}
{'短评内容': '一直都选择这里住，很好', '短评打分': 3}
{'短评内容': '酒店非常好，还会选择的', '短评打分': 3}
{'短评内容': '是仪征最好的酒店了，软硬件都还不错，就是这几年来己涨多次价格', '短评打分': 5}
{'短评内容': '早餐很棒，房间内提供的电视节目比较丰富，交通略有不便，总体还不错。', '短评打分': 5}
{'短评内容': '环境很好，酒店业很不错，房间设施稍微有点落后吧，其他都还好', '短评打分': 5}
{'短评内容': '环境很好的酒店，推荐哦，早餐也不错，价格便宜，早餐也丰富，以后还住', '短评打分': 5}
{'短评内容': '总的来说  酒店还是很好的 就是房间的窗子是密封的 想打开看看外面 不好开 房间其他设施都很不错 ', '短评打分': 5}
{'短评内容': '一点都没有四星级酒店的感觉！酒店很冷清，前台只有两位工作人员，早上我客人要把200多美金换成人民币的时候前台小姐说没有那么多现金可以换，没那么多可以换就算了，但是态度实在不敢让人恭维，直接把我们的美金往上面一放就去跟别的住客讲话了！', '短评打分': 1}
{'短评内容': '开车过去，有些不好找，酒店环境很好，依河而建，安静幽静。卫生间水流有些小，水龙头开关不好控制，早餐不错，很可口。服务很热情，停车方便。', '短评打分': 5}
{'短评内容': '算是仪征最好的宾馆了，服务比较热情，环境还算安静，交通不算便利，自己开车还可以', '短评打分': 5}
{'短评内容': '服务很热情，环境卫生还好。', '短评打分': 3}
{'短评内容': '干净，硬件不错，应该是仪征最好的酒店了吧', '短评打分': 5}
{'短评内容': ' 中午因赶时间，点了碗雪菜面吃，要18元，蛮贵的！老酒店了，不怎么样！', '短评打分': 3}
{'短评内容': '宾馆系统荡机。不能上网,开不了发票。\n地理位置 离市去远, 附近用餐等不方便。\n', '短评打分': 1}
{'短评内容': '空调很不错，服务很热情，早餐正常，就是价格嗖嗖的往上涨，这几年从2百多涨到了368，和当地的消费水平有点脱钩了', '短评打分': 5}
{'短评内容': '蛮新的酒店，床睡的很舒服。早餐就差强人意了。地理位置有点偏。', '短评打分': 5}
{'短评内容': '酒店很不错，就是偏了点，贵了点。卫生，装修也不错。', '短评打分': 3}
{'短评内容': '房间比较整洁，服务也很热情，就是房间轻触开关不是太方便，整体来说还是不错的宾馆', '短评打分': 5}
{'短评内容': '已经是老客户了，仪征也没有别的酒店，每次都会选这家的', '短评打分': 5}
{'短评内容': '是仪征最好的酒店，环境和早餐都不错。就是离市中心稍微有点远。', '短评打分': 5}
{'短评内容': '酒店有一种很新鲜的感觉，空气很不错，而且这里提供的中式早餐，味道还行。', '短评打分': 5}
{'短评内容': '床铺很柔软，房间打扫的干净整洁，很喜欢。', '短评打分': 5}
{'短评内容': '我们住的是标准间，宽敞明亮，配套设施也全，总之住的挺满意的。', '短评打分': 5}
{'短评内容': '娱乐设施比较齐全，海鲜也味道鲜美，值得推荐哦。', '短评打分': 5}
{'短评内容': '整体感觉不错.综合水平挺高的，硬件设施和卫生条件也比较好.总得来说还可以.', '短评打分': 5}
{'短评内容': '环境优雅，房间不错，服务态度很好', '短评打分': 5}
{'短评内容': '整体感觉不错的酒店，在当地来讲算档次蛮高的酒店了，住起来也很舒服，主要是交通很方便。今后有需要也会推荐给家人朋友入住。', '短评打分': 5}
{'短评内容': '该酒店就是位置比较偏僻，喜欢安静的朋友可以是尝试一下，总体感觉一般。', '短评打分': 1}
{'短评内容': '酒店花园环境较好，其他一般。', '短评打分': 5}
