{'短评内容': '服务超级棒~', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '就交通方便', '短评打分': 4}
{'短评内容': '每次住都是对着他们酒店的一个放东西的房间，厕所门要不就是坏的，要不就关不了，，，，，，。，，，，，，', '短评打分': 4}
{'短评内容': '卫生状况太烦了，床上手摸过后，手上好多灰尘！', '短评打分': 3}
{'短评内容': '没窗，有点遗憾', '短评打分': 5}
{'短评内容': '环境总体不错，价格合适', '短评打分': 5}
{'短评内容': '还行，就是取消早餐没有通知哈', '短评打分': 4}
{'短评内容': '酒店还有要提升的地方', '短评打分': 4}
{'短评内容': '位置不错，但设施相对陈旧。是为了跑重马所以才定的这个酒店。卫生呢也就那样。周边交通很便利，吃喝的地方较多。对得起这个价格吧。', '短评打分': 4}
{'短评内容': '环境还可以，干净卫生，就是早餐时间太早，起不了那么早啊', '短评打分': 5}
{'短评内容': '其他的都是小细节 隔音效果超级差！！！ 隔音效果超级差！！！ 隔音效果超级差！！！ 重要的事情说三遍～～～', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间简直不能直视，墙壁都是烂的然后敷了些白的在上面，而且房间居然没有灯，就4个角的小灯超级暗，台灯更别说有了，卫生间也不想说了，总之就是超级烂', '短评打分': 2}
{'短评内容': '房间有临街落地窗的，也有不临街只有一个小窗户的，但是图片上只看得到落地窗的，于是订了，结果去了才知道，是不临街不带落地窗的，为什么不早说呢？为什么落地窗和非落地窗一个价呢？    其他的还行，就这一点有待改善', '短评打分': 4}
