{'短评内容': '有停车场，环境很好，很干净，购物看病都方便', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店和洗浴中心在一块 ,我们住6楼 电梯能到5楼 要上半层楼梯 像一层隔楼隔成2层一样 停车场挺大 但是来洗浴的人多车多车子不好停', '短评打分': 3}
{'短评内容': '环境还不错挺好的', '短评打分': 5}
{'短评内容': '环境还行的~', '短评打分': 5}
{'短评内容': '住了两次了，挺好的房子挺大的，交通方便尤其是京东网购价格很低，特价房比周围的都便宜。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '不错，物超所值', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错，挺安静的', '短评打分': 4}
{'短评内容': '还不错，值得推荐！', '短评打分': 5}
{'短评内容': '总的来说还不错，就是特价房不好订！', '短评打分': 4}
{'短评内容': '好评  绝对不亏   推荐', '短评打分': 5}
{'短评内容': '卫生一般，网络信号超差，前台服务更差！以后都不会去那住', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
