{'短评内容': '好的', '短评打分': 5}
{'短评内容': '最大的问题是没有窗户', '短评打分': 4}
{'短评内容': '多次购买的了，不做评价了', '短评打分': 5}
{'短评内容': '常住酒店，一个优点，房间大', '短评打分': 5}
{'短评内容': '没早餐，本来订的单人间结果走错房间变成了大单间，老板没有加钱，赞一个，房间电视频道很少，装修简单，周边很方便，逛街吃饭应有尽有，跟着地图走就很好找，感觉是以前的老楼房改造的，总体很不错', '短评打分': 5}
{'短评内容': '电视机还是显像管的。地理位置好，逛街方便。', '短评打分': 4}
{'短评内容': '价格实惠，感觉不错！', '短评打分': 5}
{'短评内容': '地段好，逛街方便，周边地方特色小吃多，', '短评打分': 4}
{'短评内容': '一只住这一家', '短评打分': 5}
{'短评内容': '一直住这一家', '短评打分': 5}
{'短评内容': '老住的酒店，就是声音大了点', '短评打分': 5}
{'短评内容': '这是一直住的酒店，第一次在京东订。', '短评打分': 5}
{'短评内容': '环境不错，很好很满意', '短评打分': 5}
{'短评内容': '感觉还行吧！', '短评打分': 5}
{'短评内容': '本来准备定旁边的百年酒店的老婆嫌贵了，就来到这里，房间非常大，空调够劲，窗户大，楼下就是步行街，晚上挺安静，交通方便，出门就是博物馆，科技馆也近，地铁站也不远。前台服务挺好，有个小哥也挺热情。就是设施有些老了，但是都是好的，该有的都有。推荐入住。性价比很高。', '短评打分': 5}
{'短评内容': '已经不止一次入住川鄂情了，只要是在附近办事，都会选择该酒店，怎么说呢，老字号的酒店，入住有家庭般的感觉，房间比较大，安静，前台服务周到，这都是我选择的理由！', '短评打分': 5}
{'短评内容': '有许多地方需要改进，这好的地理位置，有点浪费……可以装修好点……', '短评打分': 3}
{'短评内容': '就在江汉路步行街靠近武汉关博物馆，逛江滩和步行街都方便，就是酒店有些破旧，设施有点老化，有待改善，服务还不错，商务大床房没窗户', '短评打分': 4}
{'短评内容': '出差常住的，价格不高，交通便捷，出门就是步行街。', '短评打分': 4}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '房间干净，房间大，服务员热情，周围环境好，还有中央空调，冲点器插座很多，很有人性化，我非常喜欢，并且在武汉最热闹的地方，步行街，下次我还住这里，我非常的喜欢！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '挺不错  服务员态度很好', '短评打分': 5}
{'短评内容': '前台服务员态度较差，卫生间打扫不太干净，房间较大，性价比还可以，酒店就在步行街上', '短评打分': 5}
{'短评内容': '房间很大，挺舒服，就是空调不能用遥控，只能用开关控制，我开的电脑房，电脑比较卡，总体不错', '短评打分': 3}
