{'短评内容': '相对不错，就是有些噪音，没有去泡澡', '短评打分': 5}
{'短评内容': '感觉一般般，退步了很多，没有之前入住时惊艳的感觉了。', '短评打分': 4}
{'短评内容': '不错不错呢', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '还可以。除了酒店风格不是很喜欢之外。其他的都挺满意的。', '短评打分': 4}
{'短评内容': '还可以 足疗真好', '短评打分': 4}
{'短评内容': '住的地方非常非常满意，很好，很方便！', '短评打分': 5}
{'短评内容': '挺好的酒店，有桑拿，早餐一般。', '短评打分': 5}
{'短评内容': '位置不错，周围有商场，楼下就是洗浴', '短评打分': 5}
{'短评内容': '有的房间没有wifi', '短评打分': 4}
{'短评内容': '各方面都很好，满意，满意，满意，满意，满意。各方面都很好，满意，满意，满意，满意，满意。各方面都很好，满意，满意，满意，满意，满意。各方面都很好，满意，满意，满意，满意，满意。', '短评打分': 5}
{'短评内容': '各方面都很好，满意，满意，满意，满意，满意。各方面都很好，满意，满意，满意，满意，满意。各方面都很好，满意，满意，满意，满意，满意。各方面都很好，满意，满意，满意，满意，满意。', '短评打分': 5}
{'短评内容': '还可以！', '短评打分': 4}
{'短评内容': '环境还可以，对面就有商场，吃饭买东西都很方便，就是进入酒店整个都是黑漆漆的感觉，浴缸很大，浴室很大，但是床不是很干净，坐榻垫子很多洒水的痕迹！尤其那个网路，简直无法形容，根本就是无法登陆的状态', '短评打分': 4}
{'短评内容': '房间有些陈旧，设施说的过去，周边环境不错。', '短评打分': 4}
{'短评内容': '周边环境好，房间干净！', '短评打分': 5}
{'短评内容': '真的很一般情况 再也不会入住了', '短评打分': 1}
{'短评内容': '都很好，要是早餐品种再多点就好了，总体来说很满意', '短评打分': 5}
{'短评内容': '服务热情、耐心，环境优雅、性价比非常高，去山东出差继续会选择', '短评打分': 5}
{'短评内容': '5-1期间入住的，当天整个酒店非常热，热的让人很烦躁。', '短评打分': 4}
