{'短评内容': '晚上干净，服务态度好。', '短评打分': 5}
{'短评内容': '位置好，早餐样式多，干净，好', '短评打分': 5}
{'短评内容': '早餐还行，品种还算可以，酒店服务也还不错。不过房间偏小。位置但是挺方便的，周边就是商业中心。性价比还是不错的', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错，卫生要再仔细点就好了', '短评打分': 5}
{'短评内容': '房间里的净水器是一大特色，前台服务不是很满意，开始问早餐说会员才有，后面又去问才说有，不过早餐还挺好的。', '短评打分': 4}
{'短评内容': '清明假期跟朋友到泰州玩儿，环境还可以，周边吃饭的少，有点偏，其他还可以', '短评打分': 5}
{'短评内容': '感觉不错，周围环境也可以，吃的东西挺多，前台很热情，也很负责，房间也还可以，赞一个，下次还回来住的。', '短评打分': 5}
{'短评内容': '还不错，房间也可以。还不错，房间也可以。还不错，房间也可以。还不错，房间也可以。还不错，房间也可以。还不错，房间也可以。', '短评打分': 5}
{'短评内容': '酒店旁边就是泰州四院，很容易找到，酒店环境不错，挺干净，前台态度不错。房间虽然不大，但是很温馨，里面还有进化说，可以直接喝。', '短评打分': 4}
{'短评内容': '前台人员需要培训', '短评打分': 2}
{'短评内容': '没有停车场，服务态度很好，干净卫生，空间还可以！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '闹中取静，位置还不错，就是停车太困难了', '短评打分': 3}
{'短评内容': '房间比较干净，感觉不错', '短评打分': 3}
{'短评内容': '环境很好很强大哈哈', '短评打分': 3}
{'短评内容': '整体风格不错。', '短评打分': 3}
