{'短评内容': '酒店比较安静。', '短评打分': 4}
{'短评内容': '酒店离火车站很近，步行不到十分钟就可以到。', '短评打分': 5}
{'短评内容': '早餐还可以，毕竟是地级市，跟省会城市和一线城市没法比。', '短评打分': 5}
{'短评内容': '酒店位置挺好，离火车站近，就是房间设施有些老旧', '短评打分': 5}
{'短评内容': '热水太慢了', '短评打分': 5}
{'短评内容': '总得来说还是不错的，性价比很高，而且周边交通很方便离火车站很近，离汽车西站很近。唯一一点提供的早餐不怎么样。', '短评打分': 5}
{'短评内容': '差劲 没别的可说啦', '短评打分': 3}
{'短评内容': '酒店位置较好，周边吃饭的地方多；房间面积还可以，服务较好，电梯很快，房间内设施较陈旧；早餐种类较少，口味一般。', '短评打分': 4}
{'短评内容': '酒店位置较好，周边吃饭的地方多；房间面积还可以，服务较好，电梯很快，房间内设施较陈旧；早餐种类较少，口味一般；', '短评打分': 4}
{'短评内容': '酒店比较旧，服务态度很好。', '短评打分': 4}
{'短评内容': '靠近火车站，很方便，老牌三星酒店，设施老一点', '短评打分': 4}
{'短评内容': '卫生，', '短评打分': 5}
{'短评内容': '已经很旧了', '短评打分': 2}
{'短评内容': '淋浴头是坏的，早上洗澡太不方便，其他还好', '短评打分': 3}
{'短评内容': '物超所值。', '短评打分': 5}
{'短评内容': '很古老的酒店，房间内装修太陈旧，238元的房间相比房间实在是高，不会在入住', '短评打分': 1}
{'短评内容': '酒店服务很好，但设备有点旧，停车很方便周围也很繁华，早餐一般。', '短评打分': 5}
{'短评内容': '服务不错,好评.', '短评打分': 3}
{'短评内容': '酒店服务还可以，就是酒店楼房有点老，设施有点老，由于早上走的早，早餐没有吃，所以不了解，但晚餐感觉还可以总体水平还可以', '短评打分': 3}
{'短评内容': '本人于5月5日入住该酒店，共2个房间。从地理位置、周边环境、服务态度、房间卫生方面感觉还算不错。个别细节还需注意，如：电视机电源不易发现；热水器电源不易发现；套间卫生间门锁不能使用；酒水吧台未放置酒水等、、、、，还望改进', '短评打分': 5}
{'短评内容': '早餐太差，房间设施太差，服务没有边上的昌润好。', '短评打分': 1}
{'短评内容': '价格稍贵，设备稍旧，前台服务一般，停车场很方便，态度很好，其他都还行。', '短评打分': 5}
{'短评内容': '服务上响应及时，房间里宽敞明亮，隔音也很好，位置也不错，出行也挺方便的。', '短评打分': 5}
{'短评内容': '服务人员态度很好，房间布置的挺温馨，基本设施都有，让感觉很干净很舒适。', '短评打分': 5}
{'短评内容': '服务人员办理手续挺快的，卫生也很好，离火车站步行就能到，周边还个超市，购物也挺方便的。', '短评打分': 5}
{'短评内容': '酒店离火车站挺近，周边交通挺便利，卫生很服务方面也很好。', '短评打分': 5}
{'短评内容': '服务挺好，卫生也不错，交通也挺便利，价格也合适。', '短评打分': 5}
{'短评内容': '房间挺宽敞的，打扫也很干净，设施挺齐全，住的挺舒适。', '短评打分': 5}
{'短评内容': '房间比较大，采光很好，设施挺齐全也挺新，餐厅也挺大，饭菜挺可口，价格还不贵。', '短评打分': 5}
{'短评内容': '房间挺大的，打扫的很干净，设施也挺齐全，网速也不慢，住的挺舒适。', '短评打分': 5}
{'短评内容': '房间里挺干净的，硬件设施挺齐全，24小时的热水，用起来很方便。', '短评打分': 5}
{'短评内容': '服务人员总是微笑服务，房间里宽敞舒适，电视是也液晶的，还能上网，感觉挺不错。', '短评打分': 5}
