{'短评内容': '性价比不错，房间还对着湖，下次来天台还是住这里', '短评打分': 5}
{'短评内容': '酒店设施旧了点，不过还是值得选择的。出差的人士可以考虑', '短评打分': 5}
{'短评内容': '还可以，设施有点旧，可以住一下，早点简单了点。', '短评打分': 5}
{'短评内容': '酒店还可以,价格便宜.就是早餐不好,9点就没有早餐了,郁闷!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '这个酒店住的还是比较舒服的，床够大够宽~', '短评打分': 5}
{'短评内容': '很差的酒店，不论是硬件还是软件上......', '短评打分': 1}
{'短评内容': '酒店太老，前台的服务态度也不是很好。房间的床很硬', '短评打分': 1}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '服务好，位置不错，用餐便，送菜服务周地，服务周到，不收小费，好。早餐欠丰富，用餐时空调欠好。房间可以。房间空调欠好', '短评打分': 5}
{'短评内容': ' 太差了！首先前台服务员都不知道该怎么给司机指示方向，房间太过陈旧，服务态度太差，100的房间居然卖到300。。。。', '短评打分': 1}
{'短评内容': '酒店很老了，床很差，床上用品也一样，我一个晚上没睡好。', '短评打分': 1}
{'短评内容': '酒店服务很好，响应及时，态度也很热情，这点感觉很好。', '短评打分': 5}
{'短评内容': '酒店的软件方面很好，硬件方面只能说是一般了。这的餐厅饭菜做得还不错，价格也比较实惠，可以尝试一下。', '短评打分': 5}
{'短评内容': '酒店外观看起来很漂亮，可以从窗台看见美丽的天台山，附近有东湖和小亭子，环境很好，很惬意', '短评打分': 5}
{'短评内容': '酒店还不错，服务挺周到，卫生做得也很好，设施一般了点，出行还是很方便。', '短评打分': 5}
{'短评内容': '酒店在当地来讲算是不错的，服务卫生都很到位，离市中心比较新，交通也很便利。', '短评打分': 5}
{'短评内容': '酒店服务很好，办事效率高，随叫随到，卫生条件也不错，房间打扫的很整洁，干净，住宿环境还可以', '短评打分': 5}
{'短评内容': '酒店还不错，就在市中心，早餐不错，还是比较丰盛的，住着很舒服', '短评打分': 5}
{'短评内容': '服务人员办事效率挺快的，卫生打扫也很干净，出行也挺方便，整体感觉挺不错。', '短评打分': 5}
{'短评内容': '服务很好。要求他们打扫房间，蛮快的就收拾干净了，办事很有效率', '短评打分': 5}
{'短评内容': '酒店的环境还不错，挺干净的，而且在房间里可以看到天台山，风景挺美，整体感觉挺舒适的。', '短评打分': 5}
{'短评内容': '位置不错就在市中心，出行还是很方便的。卫生很干净，服务很好，房间里的设施比较齐全，住着舒服', '短评打分': 5}
{'短评内容': '大厅在装修，设施都很陈旧，床尤其差。下次不会住这个酒店了。', '短评打分': 1}
