{'短评内容': '早餐丰盛', '短评打分': 5}
{'短评内容': '态度好，环境好', '短评打分': 5}
{'短评内容': '早餐很一般，周边有个沃尔玛，离地铁站要走10多分钟。', '短评打分': 4}
{'短评内容': '酒店老旧，设施比较简陋，周围较荒凉没什么吃的，附近是一个医院，离地铁站步行15分钟大概是唯一的亮点了', '短评打分': 3}
{'短评内容': '交通方便位置好', '短评打分': 4}
{'短评内容': '酒店装修陈旧，卫生条件一般，地理位置极其优越，交通便利，三星酒店四星价格，性价比不高。', '短评打分': 3}
{'短评内容': '酒店装修陈旧，卫生条件一般，地理位置极其优越，交通便利，三星酒店四星价格，性价比不高。', '短评打分': 3}
{'短评内容': '挺好的  还不错', '短评打分': 5}
{'短评内容': '离301医院特别近，出门就到，太方便了', '短评打分': 4}
{'短评内容': '价格够高够贵的，没办法，看病方便', '短评打分': 4}
{'短评内容': '到301医院出差，这里是最近的，总体不错，周边餐饮方便，满意！', '短评打分': 5}
{'短评内容': '豪华标间设施不够，600多的房费，一小瓶水还收费，电视是奔四个现代化之前的产品，雾里看花！床品太一般了！', '短评打分': 3}
{'短评内容': '方便离301近', '短评打分': 5}
{'短评内容': '干净，提供送站服务，挺好，方便', '短评打分': 5}
{'短评内容': '干净，提供送站服务，挺好，方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 2}
{'短评内容': '房间环境还不错就是前台人员服务太差，朋友去退房要赶火车让前台快些，工作人员居然说着什么急，真是让人上火', '短评打分': 5}
{'短评内容': '房间比较大，离301很近，也比较安静。不过服务很一般，床单3天才换一次。总体而言不功不过吧，价格不如汉庭如家实惠。', '短评打分': 5}
{'短评内容': '离301医院很近，虽然价钱较高，但环境确实不错，父母很满意', '短评打分': 5}
{'短评内容': '酒店的服务相当不错，第一天住的是比较贵的豪华房，后两天改成标间，发现标间居然比豪华房大多了。', '短评打分': 3}
{'短评内容': '房间不够安静，卫生间下水道有味道，床垫太硬', '短评打分': 5}
{'短评内容': '过来看病的，去301医院比较近，交通方便。房间比较大。卫生条件还可以。洗澡用的快速加热的电热水器，不太好用。早餐种类倒是多，就是不大好吃。', '短评打分': 5}
