{'短评内容': '交通较方便', '短评打分': 5}
{'短评内容': '不错，性价比高', '短评打分': 4}
{'短评内容': '环境很好！主要在京东订的房间，比去哪里订，便宜好多！谢谢京东', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '一觉睡到12点，没吃上早餐，能加床，酒店位置可以，在马路边上，我那个房没对着马路所以不吵，附近就餐方便，也有条小街在酒楼后面，有卖当地特色小吃，还有个酒楼可以喝午茶，价格很便宜。', '短评打分': 4}
{'短评内容': '位置还OK，但是住起来觉得蛮一般', '短评打分': 3}
{'短评内容': '一间房没有吹风机，另一间房空调滴水，吹风机坏的，电脑漏电', '短评打分': 5}
{'短评内容': '还可以。不错。。', '短评打分': 5}
{'短评内容': '还可以了。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺好。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': '周邊的環境還挺好的，交通也很方便，在市中心位置，有早餐，房間的設施都很齊全，服務人員的態度也蠻好的，', '短评打分': 5}
{'短评内容': '酒店员工服务态度很好', '短评打分': 4}
{'短评内容': '酒店在汕尾还算高大上，一切都很不赖，点赞', '短评打分': 4}
{'短评内容': '老酒店，设施较差，价格还算合理。周边的商业很发达，自已还带个大饭店。停车有时很难，窗户有个方向很差。分体空调!', '短评打分': 3}
{'短评内容': '地理位置不错，去市区中心很近；房间面积还行，装修有点旧了，有些漏水；停车位少；早餐还是挺丰富的，短期出行还是值得一选。', '短评打分': 4}
{'短评内容': '此酒店所处的位置位于汕尾市中心，而且旁边就是大型餐厅，吃饭非常方便，价格也合理。此处是商务出行的不错选择。', '短评打分': 5}
{'短评内容': '在汕尾来说还不错，老酒店了，不过周边还算不错的', '短评打分': 3}
{'短评内容': '酒店交通便利，设施较为陈旧，餐饮一般，服务态度很好！下次还会入住。', '短评打分': 4}
{'短评内容': '酒店交通便利，设施较陈旧，早点一般，服务态度很好！下次还会入住。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '交通比较方便，虽然设施不是很新，但都比较干净。服务员的态度其实也蛮不错的。', '短评打分': 5}
{'短评内容': '和朋友到汕尾那边旅游住的酒店，房间虽然装修比较普通，但干净整洁，感觉也蛮舒服的。浴室面积还可以，也很干净。房间都有提供台式电脑和免费上网。至于早餐方面种类基本也足够了，但没什么特色。总体来说也对得起这价格了。', '短评打分': 5}
{'短评内容': '环境不错，交通方便，服务态度不咋的。', '短评打分': 3}
{'短评内容': '房间面积还算比较大，就是地面是瓷砖，没有地毯很不方便，其它方面还行。', '短评打分': 5}
{'短评内容': '去吃早餐时居然小孩子也要收半票15元，我家小孩才三岁，1米都没够。交了钱才进去的。\n\n关键是后面很多带小孩的进来用餐，他们又一个都不收了？？？？\n\n真是没有个标准，好像很随意的收费\n\n房间肯定没有四颗星的标准，算三星吧。', '短评打分': 1}
{'短评内容': '就这个价位，这个装修不行 早餐还可以 没有现在一般连锁酒店舒服', '短评打分': 1}
{'短评内容': '完全不够三星级标准,像家庭宾馆.下次不会再来:-(', '短评打分': 3}
{'短评内容': '每次去汕尾都住，位置比较好，有早餐，不错，加油。', '短评打分': 5}
{'短评内容': ' 设备齐全，服务不错，早餐很好，可以推荐。', '短评打分': 3}
{'短评内容': '酒店不错，交通也比较方便。服务员的服务态度也不错。价格也很合理。', '短评打分': 5}
{'短评内容': '汕尾市区范围不大，订这个酒店交通挺方便，房间环境也还可以，但是双人房都是靠路边的，比较吵，睡得不是很安稳', '短评打分': 5}
{'短评内容': '虽然硬件设备比较老套。`隔音不是很好.因为正好在市区.不过整体环境还不错', '短评打分': 5}
{'短评内容': '地理位置不错，室内装修还可以，而且配送早餐，整体感觉很好。', '短评打分': 5}
{'短评内容': '+酒店布置简洁.比较干净.位置较好.早餐也不错.总体满意!', '短评打分': 5}
{'短评内容': '总体很好，唯一是卫生间马桶不好用', '短评打分': 5}
{'短评内容': '房间挺大的，卫生很好，能提供上网，电视也是多频道，感觉很好。', '短评打分': 5}
{'短评内容': '预订的是双床房，酒店给安排大床房，让我们两男的怎么住啊。跟前台沟通半天才给换了双床。碰到这种情况酒店应该再灵活下就更好了。', '短评打分': 5}
{'短评内容': '服务很好，房间里很干净，设施齐全，就是打车不是很容易。', '短评打分': 5}
{'短评内容': '房间很宽敞，通风很好，打扫也很及时，住的很舒适。', '短评打分': 5}
{'短评内容': '房间布置挺温馨，设施挺齐全，打扫也很干净，住的相当舒适。', '短评打分': 5}
{'短评内容': '没有无线网络，上网不方便。', '短评打分': 5}
{'短评内容': '房间空间比较大，装修旧点，洗手间的设施比较陈旧，房间上网要付费，贵！10元/时。位置还可以。', '短评打分': 5}
{'短评内容': '入住后发现房间很小\r\n大床房的房也很小，1米5的床还没有家里的长', '短评打分': 1}
{'短评内容': '酒店的位置还算可以，但是价格偏高，服务也很一般，设施很差，又旧一点都不好。', '短评打分': 3}
{'短评内容': '这家酒店的服务水平还是不够专业，设施条件也一般了点，周边环境还是不错的，交通还是比较方便的，价格方面还可以了。', '短评打分': 5}
{'短评内容': '就这个价格来说，酒店各方面还行。就是吃饭不方便。', '短评打分': 5}
{'短评内容': '酒店正在装修,我们定3间房每层安排一间,在装修房间的旁边,而且早上六点就开始很吵人.其它方面还是不错的,要是以后装修好了还是可以推荐的.', '短评打分': 5}
