{'短评内容': '都挺好，除了没有早餐和增值税专用发票', '短评打分': 5}
{'短评内容': '绿城一期 比我想的要旧 外来车开不到大堂 很安静但隔音差 早餐在楼下粤餐厅用的 单点 粥不错 商务住住还行 公寓配置', '短评打分': 4}
{'短评内容': '房间干净，服务好，有停车位，安静。', '短评打分': 5}
{'短评内容': '可以。。。。。。。。', '短评打分': 5}
{'短评内容': '还不错 位置很好 环境不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '房间很大，有洗衣机很贴心，服务差一些，没有餐厅，幽静的地方，静心不错，出门要走很远到大路，订车很容易找错地方。', '短评打分': 4}
{'短评内容': '总体来说还不错，环境很好很安静，不过位置不好找，出租司机也不知道，在小区里面，出租车进不去，行李多了不方便。', '短评打分': 5}
{'短评内容': '房间还行 但是车位紧张 必须差评 荒郊野岭的酒店谁不开车来？！ 33间房就7个车位 还要和会所其他用车一起抢 死心眼管理 没车位就非得停路边走老远 下次绝不为省点钱住这里了！', '短评打分': 2}
{'短评内容': '还不错！就是房间太干燥', '短评打分': 5}
{'短评内容': '早餐不够好', '短评打分': 5}
{'短评内容': '酒店软硬件设施都很棒，性价比超高，下次还会选择。', '短评打分': 5}
{'短评内容': '绝对赞一个！非常不错', '短评打分': 5}
{'短评内容': '酒店软硬件设施都非常高，性价比很高，以后还会个这家酒店。', '短评打分': 5}
