{'短评内容': '酒店位置不错，有点小', '短评打分': 5}
{'短评内容': '还不错，就是有点老了', '短评打分': 5}
{'短评内容': '酒店地理位置好，就餐方便', '短评打分': 5}
{'短评内容': '就是房间有点味道，其他都好啦', '短评打分': 5}
{'短评内容': '还不错，挺好的', '短评打分': 5}
{'短评内容': '很好，安静干净服务好', '短评打分': 5}
{'短评内容': '酒店位置相对隐蔽，服务还是可以的。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '地理位置合适，价格便宜', '短评打分': 5}
{'短评内容': '蚊子好多睡不着', '短评打分': 4}
{'短评内容': '酒店房间比较干净，周边配套比较好', '短评打分': 5}
{'短评内容': '房间挺干净的，就是没有窗户', '短评打分': 5}
{'短评内容': '进门第一感觉服务好，前台热情。打开房门地毯挺脏的，不过其他都还不错，整体略破，可以接受。不知道是不是自己手机刚刚升了9.0系统出现bug还是怎么，网络一直不太好。整体来说可以的，出差基本都会选择这家', '短评打分': 4}
{'短评内容': '环境可以，地理位置方便我出行。', '短评打分': 4}
{'短评内容': '进门第一感觉服务好，前台热情。打开房门地毯挺脏的，不过其他都还不错，整体略破，可以接受。不知道是不是自己手机刚刚升了9.0系统出现bug还是怎么，网络一直不太好。整体来说可以的，出差基本都会选择这家', '短评打分': 4}
{'短评内容': '进门第一感觉服务好，前台热情。打开房门地毯挺脏的，不过其他都还不错，整体略破，可以接受。不知道是不是自己手机刚刚升了9.0系统出现bug还是怎么，网络一直不太好。整体来说可以的，出差基本都会选择这家', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '看到消费卷预定的，208这个价钱不是很值，而且住的房间卫生间居然有有一股尿骚味。\n还有，浴巾毛巾是放在卫生间的的隔间里，不是放在淋浴间。淋浴间的踩脚巾是放在浴巾上。', '短评打分': 1}
{'短评内容': '我是看在消费券的份上入住该酒店，如果是正常选择的话，我会选择其他的了；不过该酒店的服务还不错了。', '短评打分': 5}
{'短评内容': '总体感觉不错，房间里比较干净，设施也齐全，服务态度也还好。', '短评打分': 3}
{'短评内容': '房间设施还算齐全，也比较干净，环境也相对来说不错，服务也还满意，有网络提供，可以上网，外出投宿得不错选择。', '短评打分': 5}
{'短评内容': '酒店还算安静，房间还算干净，服务也还不错，就是没早饭', '短评打分': 5}
{'短评内容': '还不错，只是没有早餐，还有停车不是很方便面的场地太小了还和边上公用的，还有收5元停车费（不过在温州停车难本来就是现实还有收费，有地方停就不错了，再说5元收费感觉不贵）', '短评打分': 5}
{'短评内容': '酒店设施，隔音、服务均较差。床都快散了，空调也不行。', '短评打分': 1}
{'短评内容': '该酒店无论是外部环境还是内部设施都可以用一个差字概括，希望该酒店能够虚心向7天假日酒店学习，否则将来只有关门的指望了。', '短评打分': 3}
{'短评内容': '酒店很破旧，房间味道很重，不会住第二次了', '短评打分': 1}
{'短评内容': '房间设施陈旧，味道很重，环境很一般，入住要考虑。', '短评打分': 1}
{'短评内容': '环境不是很好的', '短评打分': 3}
