{'短评内容': '。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '干净卫生交通便捷', '短评打分': 5}
{'短评内容': '干净卫生，服务态度好，交通便捷', '短评打分': 5}
{'短评内容': '早餐选择较少，房间空调有声音', '短评打分': 5}
{'短评内容': '我出差经常住城市便捷酒店，性价比高，满意', '短评打分': 5}
{'短评内容': '周围环境安静，酒店里面干净卫生，设施齐全，前台热情周到，出行便捷方便，价格实惠，是出差旅游的理想选择。', '短评打分': 5}
{'短评内容': '不错，干净卫生', '短评打分': 5}
{'短评内容': '啦！啦啦啦啦啦啦啦啦', '短评打分': 5}
{'短评内容': '非常非常非常非常的好', '短评打分': 5}
{'短评内容': '一般般吧也不怎么样还行吧', '短评打分': 5}
{'短评内容': '很干净 下次还会再来的', '短评打分': 5}
{'短评内容': '已经第三次入住这家酒店了，酒店地理位置优越，离火车站很近。城市便捷的酒店干净卫生，环境好', '短评打分': 5}
{'短评内容': '房间整洁卫生，环境安静', '短评打分': 5}
{'短评内容': '房间不隔音，前台服务员态度不太好！有些问题当着顾客的面说出来，建议改进', '短评打分': 3}
{'短评内容': '房间忘了拍照 但是还是非常棒的 房间很大 前台的服务员都很热心 尤其是值班经理彭经理 点个赞', '短评打分': 5}
{'短评内容': '很好，比较满意', '短评打分': 5}
{'短评内容': '交通方便，设施齐全，干净卫生', '短评打分': 5}
{'短评内容': '交通很方便，就是街边的房间稍微有车流声。总体来说很不错。', '短评打分': 5}
{'短评内容': '酒店不错，价钱合理，放假你干净也很温馨，全五分', '短评打分': 5}
{'短评内容': '每次去桂林就是住的这家，感觉不错。但是这次不怎么好了。首先，卫生间有蜘蛛在面盆爬来爬去。房间的Wi-Fi也链接不上。就是连上了也信号不稳定。基本用不了。淋浴房的地上也没有防滑地垫，这么冷，光脚进去，刚刚去过百色，也是城市便捷酒店，这些方面就比这家店要做得好。', '短评打分': 4}
{'短评内容': '挺舒服的', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '骗人，居然说是四星级。二星差不多', '短评打分': 3}
{'短评内容': '我是在五一假期临时更改行程，订不到酒店的情况下入住的。\n\n我只能说第一，酒店老了；第二，从前台的接待可以看出不是专业的酒店服务。\n\n', '短评打分': 1}
{'短评内容': '看了之前的评价所以选了这家酒店，有些郁闷。床单，被套，枕套都不太干净，隔音不好。因为有事，刚登记完就出门了，回来想退也退不了。性价比可以说很差了。', '短评打分': 1}
{'短评内容': '周边交通挺便利的，离火车站也挺近的，出行挺方便。', '短评打分': 3}
{'短评内容': '酒店看着还挺新，服务态度挺好，卫生打扫也不错，周边公交挺多，出行挺方便。', '短评打分': 5}
{'短评内容': '大堂不是很大，卫生打扫的还不错，服务态度挺热情的。', '短评打分': 3}
{'短评内容': '卫生很好，很干净的很舒适，周边交通很便利的，出行挺方便。', '短评打分': 5}
{'短评内容': '酒店还不错，服务挺耐心的，位置挺好，周边交通挺便利的。', '短评打分': 5}
{'短评内容': '房间装修还不错，卫生间是玻璃形式的，看着挺舒适，卫生打扫也不错。', '短评打分': 3}
