{'短评内容': '房间内设施坏了，没人修。', '短评打分': 3}
{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '特价房电视掉价了点', '短评打分': 4}
{'短评内容': '房间挺不错，干净，隔音效果尚待提高', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '空调破烂，一夜调了三间房！差点冻僵！！', '短评打分': 1}
{'短评内容': '住过几次，以前都很好，这一次感觉有点失望，前台有位服务人员态度不如其他人！', '短评打分': 3}
{'短评内容': '经常来出差，感觉还可以，值得推荐', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '卫生很好，服务态度很好！值得一住！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '设施老旧了点 电视有不到几个台 其他都还好', '短评打分': 5}
{'短评内容': '干净整洁，蛮好，交通方便，空调很给力，还会住的', '短评打分': 5}
{'短评内容': '总的来说还是很好的，就是有的服务员业务不熟，造成了一些小麻烦', '短评打分': 5}
{'短评内容': '挺干净的，就是上网不给力，换了好几个房间才找了个可以上网的，服务态度倒还行。', '短评打分': 5}
{'短评内容': '雅致的环境，条件设施有点老旧，不过价位还可以，地理位置很方便而且不吵。', '短评打分': 5}
{'短评内容': '不错的环境，下次继续来这里，设施老旧了点，不过喜欢茶社的感觉', '短评打分': 5}
