{'短评内容': '非常好，以后还会来', '短评打分': 5}
{'短评内容': '非常好，下次还会来', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '停車方便，早餐豐富', '短评打分': 5}
{'短评内容': '早餐还好 就是设施有点旧而且床头没有插座 充电很费事', '短评打分': 5}
{'短评内容': '离地铁口近，步行几分钟就到了。周围全是吃的，是个城中村，相当可以，啥都有，很经济。背街，比较安静。淋浴房比较异类，非贬义。', '短评打分': 5}
{'短评内容': '房间布局较差，床垫质量差', '短评打分': 3}
{'短评内容': '啊呜，完全没隔音的酒店呢。周围是挺静，可是隔壁就不静了，有点难找ᶘ ᵒᴥᵒᶅ', '短评打分': 4}
{'短评内容': '正面击', '短评打分': 5}
{'短评内容': '每次都住这里，性价比高，方便', '短评打分': 5}
{'短评内容': '到这里出差，周边很方便，环境还行吧', '短评打分': 5}
{'短评内容': '，', '短评打分': 5}
{'短评内容': '還可以吧呵呵呵呵呵呵呵呵呵呵呵', '短评打分': 5}
{'短评内容': '1被咯', '短评打分': 5}
{'短评内容': '还可以。这价位算不错了，就是楼道里阿姨有点吵', '短评打分': 4}
{'短评内容': '酒店环境一般，服务还行，设施一般，卫生还可以。周边比较吵，酒店房费在深圳这地段还是比较优惠的。去这周边都是住这酒店。', '短评打分': 4}
{'短评内容': '下单成功后到酒店居然说没有订房信息', '短评打分': 3}
{'短评内容': '哎！无语了！', '短评打分': 3}
{'短评内容': '不错你恶心1额GZ不错你恶心1额GZ不错你恶心1额GZ不错你恶心1额GZ不错你恶心1额GZ不错你恶心1额GZ不错你恶心1额GZ不错你恶心1额GZ不错你恶心1额GZ不错你恶心1额GZ不错你恶心1额GZ不错你恶心1额GZ不错你恶心1额GZ不错你恶心1额GZ不错你恶心1不错你恶心1额GZ不错你恶心1额GZ不错你恶心1额GZ不错你恶心1额GZ不错你恶心1额GZ不错你恶心1额GZ不错你恶心1额GZ不错你恶心', '短评打分': 5}
{'短评内容': '停车方便，离地铁站也近，周边饮食方面都很多店铺。就是晚上比较吵。', '短评打分': 4}
{'短评内容': '很不錯', '短评打分': 5}
{'短评内容': '卫生不好，被子有霉味，盖了后浑身痒痒的。本来想再住一天的，赶紧跑了。', '短评打分': 3}
{'短评内容': '实在一般', '短评打分': 1}
{'短评内容': '干净安全，旁边有麦当劳，还有村里的夜宵小吃。工艺美术馆就在旁边。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '前台服务态度很好，房间比较小，出差住还可以~', '短评打分': 5}
{'短评内容': '周围性价比最好的了吧', '短评打分': 5}
{'短评内容': '房间条件和服务都很好', '短评打分': 5}
{'短评内容': '如家统一的风格。服务员态度很好。交通还算方便。', '短评打分': 5}
{'短评内容': '还行吧。不算太差。你懂的', '短评打分': 3}
{'短评内容': '还行，挺安静，就是空间有点小。但吃的不太方便。', '短评打分': 5}
{'短评内容': '这个价格区域算比较好的了，房间比其他同类连锁酒店感觉要大，卫生也比较干净，前台服务人员态度也好，就是隔音效果不好，隔壁关门都可以听到，站在门外可以听见房间里的声音。。。', '短评打分': 5}
{'短评内容': '至少我觉得还不错了。。。。200块 很安静 下面就是银行和麦当劳', '短评打分': 5}
{'短评内容': '入住期间在装修，味道很重，卫生较一般，隔音效果较差。希望能有所改进吧。', '短评打分': 1}
{'短评内容': '价格很有竞争力，酒店位置也好，周围吃饭的地方很多，不远就是家乐福。总之下次还会去。', '短评打分': 5}
{'短评内容': '环境好静，好舒服，大床床垫非常好睡得不错。', '短评打分': 5}
{'短评内容': '除了找起来有点麻烦，其它都相当满意，尤其是前台服务态度相当好，有宾至如归的感觉，就是晚上周围吃东西的地方比较难找', '短评打分': 5}
{'短评内容': '性价比比较好 服务也不错 只是装修不太合理 总体还不错 毕竟是经济型酒店', '短评打分': 5}
{'短评内容': '交通购物方便，还不错，房间内浴室太前卫了', '短评打分': 5}
{'短评内容': '都还不错吧，就是浴室挡着空调遥控啦，很是麻烦呀', '短评打分': 5}
{'短评内容': '卫生不錯地方安靜，交通較不便，脲務也可以', '短评打分': 5}
{'短评内容': '还不错，蛮有特色的，很安静！可惜没有WiFi', '短评打分': 5}
{'短评内容': '第二次入住，周围比较安静，但购物不太方便，价格合理', '短评打分': 5}
{'短评内容': '周围环境比较安静，装修一般，不过价格合理。', '短评打分': 5}
{'短评内容': '还过得去， 味道重了点  可能新装修的原因', '短评打分': 5}
{'短评内容': '还一般，，，，，就是味道稍微重了点。。。。。。/。', '短评打分': 5}
{'短评内容': '挺不错的，家人过来玩住的，比较方便，卫生也可以。', '短评打分': 5}
{'短评内容': '典型商务酒店，设施基本满足睡觉需要而已！很怪的沐浴房，不喜欢。', '短评打分': 5}
{'短评内容': 'DP65環境還好，但旁邊在裝修，太嘈。', '短评打分': 3}
{'短评内容': '環境還好，但旁邊在裝修，太嘈。', '短评打分': 3}
{'短评内容': '很干净，不错', '短评打分': 3}
{'短评内容': '室内整体都挺好，卫浴很有趣，设施多样化，布置也比较科学。', '短评打分': 3}
{'短评内容': '在深圳来说这个位置、这个价位已经非常不错了，环境和服务都不错，下次去那边还会住。', '短评打分': 5}
{'短评内容': '设施很好，服务态度不错，就是在背街里，不是很好找，不错，下次在入住！', '短评打分': 5}
{'短评内容': '还算干净舒适，服务态度也还不错，经济类的酒店性价比较高，下次还会去住。', '短评打分': 5}
{'短评内容': '卫生条件不错。但是有点吵。隔音效果不太好。位置也有点偏僻。', '短评打分': 5}
{'短评内容': '很好！位置很好，价格不高，服务很不错，总体评价，闹中有静的一个好地方。', '短评打分': 5}
{'短评内容': '环境很干净 就是有一点吵', '短评打分': 3}
{'短评内容': '在经济型酒店里面来讲，这家的条件算是不错的，尤其是房间布局', '短评打分': 5}
{'短评内容': '闹中取静，非常不错。\n在工艺品市场里，不熟悉的话找起来有点费劲。\n如家还是要比其他几家快捷酒店强一些。', '短评打分': 5}
{'短评内容': '隔地铁口不算太远，酒店可以用餐，方便', '短评打分': 3}
{'短评内容': '房间浴室基本上是一360度圆柱玻璃体，在一侧中央，只有头顶上方大花洒，没有手持花洒。要不弄湿头发只能戴头套。怪怪的，不实用。', '短评打分': 3}
{'短评内容': '酒店很安静，干净透气，服务很好，洗手间很有特色，只是不是很方便使用呢', '短评打分': 5}
{'短评内容': '朋友去开会，帮忙订了这家，据说去开会的地儿很近，而且机场过去也比较方便。', '短评打分': 5}
{'短评内容': '非常不错，在这里住了一周。\n位置好，房间干净。\n晚上安静，周围吃饭、交通都很方便', '短评打分': 5}
{'短评内容': '挺不错的，如果价格能再便宜点就更好了。\n位置极好，房间干净，早餐不错，如家就是和其他的有不同。', '短评打分': 5}
{'短评内容': '酒店位置闹中取静，稍微有些难找，需要一些距离到公交站，早餐还不错，总体可以接受。', '短评打分': 5}
{'短评内容': '很不错，而且比较安静，服务员服务态度好，而且浴室的格局很有创意！价格很公道！', '短评打分': 5}
{'短评内容': '各方面都不错，尤其是吃饭挺方便的，唯一不足的是房间隔音差了一点，不过离开我们深圳分公司近，方便，所以下次还会住的', '短评打分': 5}
{'短评内容': '该酒店有点偏，不是很好找，建议招牌还要放出去；房间空间比较紧凑，还算干净', '短评打分': 5}
{'短评内容': ' 感觉还是很不错的', '短评打分': 3}
{'短评内容': '交通便捷，性价比合理', '短评打分': 3}
{'短评内容': '晚上去有点不好找，但房间住的很舒服，温馨!!', '短评打分': 5}
{'短评内容': '不错，周边环境比较清静，服务人员态度非常好，距离海鲜烧烤摊也近。', '短评打分': 5}
