{'短评内容': '住宿环境还可以，进门有少许异味！！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '还不错 房间大 也便宜', '短评打分': 4}
{'短评内容': '不错住过几次了，帮外国盆友也定过过多次 ', '短评打分': 5}
{'短评内容': '价位还好！服务不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '很好。。。。', '短评打分': 5}
{'短评内容': '很好。。。。', '短评打分': 5}
{'短评内容': '房间还行，但楼道昏暗，早餐一般。前台接待业务非常不熟练，退个房前后40分钟都没搞定，需加强培训。', '短评打分': 4}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '早餐较好，房间卫生好设施尚可，周边环境一般。', '短评打分': 4}
{'短评内容': '这装修和设计…，真心恐怖。', '短评打分': 3}
{'短评内容': '房间很大不过没啥软用。。楼下是没啥吃的不过有外卖软件没啥差。价格有点小贵。整体还行', '短评打分': 4}
{'短评内容': '定点地方', '短评打分': 4}
{'短评内容': '环境很好设施可以下次再来还住这里', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店设施不错，周边环境优，服务热情。', '短评打分': 5}
{'短评内容': '房间大安静，被子薄了', '短评打分': 3}
{'短评内容': ' 装修较新，服务早餐还好。当然是按照这个价格下的标准。', '短评打分': 3}
