{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '停车场很大，安全', '短评打分': 5}
{'短评内容': '早点不错，停车场挺大的。服务到位！', '短评打分': 5}
{'短评内容': '不错，有停车场，很好', '短评打分': 5}
{'短评内容': '早餐很丰富，环境也不错。', '短评打分': 5}
{'短评内容': '还可以吧，出差讲究下没事', '短评打分': 3}
{'短评内容': '还行，离办事的地方近，离高速也近，房间给留到很晚，不错', '短评打分': 5}
{'短评内容': '离县政府很近，在县委大院内，有停车位', '短评打分': 5}
{'短评内容': 'Wi-Fi不行.....连上后用不了...', '短评打分': 4}
{'短评内容': '停车场挺大，县中心，交通便利。', '短评打分': 4}
{'短评内容': '先说说房间吧，因为我是夜里到的，所以觉得地方不是太好找，因为酒店是在院内所以不会很糟杂，前台接待态度很好，房间卫生条件也还不错，我的房间窗户是临街的，所以多少很是有点吵，因为本人睡眠比较浅，所以第二天前台果断给我换成窗子在院内的了，拍了几张图大家可以参考哦（最后一张是在窗户那拍的周边环境），然后就是早餐，早餐券是包涵在房间内的，早餐是七点到九点的，我是八点半左右去的，所以各种餐品基本上都没有了，但', '短评打分': 5}
{'短评内容': '还是不错的，值得一住。', '短评打分': 5}
{'短评内容': '比较满意的一次入住', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈很好', '短评打分': 3}
{'短评内容': '酒店环境不错，可是主楼副楼相差较大，副楼比较陈旧，网上也没标明，建议追求舒适的人慎入。', '短评打分': 4}
