{'短评内容': '提醒一下亲们：酒店大部分房间里是单冷的空调，也就是冬天无法用暖空调，预订时一定考虑清楚！第二：早餐简单，稀饭也是冷的，早餐桌子桌布（我住三天）一直没有换过，龌龊得不得了！', '短评打分': 3}
{'短评内容': '酒店环境很好，交通方便', '短评打分': 5}
{'短评内容': '前台小雪小敏服务非常好，来了很多次了，下次还会来的，推荐', '短评打分': 5}
{'短评内容': '前台小雪小敏服务热情，棒棒哒', '短评打分': 5}
{'短评内容': '前台小敏，小雪，小郑服务态度很好，房间不错，值得推荐，赞', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '这个酒店超级不好，在平台上定的房间一定是在9楼，电梯只有到8楼，后面你你们知道了！房间里面，空调不行，不冷不说，声音还很大，马桶还没上就发现堵着！一直出差在外的从来没有碰到这种还可以称呼酒店这两个字，早关门歇业早好！省得给当地带来负面影响！', '短评打分': 1}
{'短评内容': '挺不错的！！！！！', '短评打分': 5}
{'短评内容': '整体还可以', '短评打分': 4}
{'短评内容': '干净，安静，早点不错', '短评打分': 5}
{'短评内容': '干净，安静，平静', '短评打分': 5}
{'短评内容': '环境很不错，很喜欢', '短评打分': 5}
{'短评内容': '酒店比较老旧，有点味道，房间设施也老化，性价比不高。', '短评打分': 4}
{'短评内容': '酒店比较老旧，有点味道，房间设施也老化，性价比不高。', '短评打分': 4}
{'短评内容': '靠近马路的房间比较吵，早餐简便，感觉不太好。', '短评打分': 3}
{'短评内容': '房间太大有股味道，卫生间还可以，宽敞', '短评打分': 4}
