{'短评内容': '酒店很好，服务态度也很好！坐车很方便', '短评打分': 5}
{'短评内容': '酒店干净卫生，商务出差合适，价格适中', '短评打分': 4}
{'短评内容': '洗手间不怎么舒服！其余对着这个价格比较合理', '短评打分': 4}
{'短评内容': '还可以吧，没有什么特别感觉！', '短评打分': 5}
{'短评内容': '好，环境不错', '短评打分': 5}
{'短评内容': '还行，就是电脑是坏的', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '不错，真的很好', '短评打分': 5}
{'短评内容': '1.前台态度很好，打十分！有星级酒店态度！2.客房很大，设施很全，有几十种消费品，也是亮瞎眼了。3.部分房间注意。空调外机声音大，比如501和5354.510的淋浴设备是坏的，手持那个就是奇葩。因为换了两次房，不好意思再麻烦了，就勉强了5.入住时前台不想让刷授权，希望现金。结账又莫名从授权里完成1分钱，说是财务规定。奇葩的财务。不是一分钱的事，不觉得很耽误事吗', '短评打分': 4}
{'短评内容': '服务挺好的，就是无线网络太差了', '短评打分': 5}
{'短评内容': '够够的！忘了评了，用携程订的到前台她们竟然不接！板着脸说没跟携程合作然后就不理我了… 我靠真是醉了！那我这订的谁的？？ 反正态度差到极点就是不承认也不接待 搞得我一头雾水还够够的…… 最后打了携程客服经过携程的沟通才勉强同意我入住，纳了闷儿了。还有，如实评价，酒店内卫生很差很差！ 进屋就有异味… 马桶圈、脸盆、卫生间地板…… 太多了，不是一般的脏！像是没认真拖的 床头灯一个外罩竟然是用胶带粘住的 ', '短评打分': 2}
{'短评内容': '服务态度不好，别的都挺好', '短评打分': 3}
{'短评内容': '地段不错，周边环境和房间卫生需要改进。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '交通比较方便，房间卫生干净，临街的房间有点吵', '短评打分': 5}
{'短评内容': '火车站对面，非常好找。各方面都还ok。下次再住', '短评打分': 5}
{'短评内容': '离火车站真的非常非常近，一出站就能看见，出行方便。在驻马店这样的城市，随便住住吧，性价比还算高。', '短评打分': 5}
{'短评内容': '总体感觉还行，离火车站很近，就是晚上很吵，过道总有人在走动，门铃声就没断过好像。', '短评打分': 5}
{'短评内容': '退房速度慢，中午值班人员少。房间味道有点重，但离火车站近。方面坐火车。房间蜘蛛网太多。服务员蛮热情。', '短评打分': 3}
{'短评内容': '我是本地人，因为家里停水才出来住酒店。该酒店的硬件及环境其实挺好的，就是洗澡容易积水，早餐也太简单。另外工作人员的认真态度值得怀疑，第二天我还没退房就收到ELONG的短信，说是该酒店回馈说我没有入住，真是无语，不知道是酒店的问题还是ELONG的问题，希望你们吸取教训。', '短评打分': 5}
{'短评内容': '服务态度很好，房间里面很干净，就是刚进去时有味道。早餐质量一般，不适合南方人。', '短评打分': 5}
{'短评内容': '酒店整体环境很好，房间给人很温馨的感觉，但是洗澡间里面臭味道很大，下次再去不会考虑入住了。', '短评打分': 3}
{'短评内容': '感觉还不错.位置很好很方便.前台服务也很好.值得推荐', '短评打分': 3}
{'短评内容': '新开的酒店，环境很好，很干净。2米的大床很舒服，价格适中，值得入住。', '短评打分': 5}
{'短评内容': '酒店很不错，卫生环境都挺好~~值得推荐~~', '短评打分': 5}
{'短评内容': '房间条件很好，就是前台还不太熟练，可能是由于刚开的宾馆！酒店内设施非常的不错！推荐！', '短评打分': 5}
{'短评内容': '就在火车站对面，交通便利，很不错，房间装修很新，安全性也很好，在房间里可以看到整个火车站广场全貌！', '短评打分': 5}
{'短评内容': '酒店配置不错，住的观景房，但卫生有待加强。', '短评打分': 3}
{'短评内容': '房间气味大，而且不是很干净，可能是火车站附近吧。\n交通还是可以的！', '短评打分': 1}
{'短评内容': '房间很大，交通方便，环境不错，就是外面走廊很吵，室内空气不是太好。', '短评打分': 5}
{'短评内容': '环境还不错。挺好,有机会的话可以再去试试吧。', '短评打分': 5}
{'短评内容': '还行吧，挺便宜!', '短评打分': 3}
{'短评内容': '房间很大卫生干净.缺点房间有异味.应是卫生间下水反上来的', '短评打分': 3}
{'短评内容': '不错，总台的都很热情，印象很好。就是有的房间卫生间有异味，很不好，采光通风不好。后调了个房间还可以，', '短评打分': 5}
{'短评内容': '卫生间有味道，而且不是太安静，外面走廊总是吵闹的很', '短评打分': 5}
{'短评内容': '酒店就在火车站对面 很方便 设施也可以 唯一的缺陷是室内空气不是太好。', '短评打分': 5}
{'短评内容': '总体还可以，就是卫生间异味有点大，早餐很一般', '短评打分': 5}
{'短评内容': '酒店不错，新开张的，很干净，在火车站附近，交通很方便', '短评打分': 5}
{'短评内容': '地理位置不错、达不到四星级标准', '短评打分': 3}
{'短评内容': '环境还可以…通风再好点就更好了…总体还不错', '短评打分': 3}
