{'短评内容': '性价比太高了', '短评打分': 5}
{'短评内容': '早餐一般，房间还可以。', '短评打分': 5}
{'短评内容': '免费停车 有双人浴缸和淋浴房 床顶有镜面 很适合情侣', '短评打分': 5}
{'短评内容': '非常不错，有早餐，房间装修风格很好。', '短评打分': 5}
{'短评内容': '可以的可以的', '短评打分': 5}
{'短评内容': '酒店环境什么的都很不错。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '#ud83d#udc4c', '短评打分': 5}
{'短评内容': '很不错适合住', '短评打分': 5}
{'短评内容': '位子很好，前台很亲切但是不够专业。 另外还有小问题，电梯上楼不知道往左还是往右走，有点迷茫，希望设立指示牌（电视机里会跳出来房间指示方向，但是不是常显，容易忽略）。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还不错的', '短评打分': 4}
{'短评内容': '位置很好，特别满意欧式风格的装修和智能化的控制系统；房间干净，出入也便利；性价比高，非常满意，房间每天还有赠送的水果，给人一种回家的感觉，很温馨，值得推荐.', '短评打分': 5}
{'短评内容': '因为是新酒店，所以设施很不错，特别是床，很宽，对于带孩子的家长来说，还省了笔加床费。缺点是装修的味道还是有点的。如果明年再来桐庐，还是会选这家酒店的。', '短评打分': 5}
