{'短评内容': '位置很好找，近地铁站，交通方便，床也很舒服', '短评打分': 5}
{'短评内容': '工具箱了啊你在干嘛？？？？？？？，。，。你了吗？我是说如果是这样，你', '短评打分': 5}
{'短评内容': '干净卫生 服务热情', '短评打分': 5}
{'短评内容': '房间环境较好，交通便利', '短评打分': 5}
{'短评内容': '还阔以', '短评打分': 5}
{'短评内容': '不能加床，位置还好。房间卫生一般，周围环境离地铁不远，楼下有餐厅，还算方便，酒店服务一般，大部分房间通风不好。', '短评打分': 3}
{'短评内容': '酒店位置很好，距离秋季Fic展馆很近，交通便利，坐地铁两站地，周边食饭地方多。房间也不错，干净舒适，物超所值，赞！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '不错不错。。', '短评打分': 5}
{'短评内容': '很好很好喜欢', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '空间很好，超喜欢', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '至少5个字，综合起来不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '感觉还行吧', '短评打分': 5}
{'短评内容': '离广交会展馆很近，干净，舒适，价格实惠，是不错的选择！', '短评打分': 5}
{'短评内容': '还不错吧', '短评打分': 4}
{'短评内容': '环境一般，位置很好找，就是内窗不舒服！', '短评打分': 4}
{'短评内容': '比较满意，服务水平一般', '短评打分': 4}
{'短评内容': '便捷干净', '短评打分': 5}
{'短评内容': '入口难找，只见大楼，不见入口，没有标志', '短评打分': 4}
