{'短评内容': '一般 一般。一般。哪哪都不好。 周边同价位酒店好太多', '短评打分': 3}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '早餐感觉没什么吃的，周边比较安静，如果有车的话可以，没有车可能不太方便，毕竟大品牌，其他都还好。。。', '短评打分': 5}
{'短评内容': '早餐不错，免费停车。', '短评打分': 5}
{'短评内容': '早餐丰盛，适合亲子游，有停车场', '短评打分': 5}
{'短评内容': '挺好，干净，服务态度很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '交通便利，房间大', '短评打分': 5}
{'短评内容': '漂亮的湖景，很安静，房间很满意，酒店对面有琼琳阁苏州面馆，很地道。对面有教堂，走10分钟就到，下次还会光顾。', '短评打分': 5}
{'短评内容': '環境很好', '短评打分': 5}
{'短评内容': '朋友说很不错，房间很大，电视与床间距很宽敞，卫生间干湿分离，总体来说挺满意的，她下次还叫我定这家！', '短评打分': 5}
{'短评内容': '做为一个国际知名的酒店品牌，喜来登真的是很不错。因考试时间较晚，前台女服务员协调后延时退房。非常感谢！周边的独墅湖景色不错。', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '酒店设施都比较新～后面就是湖环境很多错～适合放松休闲游～早餐品种也比较多～服务态度比较冷淡～不是自驾的话 交通不是太方便', '短评打分': 5}
{'短评内容': '做为一个国际知名的酒店品牌，喜来登真的是很不错，但这家酒店有些地方不符合喜来登的做法，自助晚餐无人引领，从进入用餐到出来没人管我，直到结账都没人发现我用过自助，如果我不多说一句话，这顿饭算喜来登请客了，关键没一个当时餐厅服务员理我啊，再有结账退房，SPG会员俱乐部，我前面就一个办入住的，半个多小时没办完一个入住，我就在后面干等着。看着管理吧。', '短评打分': 4}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '酒店較新，所以出租車司機都不知道這酒店在哪。酒店服務不俗，只是我個人運氣不是很好，房間的遙控剛好沒電不能用，馬桶也剛好壞了無法沖水，但酒店服務員也有積極協調維修，故只是略為延誤了休息的時間。\n酒店現在剛開業的價格不錯，性價比高，故日後仍有優惠的還是會繼續選擇入住。', '短评打分': 5}
{'短评内容': '环境很好很漂亮！酒店房间很新很干净！工作人员服务态度很好，主动帮我办会员卡，离店的时候还送了积分劵。室内游泳池很宽敞很舒服！比较适合自驾旅游者因为地点较偏很幽静，但酒店门口还是有几家餐馆吃饭挺方便的。', '短评打分': 5}
{'短评内容': '服务热情,带小孩去不错,有大小两个泳池,新建的,总归不错的,打的会有宾馆的人帮你叫的', '短评打分': 5}
{'短评内容': '硬件,软件,服务都很到位,床很软，浴室也不错,采光稍逊色，价钱稍高', '短评打分': 5}
{'短评内容': '酒店环境和服务都很不错，一定要有自驾车不然出行不便。因为新开张的原因，一些配套还不成熟装修后的一些气味还很重…自助餐吃的东西不多建议外出吃不划算！', '短评打分': 3}
{'短评内容': '酒店硬件设施很好 湖景也非常漂亮 但位置有点偏 周边配套不够成熟  适合度假', '短评打分': 5}
{'短评内容': '酒店不错 环境优雅 设施一流 下次还会去的', '短评打分': 5}
{'短评内容': '环境舒适 坐拥湖畔 高档销售 酒店各方面也都一流', '短评打分': 5}
{'短评内容': '在苏州工业园区能够有这样幽静的酒店 不错', '短评打分': 5}
{'短评内容': '和朋友自驾过去的，值得推荐，很新很浪漫的景色。下次还会去。\n超美丽的湖景，坐在床边品着白葡萄酒，依偎着，好幸福的事。~~~~~~', '短评打分': 5}
{'短评内容': ' 酒店硬件设施相当不错，软件还有待提高。', '短评打分': 3}
{'短评内容': '房间新而舒适，没有其他网友所说的味道重的问题，周边环境不错，唯独交通设施欠缺，适合有车族！我会再次入住！', '短评打分': 3}
{'短评内容': '服务态度很好，环境好，价格超值，下次还会去', '短评打分': 5}
{'短评内容': '酒店整体环境不错，服务也好，早餐也丰富，但是三台电梯有的只到18层，有的不到地下停车场，只有一台可以到顶楼和地下停车场，外面都没有表示到达的楼层，搞得进去后发现不对又要换乘，建议改进。', '短评打分': 5}
{'短评内容': '硬件设置不算漂亮，也不算时尚。\n总体还可。', '短评打分': 5}
{'短评内容': '独墅湖畔，环境优美，崭新酒店，性价娇好。', '短评打分': 5}
{'短评内容': '新开业，目前不推荐，屋里建筑材料味道太大，早餐也牵强', '短评打分': 5}
{'短评内容': '酒店设施舒适，入住的景观房面临独墅湖，不错', '短评打分': 3}
{'短评内容': '很棒的酒店，不愧五星称号。早餐好，游泳池很棒，周边环境宜人，晚餐后散步很惬意。', '短评打分': 5}
