{'短评内容': '早餐不错，靠近南京工程学院。', '短评打分': 5}
{'短评内容': '早餐还行，周边没什么东西，出门打的。', '短评打分': 4}
{'短评内容': '本来订了两晚，临时有事，只住了一晚，想退掉却不让退。很郁闷！！！送的早餐券，吃早餐也分三六九等。没啥吃的！', '短评打分': 4}
{'短评内容': '早餐较好，位置偏，但很安静，卫生一般，有充足的停车场', '短评打分': 4}
{'短评内容': '一个射击基地。价格有点贵', '短评打分': 5}
{'短评内容': '非常安静，早餐不错，简单但是干净。房间设施很一般，感觉不值这个价格，和如家差不多。在这个地点，价格200左右比较合适。', '短评打分': 4}
{'短评内容': '环境太一般了！', '短评打分': 2}
{'短评内容': '一般 一般 一般啦', '短评打分': 3}
{'短评内容': '还行 早餐散客吃的不一样 不知道为什么', '短评打分': 4}
{'短评内容': '很一般，还很偏僻！晚上居然不开大门，下雨天走了很长的路', '短评打分': 4}
{'短评内容': '整体感觉不错', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '环境还不错 很干净 你快捷酒店好多了', '短评打分': 5}
