{'descr': '还不错，安静', 'star': 5}
{'descr': '挺干净的，感觉也比较舒适。因为地方稍微偏一点，所以也挺安静的，幸好有送机服务，因为定的是钟点房所以送机15元。哦，这边还可以免费停车，开车来赶飞机的这里在适合不过了', 'star': 5}
{'descr': '在上海转机时住宿，条件不错，有到浦东机场的专车接送，很方便。', 'star': 5}
{'descr': '非常好。热情，服务周到。', 'star': 5}
{'descr': '早餐好吃呢。', 'star': 5}
{'descr': '适合带孩子，离机场车程15分钟。', 'star': 5}
{'descr': '早上太赶，早餐我没有吃！房间是很不错的 干净还很舒适，酒店前台也是很和善的，还有免费机场大巴，总体来说 这个酒店还是非常不错的！', 'star': 5}
{'descr': '帮爸妈订的，坐早班机很方便', 'star': 4}
{'descr': '酒店接送机服务特别方便  前台也很好 早上还打电话叫早  办理入住退房手续都很快', 'star': 5}
{'descr': '淋浴的玻璃门关不上，无线网络早上上不了。', 'star': 3}
{'descr': '入住多次了，一如既往地服务周到热情，房间干净整洁，大床真的非常大，早餐马马虎虎，能吃饱，但很早就提供了。', 'star': 5}
{'descr': 'the hotel was adequate for a one or two night stay before or after travelling as it is close to Pudong airport with shuttle bus available if required. room was functional and clean with good shower fa', 'star': 4}
{'descr': '凑合', 'star': 4}
{'descr': '其实酒店就是晚霞酒店，打车过去差点没找到。酒店不算很新，不过房间还是挺干净的，有去机场的班车，大概15分钟就可以到航站楼', 'star': 5}
{'descr': '还可以，就是五点以后沿马路的房间有点吵。不能住沿马路的房间。', 'star': 5}
{'descr': '酒店提供的服务送机很好，因为要赶第二天早上的飞机，所以提前一晚入住到机场附近，这家酒店是同事推荐的，感觉不错。会  再推荐同事去光顾的。', 'star': 5}
{'descr': '很干净，很舒服！一切都棒棒的！床很大，可以睡4个人，妥妥的！', 'star': 5}
{'descr': '个人认为不错，性价比可以', 'star': 5}
{'descr': '交通方便。房间布置温馨，价格也比较合理，总体来说是值得推荐的一间酒店', 'star': 5}
{'descr': 'very good, comfortable!', 'star': 5}
{'descr': '这个酒店的接机服务实在是太太太差了！ 说是30分钟，是再一个30分钟，再一个30分钟', 'star': 1}
{'descr': '交通和很不方便，前台人员很神奇，除了半夜的飞机到，没有地铁去市区，真是不推荐这家酒店。免费接机还可以，就是要之前团购，不知道没有团购的是不是要付费。', 'star': 1}
{'descr': '这个价格在浦东机场算很划得来了，希望早餐还提高点。。。', 'star': 5}
{'descr': '非常好，符合在浦东机场的旅客的需要,还是星程酒店的服务水平', 'star': 5}
{'descr': '酒店干净，方便，接送浦东机场服务特别符合旅客的需要', 'star': 5}
{'descr': '快捷酒店的环境，位置偏远，很不方便，酒店管接不管送，送机每人15元，前台还不错，但不会再住了。', 'star': 3}
{'descr': '挺安静的，交通也方便，房间也挺干净，就是网络差点', 'star': 5}
{'descr': '酒店性价比不错的………………………………………………', 'star': 5}
{'descr': '性价比非常高的酒店。我订的178的单人间，直接给我免费升级到258元的大床房，意外的惊喜！房间很干净，色彩很温馨，窗很大，采光很好，床很软，热水也足，睡得很舒服。最值得赞扬的是酒店的接送机服务，他们实行24小时的接送机服务，我到达浦东机场的时候已经是凌晨两点了，联系酒店后大约十分钟就有车来接我，不收费，第二天去机场的时候又有车送，听说第一次入住收10元钱，以后入住或者连续住两晚上就全免了。这对乘坐', 'star': 5}
