{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '交通方便，距离厂里较近，办事方便，附近吃饭不算方便，没有什么好吃的，房间挺大的，设施老久，老酒店了，一般吧', '短评打分': 5}
{'短评内容': '周边吃住行都很方便，适合各种旅行商务出差，价格也适中，房间40多平比较大，适合商务会客，安静，太棒了', '短评打分': 5}
{'短评内容': '老牌高档酒店，经常接待会议。很宽敞很气派的大堂，房间非常非常宽敞，设施齐全整洁，中央空调。自助早餐菜品丰富，性价比很高。重点说一下前台服务，前台服务很不错，有问题都帮忙解决。', '短评打分': 4}
{'短评内容': '还不凑', '短评打分': 5}
{'短评内容': 'Unfortunatly no english speaking people. The people at the reception could be a little bit more friendly. Breakfast is very okay. The room was clean, but the bed a little bid hard.I found no Wifi conn', '短评打分': 3}
{'短评内容': '位置在北站北广场，走路大概5分钟，在网上预订为了离车站近，坐车方便，到了才知道是四星酒店，价格很亲民', '短评打分': 5}
{'短评内容': '环境优雅  事宜居住  下次还选择', '短评打分': 5}
{'短评内容': '酒店大厅很大，位置一般。早餐还可以。', '短评打分': 4}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '感觉携程订房就像二房儿子的待遇！酒店给的房间不是哪些三尖八角的房间，就是特小特偏的房', '短评打分': 3}
{'短评内容': '没有wifi ……', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '宁山大厦位置很好，在沈阳北站北出口附近，如果天气好的话，或者携带物品不多的话完全可以步行前往。酒店大堂开阔，给人感觉比较上档次，服务也比较热情。房间设施齐备，特别是枕头有荞麦枕和海绵枕等多种类型可供选择，中央空调风口噪音略大。标准房的床是比较硬的床垫，这个我喜欢，但床略窄。房间备品中有书写纸，但没有书写笔只有铅笔，也没有信封和明信片，酒店服务介绍册略显简陋，这些只是细节问题，毕竟无法与较高星级酒店', '短评打分': 5}
{'短评内容': '没有无线网络，硬伤，大厅比较气派，其他还行。', '短评打分': 4}
