{'短评内容': '位置好，能加床，适合带孩子，有车场。', '短评打分': 4}
{'短评内容': '想着找一个离办事地点比较近的地方，结果真是出乎意料啊！环境脏的我分分钟要换地方，如果不是因为太晚。我肯定分分钟就走了。', '短评打分': 2}
{'短评内容': '一人身份證就行。旁邊有收費停車位。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店前台工作人员服务很好～好评 下次还来这里', '短评打分': 5}
{'短评内容': '酒店环境好，比较舒服。', '短评打分': 4}
{'短评内容': '酒店位置环境不错，设施一般，服务不错。', '短评打分': 4}
{'短评内容': '总体不错，在帝都这个地段算是性价比高的', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 4}
{'短评内容': '环境还可以，位置也不错，房间一直预留，酒店服务也不错，挺舒服的。不过床有点小，也续这就是北京特色吧。', '短评打分': 5}
{'短评内容': '这次房间靠近马路，有点吵，而且北京这几天雾霾严重，房间空气也感觉憋闷。', '短评打分': 4}
{'短评内容': '酒店位置方便，周边为商务cbd场所，交通便利', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间格局还可以、价格也合适、可以考虑推荐给朋友们、', '短评打分': 4}
{'短评内容': '交通方便，对得起这价格', '短评打分': 5}
{'短评内容': '入住后对房间面积和酒店整体的环境和管理比较失望，房间设施还算可以，就是洗手间不太好，性价比不高。', '短评打分': 1}
{'短评内容': '网络在维修中，郁闷了一下，其他的还行，双床比较小。。。。。', '短评打分': 5}
{'短评内容': '除了没有网络（据说在维修中）和电视效果差些之外，其它方面都还不错，有公寓的感觉。', '短评打分': 5}
{'短评内容': '没有网络，工作很不方便', '短评打分': 3}
{'短评内容': '服务太差！前台不会指路，给我个没收拾的房间，换了房间给错我钥匙，没有网络，没有电话。还不如两百的连锁店呢！！', '短评打分': 3}
{'短评内容': '很好，很好，很好，很好，很好，很好，很好，很好，很好，很好。', '短评打分': 5}
{'短评内容': '感觉不错，位子很方便', '短评打分': 3}
{'短评内容': '酒店式公寓改的酒店，不是很像酒店。位置好方便', '短评打分': 1}
{'短评内容': '出差到北京，晚上应酬喝高了点，事后听同事说是前台客服送我上楼，还帮我买了水。服务质量不错。', '短评打分': 5}
{'短评内容': '服务一般，酒店设施差，与同等价位酒店相差甚远，也就值200元一晚。没电话，没有网，最可怜的是只能趴在床上办公，连桌子和椅子都没有。可怜。', '短评打分': 1}
{'短评内容': '酒店到处是蟑螂，再也不会住了。', '短评打分': 3}
{'短评内容': '什么基本的服务都没有，下雨没有伞可借，不能帮忙打车，电梯卡用不了，水都没有，网络用不了，电话也坏了', '短评打分': 3}
{'短评内容': '真是让我非常的无语\n住了2天 房间没人打扫不说\n一股臭味。\n电梯卡坏了 上不去。也没人让修\n还等了很久\n', '短评打分': 1}
{'短评内容': '很不错的地方 让我俩有过家家的感觉 真好', '短评打分': 5}
{'短评内容': '酒店装修不错，家具都很新。房间里带冰箱和洗衣机我很喜欢，其他酒店连个吹风机都没有。性价比较高，下次还会订这家酒店。', '短评打分': 5}
{'短评内容': '挺好的.要是楼下有前台就不用打电话那样就好找了', '短评打分': 3}
{'短评内容': '一直帮出差的同事订，性价比还蛮高！', '短评打分': 3}
{'短评内容': '环境还不错!', '短评打分': 3}
{'短评内容': '不错，出差一直住那', '短评打分': 3}
{'短评内容': '帮同事订的，出差一直住这，觉的挺干净，环境还不错。', '短评打分': 5}
{'短评内容': '蟑螂很多，酒店前台接待不知自己酒店的位置，在我提出看房时，服务小姐和服务生推来推去，停车收费，接待不专注，简直是农村旅社的水平，号称国际公寓，网线不通，水龙头水小，放在复地边上，简直丢人。', '短评打分': 1}
{'短评内容': '还可以吧，前面修路不太好找，有点小不方便，或许是公寓酒店的缘故吧，里面有养狗的，感觉不爽。', '短评打分': 5}
{'短评内容': '位置很好，室内设施略旧，洗手盆下水不畅，洗澡水开关要坏了。服务还不错。', '短评打分': 3}
{'短评内容': '订的是豪华间，但是房间非常小，说是48平米，我看就20多。晚上蚊子到处飞，咬的浑身是包。感觉非常不值，住了一天赶紧退房走人。', '短评打分': 1}
{'短评内容': '还可以，赶上没有热水。', '短评打分': 3}
{'短评内容': '酒店在装修，房间味道较重，房间没有图片上那么宽敞，开发票时，还没有票，隔两天才寄过来，周边在修地铁，灰尘大，近期是不会去住的了', '短评打分': 1}
{'短评内容': '环境还不错，里国贸很近，也还算干净，就是容易和酒店搞混~', '短评打分': 5}
{'短评内容': '酒店还可以，房子还比较大，位置也还不错。', '短评打分': 5}
{'短评内容': '门前在修路，打车不太方便，的士司机比较难找，我住的1502房间门有毛病了也没修。', '短评打分': 1}
{'短评内容': '酒店性价比不高，不过北京也没办法，出行很方便，很干净，不错，下次不会入住！', '短评打分': 1}
{'短评内容': '房间设施陈旧，卫生差。性价比不怎么样，今后不再住了。', '短评打分': 1}
{'短评内容': '帮朋友订的~~~~~~~评价不错~~~~~', '短评打分': 5}
{'短评内容': '老板觉得还不错，下次继续订了。值得推荐的酒店。', '短评打分': 5}
{'短评内容': '我和同事都感觉不错，二、三环之间交通不错……早餐前面可以吃豆浆油条的……', '短评打分': 5}
{'短评内容': '地点还可以，但是太吵了，基本没法睡觉，也可能是房间临街的原因。', '短评打分': 1}
{'短评内容': '给boss订的，出差几天在北京。老板说不错 值得推荐', '短评打分': 5}
{'短评内容': '离公司比较近,房间够大,就是有点泠!空调供热好象有点问题.', '短评打分': 5}
{'短评内容': '开始入住床上有头发，其他还好，室内温度很高', '短评打分': 5}
{'短评内容': '在朝阳区的地理位置很好，离三里屯和世贸天阶很近，完全公寓式管理，建议增加电视频道。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店很干净、房间很大、交通很方便、东大桥附近购物很方便、环境也很好、下次还会去', '短评打分': 5}
{'短评内容': '總體來說還不錯，環境很好，房間設施也不錯。（PS：不知道問什麽訂的雙床房，入住時竟然給的是大床房）', '短评打分': 5}
{'短评内容': '设施很新，整体的风格也是我喜欢的，而且服务态度非常好，所以总体很满意，以后应该会经常住这里吧。唯一有一点觉得床有点小，有点硬。', '短评打分': 5}
{'短评内容': ' 不错，很宽敞', '短评打分': 3}
{'短评内容': '新酒店，设施挺新，洗手间也大，还有厨房用具，喜欢大房间，床也舒服。', '短评打分': 5}
{'短评内容': '环境舒适，有家的感觉，楼下停车 7-11购物都方便，很好', '短评打分': 5}
{'短评内容': '装修不好，房间有霉味，浴巾不清洁,而且没有熨斗和保险箱。', '短评打分': 1}
{'短评内容': '太好的公寓型酒店，位置好，交通方便，大堂气派、温馨，房间整洁、干净。', '短评打分': 5}
{'短评内容': '性价比挺高的， 就是打车有点不方便，网速超级慢\r\n\r\n房间嘛，很宽敞， 别的设施也不错', '短评打分': 5}
{'短评内容': '房间很好东西很干净毛巾也都是新的。酒店的环境也很不错，位置也很好。', '短评打分': 5}
{'短评内容': '很新 很好 很舒适 很干净  很卫生 非常适合居住  尤其是旅游者', '短评打分': 5}
{'短评内容': '谈不上有什么服务.与一般的酒店比差距很大.', '短评打分': 1}
{'短评内容': '服务不够专业，设施和位置还不错，性价比不高，不推荐', '短评打分': 1}
{'短评内容': '酒店比较新，价格不错，就是洗手间差了点，里面有小飞虫，前台服务一般，', '短评打分': 1}
{'短评内容': '很一般！能住。', '短评打分': 1}
{'短评内容': '整体感觉还不错,就是淋浴下水不太好.其它各方面都挺好的,服务人员都很周到热情.性价比很高.', '短评打分': 5}
{'短评内容': '性价比很好的酒店，房间干净，服务也不错，下次还会住的', '短评打分': 5}
{'短评内容': '替朋友定的，朋友非常满意，位置很不错，新开的酒店很干净。值得推荐！', '短评打分': 5}
{'短评内容': '硬件设施一般，卫生还可以，服务也比较到位，性价比蛮好的，下次如果在附近出行还会考虑一下。', '短评打分': 5}
{'短评内容': '比较喜欢的酒店，如果定的到特价房还是很实惠的！房间大 服务好 交通便利 ', '短评打分': 5}
